ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Gene_1	h0	shared	190.08607	4.7035027	7.0491147	1.3280152
0	Gene_1	h1	0	686.8762	5.1302514	7.2023177	1.1215749979019165
0	Gene_1	h1	1	686.8762	5.1302514	7.2023177	2.4410908222198486
1	Gene_2	h0	shared	74.17771	8.686448	7.9939814	0.66181636
1	Gene_2	h1	0	569.6633	8.5767145	7.9968734	0.6732703447341919
1	Gene_2	h1	1	569.6633	8.5767145	7.9968734	0.57835453748703
2	Gene_3	h0	shared	257.37134	7.2517657	7.361279	2.384019
2	Gene_3	h1	0	1049.7611	7.2410245	7.3681545	2.4201362133026123
2	Gene_3	h1	1	1049.7611	7.2410245	7.3681545	2.217458486557007
3	Gene_4	h0	shared	146.94998	5.2422137	7.0948124	1.5125517
3	Gene_4	h1	0	598.1712	5.2744207	7.109155	1.5567718744277954
3	Gene_4	h1	1	598.1712	5.2744207	7.109155	1.2534878253936768
4	Gene_5	h0	shared	603.6074	6.186562	7.288267	2.888336
4	Gene_5	h1	0	657.93787	6.4936943	7.387417	2.7786569595336914
4	Gene_5	h1	1	657.93787	6.4936943	7.387417	3.4166533946990967
5	Gene_6	h0	shared	311.10706	3.7473152	6.647188	-0.12372899
5	Gene_6	h1	0	775.3704	4.291659	6.9373446	0.12437982112169266
5	Gene_6	h1	1	775.3704	4.291659	6.9373446	-1.3066922426223755
6	Gene_7	h0	shared	172.63463	4.890848	6.558089	2.030515
6	Gene_7	h1	0	910.497	4.960316	6.6118608	2.0980567932128906
6	Gene_7	h1	1	910.497	4.960316	6.6118608	1.6369354724884033
7	Gene_8	h0	shared	120.64357	7.652229	7.9431252	2.173303
7	Gene_8	h1	0	759.558	7.5872526	7.960416	2.1343672275543213
7	Gene_8	h1	1	759.558	7.5872526	7.960416	2.342989206314087
8	Gene_9	h0	shared	160.87589	4.2726636	6.2842607	2.6313386
8	Gene_9	h1	0	1096.6332	4.580922	6.418212	2.8081064224243164
8	Gene_9	h1	1	1096.6332	4.580922	6.418212	1.6990159749984741
9	Gene_10	h0	shared	475.584	6.8193035	7.485889	2.0800664
9	Gene_10	h1	0	794.1715	6.8403196	7.5047584	2.091212272644043
9	Gene_10	h1	1	794.1715	6.8403196	7.5047584	2.0093677043914795
10	Gene_11	h0	shared	393.78128	3.0665853	6.26054	1.7556615
10	Gene_11	h1	0	1026.4307	3.1897056	6.3115687	1.6142914295196533
10	Gene_11	h1	1	1026.4307	3.1897056	6.3115687	2.551776647567749
11	Gene_12	h0	shared	221.04747	10.486252	7.9790087	1.6299559
11	Gene_12	h1	0	1096.6332	12.105285	8.2886095	1.8101778030395508
11	Gene_12	h1	1	1096.6332	12.105285	8.2886095	0.8551003336906433
12	Gene_13	h0	shared	69.9436	10.174066	8.59078	0.5827607
12	Gene_13	h1	0	474.50516	11.173647	8.8463745	0.3952764570713043
12	Gene_13	h1	1	474.50516	11.173647	8.8463745	1.3736923933029175
13	Gene_14	h0	shared	297.0805	4.8359723	7.196039	0.8723899
13	Gene_14	h1	0	573.0834	4.826202	7.1829953	0.8978016376495361
13	Gene_14	h1	1	573.0834	4.826202	7.1829953	0.7427000999450684
14	Gene_15	h0	shared	386.74887	5.52353	7.41452	1.2690386
14	Gene_15	h1	0	703.3243	6.5741644	7.7598944	1.520888090133667
14	Gene_15	h1	1	703.3243	6.5741644	7.7598944	-0.05727424845099449
15	Gene_16	h0	shared	540.73334	6.2897587	7.420915	0.970827
15	Gene_16	h1	0	722.9173	7.6536264	7.7721143	0.7424183487892151
15	Gene_16	h1	1	722.9173	7.6536264	7.7721143	2.1992526054382324
16	Gene_17	h0	shared	130.37505	4.9865546	7.3652406	1.4447296
16	Gene_17	h1	0	684.1733	6.0105357	7.768365	1.6862590312957764
16	Gene_17	h1	1	684.1733	6.0105357	7.768365	0.20319262146949768
17	Gene_18	h0	shared	416.02206	4.8252425	7.3772798	0.42314538
17	Gene_18	h1	0	818.3632	5.304009	7.552595	0.6363357901573181
17	Gene_18	h1	1	818.3632	5.304009	7.552595	-0.7010421752929688
18	Gene_19	h0	shared	273.60495	5.3753653	7.1519914	0.5973697
18	Gene_19	h1	0	634.462	6.277481	7.4274893	0.36561939120292664
18	Gene_19	h1	1	634.462	6.277481	7.4274893	1.8916797637939453
