ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Gene_1	h0	shared	357.28265	5.9147167	6.9307284	1.490488
0	Gene_1	h1	0	605.6582	6.9546933	7.283087	1.3124221563339233
0	Gene_1	h1	1	605.6582	6.9546933	7.283087	2.298424005508423
1	Gene_2	h0	shared	69.30776	8.451223	7.662663	0.5734312
1	Gene_2	h1	0	534.13354	9.077831	7.8121023	0.39669811725616455
1	Gene_2	h1	1	534.13354	9.077831	7.8121023	1.3954747915267944
2	Gene_3	h0	shared	116.41836	6.776127	8.091698	0.04146677
2	Gene_3	h1	0	573.839	6.7600107	8.10213	0.0755637139081955
2	Gene_3	h1	1	573.839	6.7600107	8.10213	-0.14997358620166779
3	Gene_4	h0	shared	218.86455	8.102094	7.8455195	0.059295055
3	Gene_4	h1	0	634.4638	8.313436	7.916606	0.12482523918151855
3	Gene_4	h1	1	634.4638	8.313436	7.916606	-0.2296152561903
4	Gene_5	h0	shared	392.92267	9.692587	7.830151	1.482482
4	Gene_5	h1	0	1096.6332	10.47445	7.9558597	1.3260407447814941
4	Gene_5	h1	1	1096.6332	10.47445	7.9558597	2.206925392150879
5	Gene_6	h0	shared	195.00067	5.2874303	7.2248087	1.0299437
5	Gene_6	h1	0	727.08405	5.2620206	7.22811	0.9769776463508606
5	Gene_6	h1	1	727.08405	5.2620206	7.22811	1.306789517402649
6	Gene_7	h0	shared	366.3004	6.5635724	6.80699	1.6012948
6	Gene_7	h1	0	1003.9379	7.24922	6.971428	1.432015061378479
6	Gene_7	h1	1	1003.9379	7.24922	6.971428	2.487910747528076
7	Gene_8	h0	shared	271.51913	5.442316	6.626979	1.1618278
7	Gene_8	h1	0	541.1063	5.818247	6.7800336	1.0372647047042847
7	Gene_8	h1	1	541.1063	5.818247	6.7800336	1.8074957132339478
8	Gene_9	h0	shared	195.15854	5.2330985	7.0727296	0.30588418
8	Gene_9	h1	0	485.2933	6.876801	7.5668817	0.01609920710325241
8	Gene_9	h1	1	485.2933	6.876801	7.5668817	1.8810927867889404
