ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_0	h1_theta_1	h0	h1	lrt	p	q	signif
11	Gene_12	471.836	2.518921	6.232836	3.1353917	1096.6332	9.510334	8.14583	2.0852015018463135	8.735849380493164	-1121.0012	-1167.6584	93.31445	0.0	0.0	True
20	Gene_21	189.21133	2.8259163	6.2164664	0.89618707	717.5888	10.138741	8.057087	0.15607282519340515	5.607392311096191	-0.18361664	-40.49234	80.61745	0.0	0.0	True
27	Gene_28	165.11539	4.5480466	6.605103	1.2912991	488.2988	17.041697	8.881025	0.8868167996406555	4.365106582641602	214.60541	168.83482	91.54117	0.0	0.0	True
37	Gene_38	395.8154	3.8403869	7.49891	-1.560807	371.0497	21.944366	10.797723	-1.7393558025360107	2.6328940391540527	390.27826	331.10837	118.33978	0.0	0.0	True
44	Gene_45	397.99094	3.410617	6.352848	0.983393	614.51483	11.462801	8.469116	0.4285527765750885	4.825046539306641	142.84067	106.43377	72.8138	0.0	0.0	True
46	Gene_47	69.0604	4.285886	6.4650908	0.42987356	394.39526	15.2632675	8.853907	-0.06219542771577835	3.323112964630127	406.47934	367.11157	78.735535	0.0	0.0	True
55	Gene_56	534.01025	2.9263172	6.7224283	-0.01785596	456.10022	9.935495	8.8476095	-0.7714733481407166	4.531040191650391	164.98874	127.30547	75.36653	0.0	0.0	True
61	Gene_62	347.06467	3.1420069	6.48893	-0.39758793	455.1011	16.563992	9.18701	-0.736081600189209	4.430647373199463	234.84283	178.45764	112.770386	0.0	0.0	True
83	Gene_84	270.51315	2.9527607	6.913243	1.3262067	543.3117	9.056729	8.63428	0.644223153591156	6.381189823150635	-263.51077	-300.81073	74.599915	0.0	0.0	True
90	Gene_91	357.68033	3.4296575	6.859352	0.40243164	590.09436	10.689612	8.700684	-0.1787470281124115	4.52140474319458	199.14673	162.40103	73.491394	0.0	0.0	True
134	Gene_135	295.8891	3.0860236	5.909736	1.8502586	555.22986	13.0937805	8.102851	1.2618528604507446	6.044424057006836	-186.93445	-232.61359	91.35828	0.0	0.0	True
138	Gene_139	218.87894	3.7843049	5.835892	1.0375433	665.9102	13.064007	7.8347197	0.5023766756057739	4.189044952392578	289.2635	250.48412	77.55875	0.0	0.0	True
146	Gene_147	477.08063	3.4404464	6.446436	1.7053342	591.56726	12.966707	8.753113	1.2546368837356567	5.766485214233398	-150.47714	-196.23213	91.50998	0.0	0.0	True
157	Gene_158	166.1837	2.7319539	6.417793	1.5384859	570.80316	9.118277	8.354245	0.8583298325538635	6.542472839355469	-325.13092	-361.19818	72.13452	0.0	0.0	True
158	Gene_159	345.98636	3.6057162	6.1059628	0.19207387	666.3429	13.164954	8.02124	-0.1548881232738495	3.5046029090881348	408.1137	368.45633	79.31476	0.0	0.0	True
164	Gene_165	99.0172	3.0297322	7.115772	0.07114599	652.3796	10.328382	9.380394	-0.6530424356460571	4.862081050872803	101.3987	59.085983	84.62543	0.0	0.0	True
174	Gene_175	400.84586	3.132576	6.5790563	1.1420114	766.5844	9.91168	8.519113	0.4777396321296692	5.259207725524902	37.993156	2.2987826	71.38875	0.0	0.0	True
211	Gene_212	445.72208	3.1201396	5.9755564	1.4285713	490.72116	11.361073	7.8335776	0.9825809597969055	5.5450520515441895	-52.595093	-92.38315	79.57611	0.0	0.0	True
235	Gene_236	196.11101	4.2037272	6.3909583	3.5767927	621.53033	13.628836	8.532942	3.092717409133911	6.599949836730957	-1011.20734	-1047.4963	72.578	0.0	0.0	True
251	Gene_252	374.3806	3.4131918	6.22627	2.166472	813.68933	11.175719	8.07823	1.554715871810913	5.76005744934082	-215.25781	-252.02986	73.5441	0.0	0.0	True
254	Gene_255	450.44122	3.4210885	6.513422	-0.1670189	534.6699	10.8084135	7.973561	-0.514140784740448	3.7431061267852783	333.21014	295.90204	74.61621	0.0	0.0	True
270	Gene_271	401.13806	2.8183703	6.691248	1.6221989	960.83765	9.373508	8.559831	0.7889246344566345	6.781925201416016	-339.76483	-379.23367	78.93768	0.0	0.0	True
277	Gene_278	475.19528	3.3420765	7.3571186	-1.3916386	366.52216	19.246653	10.649241	-1.7172887325286865	3.2781572341918945	312.95453	256.9074	112.09424	0.0	0.0	True
282	Gene_283	281.7428	3.8741586	6.005296	0.22908156	471.11432	25.141779	8.298056	-0.18303342163562775	3.766531229019165	401.9809	336.60297	130.75586	0.0	0.0	True
283	Gene_284	331.79718	3.4679573	6.4100327	1.4645691	923.04785	15.394678	9.439332	0.8004289865493774	5.239163875579834	30.347427	-9.538467	79.77179	0.0	0.0	True
293	Gene_294	293.8358	3.7191086	6.145915	2.2196891	706.87274	14.49874	8.704371	1.7396306991577148	5.553976535797119	-214.63574	-252.00352	74.735565	0.0	0.0	True
343	Gene_344	291.10168	3.477619	6.0247974	1.5538754	596.77527	10.785716	7.659369	0.9922814965248108	4.982324600219727	73.42848	38.06272	70.73152	0.0	0.0	True
356	Gene_357	192.3838	3.2999256	7.1239295	0.40250662	502.9714	12.677055	9.492021	-0.21168866753578186	5.252108573913574	71.16432	21.673248	98.98215	0.0	0.0	True
358	Gene_359	394.00897	3.3293724	6.591678	3.461965	1096.6332	13.973424	9.165313	2.888624668121338	7.845399856567383	-1206.8221	-1253.4772	93.31006	0.0	0.0	True
362	Gene_363	556.026	2.4719045	6.532781	0.66475856	735.7986	13.412257	9.154342	-0.26508328318595886	6.889401912689209	-267.12262	-325.85248	117.45972	0.0	0.0	True
378	Gene_379	352.12476	3.9445267	6.7586265	0.40296215	397.87878	13.105134	8.910292	-0.1066022589802742	3.7163877487182617	349.98148	310.54123	78.88049	0.0	0.0	True
406	Gene_407	456.34106	3.6133459	7.463889	-0.73687404	531.0507	14.105903	10.313811	-1.2017875909805298	3.2341043949127197	346.5476	306.463	80.16919	0.0	0.0	True
409	Gene_410	159.09581	3.3023446	7.4299393	-0.72932094	439.17377	11.79791	10.042177	-1.309357762336731	3.6676254272460938	274.94955	236.07787	77.74338	0.0	0.0	True
415	Gene_416	516.4883	3.6385221	7.2169886	-0.50748914	397.24295	17.088837	10.143602	-0.9218023419380188	3.8262405395507812	292.4199	239.17932	106.48114	0.0	0.0	True
417	Gene_418	381.26505	3.166503	6.3842096	3.2947462	1096.6332	12.606762	8.821509	2.7168216705322266	7.74935245513916	-1109.2898	-1151.2501	83.920654	0.0	0.0	True
427	Gene_428	399.54178	3.438919	6.3184004	2.5407684	904.06	11.38141	8.441136	2.0929183959960938	6.224383354187012	-506.12384	-541.2441	70.24048	0.0	0.0	True
452	Gene_453	65.972855	3.3540409	6.387582	0.12908107	329.26083	16.686346	8.994382	-0.2792213559150696	4.493070602416992	221.1655	168.03891	106.253174	0.0	0.0	True
467	Gene_468	325.40573	3.7103326	7.2196555	0.0037794989	521.2257	16.303976	10.085472	-0.5100218653678894	3.997764825820923	292.81284	241.40138	102.82291	0.0	0.0	True
473	Gene_474	393.7479	7.302926	7.4352317	2.3542483	568.7533	19.662546	9.0524025	1.949323296546936	4.564709186553955	-62.21634	-100.26583	76.09898	0.0	0.0	True
474	Gene_475	288.82516	3.048849	6.503115	1.2744708	563.1718	12.764423	9.061152	0.5525947213172913	5.816221714019775	-69.944786	-111.85278	83.815994	0.0	0.0	True
482	Gene_483	206.24176	2.7159033	6.460275	0.76992565	472.66916	10.13398	8.828352	-0.10261183977127075	5.524933338165283	-15.994888	-54.149338	76.3089	0.0	0.0	True
489	Gene_490	150.38022	3.8418574	6.3666034	0.6497816	491.90408	15.336466	8.999174	0.17836984992027283	4.002130031585693	319.57098	279.95795	79.226074	0.0	0.0	True
25	Gene_26	327.0191	3.1520355	6.497178	-0.08843392	526.2707	12.304015	9.16903	-0.5534305572509766	3.8351166248321533	307.1319	272.5026	69.258606	1.1102230246251565e-16	1.2067641572012571e-15	True
204	Gene_205	239.18817	2.8878412	6.3130884	0.76428187	632.6765	8.126475	7.876325	0.26829051971435547	5.524280071258545	-50.76893	-85.5886	69.63934	1.1102230246251565e-16	1.2067641572012571e-15	True
318	Gene_319	334.83832	3.2478318	6.4852905	1.4515401	995.8445	9.329121	8.109242	0.940595269203186	5.619932651519775	-120.62894	-155.4125	69.56714	1.1102230246251565e-16	1.2067641572012571e-15	True
488	Gene_489	275.75912	2.9261866	6.9011	0.826839	867.624	9.308076	9.023497	0.16440583765506744	5.717289447784424	-100.01793	-134.068	68.10013	1.1102230246251565e-16	1.2067641572012571e-15	True
142	Gene_143	239.538	3.5503728	6.85755	0.40135586	603.10657	10.119331	8.761019	-0.2580556571483612	4.027715682983398	258.84967	225.22452	67.250305	2.220446049250313e-16	2.1769078914218757e-15	True
231	Gene_232	175.33926	3.0148604	6.106039	1.0283599	1096.6332	8.336448	7.6551676	0.3382987976074219	5.092845439910889	63.349815	29.657837	67.38396	2.220446049250313e-16	2.1769078914218757e-15	True
333	Gene_334	528.8792	3.2298436	6.218876	2.7722354	988.4756	9.309691	7.918623	2.165476083755493	6.64885950088501	-620.23755	-653.92993	67.384766	2.220446049250313e-16	2.1769078914218757e-15	True
424	Gene_425	445.97998	3.1458316	5.9475904	3.457213	1096.6332	10.528656	7.932134	2.8962137699127197	7.564391613006592	-1176.956	-1210.8462	67.78027	2.220446049250313e-16	2.1769078914218757e-15	True
425	Gene_426	325.84656	3.0017326	6.823133	1.7344592	690.7882	8.958932	8.662317	0.9408591985702515	6.442177772521973	-324.28625	-357.8839	67.19531	2.220446049250313e-16	2.1769078914218757e-15	True
34	Gene_35	251.99731	2.959278	6.566218	1.2972784	804.6077	7.690375	7.9645996	0.5399506688117981	6.03016471862793	-173.17514	-206.35999	66.36969	3.3306690738754696e-16	2.9738116731030978e-15	True
218	Gene_219	377.0029	3.2784345	6.1984468	0.9131413	1096.6332	9.986326	7.9705076	0.34503382444381714	4.619109153747559	180.56363	147.29782	66.53162	3.3306690738754696e-16	2.9738116731030978e-15	True
399	Gene_400	165.03596	3.4610848	6.427006	2.5921528	790.69714	10.431621	8.2929	1.9722415208816528	6.240071773529053	-478.2283	-511.44098	66.425354	3.3306690738754696e-16	2.9738116731030978e-15	True
438	Gene_439	303.09204	3.3322623	6.689262	0.857272	721.7449	9.574205	8.576658	0.2670597434043884	5.061886787414551	51.68698	18.34845	66.67706	3.3306690738754696e-16	2.9738116731030978e-15	True
457	Gene_458	530.87146	3.1192434	6.664725	1.4395386	1096.6332	9.708987	8.56691	0.7022369503974915	5.696215629577637	-97.579796	-130.91061	66.66164	3.3306690738754696e-16	2.9738116731030978e-15	True
289	Gene_290	275.65002	3.2833772	6.3246784	1.4722757	676.3878	9.627714	8.097042	0.8935915231704712	5.21829891204834	-4.2408295	-37.26523	66.0488	4.440892098500626e-16	3.763467880085277e-15	True
380	Gene_381	401.98978	2.815061	6.499939	1.047441	687.74927	7.6967483	7.940467	0.30718958377838135	5.817290782928467	-109.78704	-142.76353	65.95299	4.440892098500626e-16	3.763467880085277e-15	True
484	Gene_485	307.77914	3.339381	6.3773875	3.4235375	966.23663	9.3257885	8.038786	2.721937894821167	7.365039825439453	-1046.8875	-1079.822	65.86914	4.440892098500626e-16	3.763467880085277e-15	True
437	Gene_438	167.91411	5.011856	7.31666	0.2400772	441.74048	14.191594	9.440552	-0.1304265707731247	2.857837200164795	458.48166	425.74237	65.47858	5.551115123125783e-16	4.550094363217855e-15	True
442	Gene_443	341.50168	3.3982825	6.9137177	0.21697646	742.5546	8.988779	8.614802	-0.42533400654792786	4.2219648361206055	217.7622	185.04266	65.43909	5.551115123125783e-16	4.550094363217855e-15	True
227	Gene_228	454.29346	3.5135167	6.342934	1.9280709	723.7386	10.971023	8.420085	1.5100616216659546	5.715411186218262	-229.29678	-261.93927	65.28497	6.661338147750939e-16	5.372046893347532e-15	True
394	Gene_395	597.74927	3.2201893	6.3009944	1.8839661	862.27185	10.416322	8.332981	1.2956643104553223	5.971065521240234	-244.6258	-277.10358	64.95557	7.771561172376096e-16	6.167905692361981e-15	True
479	Gene_480	349.86932	3.338173	6.7001686	0.48077768	687.69226	10.126164	8.689656	0.04163017496466637	4.436720371246338	199.65753	167.29709	64.72089	8.881784197001252e-16	6.938893903907228e-15	True
159	Gene_160	69.492714	3.3679514	6.0718975	1.09403	694.9093	9.482445	7.770733	0.49426597356796265	4.590620994567871	143.5632	111.336365	64.453674	9.992007221626409e-16	7.686159401251083e-15	True
30	Gene_31	158.71007	3.6069627	6.5629387	2.8553736	851.0773	9.389426	8.201849	2.3139851093292236	6.415994167327881	-646.92065	-679.0086	64.1759	1.1102230246251565e-15	8.28524645242654e-15	True
355	Gene_356	288.40063	3.2374203	6.655764	0.45625004	739.2009	8.552235	8.008804	-0.08946061879396439	4.524971961975098	202.42154	170.30031	64.24246	1.1102230246251565e-15	8.28524645242654e-15	True
185	Gene_186	182.42076	3.2027752	6.0205684	1.9096632	771.94727	9.605426	7.7746177	1.2303767204284668	5.773982048034668	-172.30518	-204.20676	63.80316	1.3322676295501878e-15	9.516197353929913e-15	True
312	Gene_313	199.52638	3.34693	6.255826	1.9515325	722.4408	8.715162	7.6277375	1.3840266466140747	5.591668128967285	-169.11093	-201.01906	63.816254	1.3322676295501878e-15	9.516197353929913e-15	True
341	Gene_342	283.24728	3.6443532	6.534438	1.2703465	833.2352	10.432907	8.390538	0.7162969708442688	4.843318939208984	82.02991	50.06848	63.92285	1.3322676295501878e-15	9.516197353929913e-15	True
491	Gene_492	348.81668	3.0593472	7.1746373	-1.0966283	628.76764	8.857241	9.209651	-1.8152350187301636	3.577895402908325	223.24323	191.45584	63.574768	1.5543122344752192e-15	1.0945860806163516e-14	True
120	Gene_121	247.46568	4.110646	7.3163905	-0.17424047	428.11832	11.181012	9.424423	-0.6300652623176575	3.088650941848755	378.22174	346.85443	62.73462	2.3314683517128287e-15	1.61907524424502e-14	True
129	Gene_130	304.7758	3.2132585	6.5625653	1.6186768	667.65234	9.146567	8.396306	1.0655910968780518	5.651316165924072	-157.36386	-188.65967	62.591614	2.55351295663786e-15	1.7489814771492194e-14	True
296	Gene_297	367.2054	4.1400266	6.65045	0.7772329	501.78568	12.633552	8.9333315	0.2800453007221222	3.8168346881866455	303.1906	271.96448	62.45227	2.7755575615628914e-15	1.8753767307857376e-14	True
228	Gene_229	376.18063	3.566154	6.926235	3.801939	779.2291	10.095884	8.944608	3.2040884494781494	7.586240291595459	-1397.0017	-1428.053	62.10254	3.219646771412954e-15	2.1464311809419694e-14	True
209	Gene_210	263.93857	3.2090611	6.797317	1.9512333	667.8647	8.267541	8.4258585	1.209025502204895	6.073814868927002	-273.40952	-304.34662	61.874207	3.6637359812630166e-15	2.4103526192519846e-14	True
81	Gene_82	607.9206	2.9501388	6.3669243	1.9556125	777.3409	8.936131	8.255905	1.0847476720809937	6.211583137512207	-270.80994	-301.70523	61.79059	3.774758283725532e-15	2.4511417426789172e-14	True
189	Gene_190	327.1359	2.8191402	6.1745887	1.9906044	908.8218	7.651534	7.618814	1.1820865869522095	6.289379119873047	-284.71756	-315.53964	61.644165	4.107825191113079e-15	2.633221276354538e-14	True
48	Gene_49	431.7947	4.085259	6.4895477	0.4574158	626.9937	10.976156	8.141499	0.05752154439687729	3.4278900623321533	383.00934	352.33258	61.353516	4.773959005888173e-15	3.0214930417013755e-14	True
166	Gene_167	331.76572	3.1081707	6.269011	1.7068747	1027.9984	7.2707996	7.4441705	1.1363903284072876	5.803574562072754	-194.17172	-224.69293	61.04242	5.551115123125783e-15	3.426614273534434e-14	True
