ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
400	Gene_400	1.7918423	0.0	5.812507	3.7699118	2.0002055	0.0011556162	6.075756	1.2069324	-3599.7773	-3612.9775	26.40039	2.9802322e-07	True	7.450580596923828e-05
435	Gene_435	0.938794	0.0	2.7555482	3.5654745	0.95860493	0.00077632815	3.3811688	0.7037759	-1018.7607	-1032.4727	27.42395	1.7881393e-07	True	7.450580596923828e-05
61	Gene_61	0.69948375	0.0	2.1794674	3.3862138	0.7978549	0.00084412144	2.9150748	0.8208211	-713.27527	-725.8412	25.131836	5.364418e-07	True	8.940696716308594e-05
186	Gene_186	1.8927739	0.0	5.5584397	3.6948338	1.88723	0.0007582273	5.8127503	0.87977755	-3294.7803	-3306.831	24.101562	8.940697e-07	True	0.00011175870895385742
367	Gene_367	1.7156365	0.0	4.5769515	3.482522	1.768601	0.0010154819	4.8991456	1.190682	-2262.1252	-2273.8054	23.360352	1.3709068e-06	True	0.0001241763432820638
67	Gene_67	1.3396727	0.0	3.1123736	3.128092	1.3105038	0.0012571136	3.538909	0.8350259	-1015.71265	-1027.2744	23.123535	1.4901161e-06	True	0.0001241763432820638
308	Gene_308	1.0781783	0.0	2.8244925	2.920251	1.1409879	0.0011291859	3.2674172	0.7507088	-832.2905	-842.63354	20.686035	5.4240227e-06	True	0.00038743019104003906
59	Gene_59	0.835322	0.0	1.8347944	3.1844716	0.8330696	0.000294329	2.5367062	0.51499814	-361.53546	-370.76196	18.453003	1.7404556e-05	True	0.001087784767150879
226	Gene_226	0.7311551	0.0	1.6628602	2.9087782	0.774182	0.0013988187	2.3403192	0.8051844	-279.11853	-287.6502	17.063354	3.618002e-05	True	0.0019997358322143555
424	Gene_424	1.4839966	0.0	3.155681	2.843774	1.4280468	0.0009446596	3.5003588	0.7096135	-942.27625	-950.71204	16.871582	3.9994717e-05	True	0.0019997358322143555
453	Gene_453	0.8790328	0.0	1.9940753	3.182383	0.8983075	0.00048538807	2.6654572	0.68602216	-430.71783	-438.60602	15.776367	7.1287155e-05	True	0.0027418136596679688
201	Gene_201	1.2148806	0.0	2.6733694	2.672775	1.2161394	0.0014379977	3.0622394	0.8249657	-638.87787	-646.78564	15.815552	6.979704e-05	True	0.0027418136596679688
481	Gene_481	0.74673945	0.0	1.5454354	3.2466252	0.7402534	0.0007004968	2.3470376	0.54505134	-281.95862	-289.99304	16.068848	6.109476e-05	True	0.0027418136596679688
445	Gene_445	1.1467537	0.0	2.3606808	2.8044794	1.0755692	0.00039196652	2.839631	0.64091784	-491.4779	-499.1454	15.334961	9.006262e-05	True	0.002853572368621826
355	Gene_355	0.54406214	0.0	0.6872139	3.0172946	0.57042897	0.0013995543	1.639942	0.8907881	1.1567993	-6.505989	15.325577	9.047985e-05	True	0.002853572368621826
16	Gene_16	0.7674462	0.0	1.3768314	2.614047	0.78332615	0.0013113598	1.9923797	0.85402405	-57.029602	-64.68356	15.307922	9.1314316e-05	True	0.002853572368621826
318	Gene_318	1.6093595	0.0	3.490011	2.9059844	1.616606	0.0005011757	3.8163807	0.8245037	-1171.5197	-1179.0808	15.122314	0.000100791454	True	0.0029644545386819277
461	Gene_461	0.9457484	0.0	2.1320083	2.6388218	0.9791335	0.0010787973	2.6135833	0.6643472	-359.41486	-366.67334	14.516968	0.00013887882	True	0.003857745064629449
485	Gene_485	0.47561827	0.0	0.44677377	3.1148775	0.53143346	0.00051884644	1.5175527	0.6244482	85.16107	78.281006	13.760132	0.00020772219	True	0.004894354126670144
217	Gene_217	0.35320115	0.0	-0.2339247	3.0669627	0.38512248	0.0013703906	1.0188762	0.6703512	169.50287	162.61598	13.773773	0.00020617247	True	0.004894354126670144
275	Gene_275	0.8669258	0.0	1.6867363	2.8655846	0.89021146	0.00082086906	2.306559	0.5990579	-179.85873	-186.79337	13.869263	0.00019598007	True	0.004894354126670144
369	Gene_369	0.85523	0.0	1.3773948	2.7575393	0.87553674	0.0028103588	2.0182695	0.9257431	-42.753784	-49.599953	13.692337	0.00021535158	True	0.004894354126670144
20	Gene_20	0.7991119	0.0	1.4525609	2.6733384	0.8371247	0.00053079077	2.064965	0.7380656	-57.435852	-63.904602	12.9375	0.0003220439	True	0.006825878069950985
163	Gene_163	0.84456396	0.0	1.4413421	2.686091	0.8175199	0.00057383237	2.0652826	0.66567075	-58.65103	-65.02887	12.755676	0.00035494566	True	0.006825878069950985
337	Gene_337	1.662009	0.0	3.8755367	2.9722614	1.6902181	0.0004144281	4.163365	0.8196237	-1504.2493	-1510.6567	12.814941	0.0003438592	True	0.006825878069950985
281	Gene_281	0.8401773	0.0	1.5854855	2.5696118	0.908515	0.0014409709	2.13582	0.9357398	-95.74042	-102.14937	12.817902	0.00034332275	True	0.006825878069950985
132	Gene_132	1.1184793	0.0	2.2938857	2.7174158	1.1902722	0.0010552624	2.7423084	0.6479122	-376.76147	-383.05557	12.588196	0.00038820505	True	0.007131269999912807
441	Gene_441	0.33496645	0.0	-0.21392374	2.8227947	0.36861935	0.0024604087	0.89210373	0.8670777	175.81744	169.54984	12.535217	0.00039935112	True	0.007131269999912807
138	Gene_138	0.41846332	0.0	0.009156871	2.890192	0.4148475	0.000966263	1.1048571	0.6256816	165.95355	159.74544	12.416229	0.00042563677	True	0.007229050000508627
23	Gene_23	0.6258822	0.0	0.93097585	2.927919	0.73339605	0.0006991373	1.750023	0.7137406	78.1846	71.9942	12.380798	0.000433743	True	0.007229050000508627
405	Gene_405	0.75916845	0.0	1.2298298	2.6994643	0.82276624	0.00091592263	1.8829389	0.94614804	-10.887878	-16.95948	12.143204	0.000492692	True	0.00777561217546463
309	Gene_309	0.48910642	0.0	0.5501499	2.9372358	0.47921357	0.0010139211	1.5217391	0.6647609	11.579346	5.5171204	12.124451	0.0004976392	True	0.00777561217546463
197	Gene_197	0.8564378	0.0	1.6217389	2.5102313	0.9665991	0.0018661906	2.1340597	0.9186163	-71.46088	-77.49439	12.067032	0.000513196	True	0.007775696841153231
177	Gene_177	0.7264575	0.0	1.5313648	2.8663301	0.7557503	0.0005178746	2.2168403	0.64532894	-189.8689	-195.76688	11.795959	0.00059360266	True	0.00872945084291346
7	Gene_7	0.85167915	0.0	1.5360088	2.7795246	0.8392217	0.0007080086	2.1676288	0.60780007	-109.92502	-115.789825	11.729614	0.00061511993	True	0.008787427629743303
240	Gene_240	0.7493006	0.0	1.5161892	2.8286085	0.7748306	0.0009241329	2.1930308	0.5453727	-150.38031	-155.9479	11.135193	0.0008470416	True	0.011764466762542726
174	Gene_174	0.26067847	0.0	-1.2813097	3.2353098	0.2670558	0.00058422796	0.44993123	0.45988053	276.62012	271.29636	10.647522	0.0011022091	True	0.014894717448466533
245	Gene_245	1.5767113	0.0	2.9737308	2.633978	1.6104707	0.0024835605	3.3111596	1.134073	-754.866	-759.98303	10.234009	0.0013787746	True	0.01814177161768863
428	Gene_428	0.20657845	0.0	-1.5475898	2.996458	0.217341	0.0010078601	0.082125835	0.6924733	270.6892	265.8186	9.741211	0.0018018484	True	0.023100620661026392
48	Gene_48	0.65266794	0.0	0.5470832	2.6856487	0.63933843	0.000665795	1.3722982	0.5939433	219.51059	214.71172	9.597748	0.0019481778	True	0.024352222681045532
47	Gene_47	0.48791015	0.0	0.43071902	2.9772475	0.5352706	0.0009035338	1.4219245	0.87390834	84.31641	79.623795	9.385223	0.0021874309	True	0.026675986080634883
295	Gene_295	0.36467123	0.0	-0.27537423	2.8231785	0.36569524	0.00097530626	0.8756554	0.6537327	216.63715	212.27199	8.730316	0.0031296015	True	0.03725716045924595
4	Gene_4	0.3625798	0.0	-0.17791335	2.5988514	0.37734926	0.0010627412	0.82836664	0.5655484	261.72858	257.53833	8.380493	0.0037927032	True	0.0441011994384056
443	Gene_443	0.5133286	0.0	0.3243182	2.6135688	0.5183227	0.00050746894	1.1983908	0.5110001	230.01721	225.85205	8.330322	0.003898859	True	0.04430521618236195
491	Gene_491	0.52078307	0.0	0.2829086	2.2215848	0.63251215	0.0030843634	0.8864354	1.0343447	320.15607	316.01303	8.286072	0.003995061	True	0.044389565785725914
220	Gene_220	0.44499928	0.0	-0.010748063	2.4943748	0.46604872	0.0005089302	0.89590025	0.5017774	307.6489	303.5446	8.208618	0.004169166	True	0.04531702269678531
303	Gene_303	0.5446008	0.0	0.30097058	2.565512	0.5468375	0.0005575465	1.1597923	0.47869092	273.3806	269.33536	8.090515	0.004449725	True	0.04733750160704268
401	Gene_401	0.70806634	0.0	0.5999629	2.617979	0.7611324	0.00033190357	1.3464738	0.92665994	243.59332	239.80707	7.57251	0.0059265494	False	0.061734889944394425
327	Gene_327	0.40557164	0.0	-0.34600976	2.7123942	0.41969445	0.0009088555	0.74238497	0.66894305	299.45892	295.876	7.1658325	0.007430494	False	0.07582136562892369
313	Gene_313	0.47627646	0.0	-0.22625062	2.5471776	0.558193	0.0004947202	0.71438324	0.65059596	394.7804	391.2262	7.1083984	0.0076723695	False	0.07672369480133057
257	Gene_257	0.72308546	0.0	0.89077747	2.3028178	0.7353048	0.0015228088	1.4722669	0.66173923	211.56775	208.03802	7.0594482	0.00788486	False	0.07730254939958162
335	Gene_335	0.46263835	0.0	-0.16416895	2.5341628	0.4857586	0.0006083232	0.75587296	0.8009342	327.90753	324.40155	7.011963	0.008096695	False	0.07785283602201022
30	Gene_30	0.15304147	0.0	-1.6384659	2.9033306	0.16272743	0.0009689771	-0.020078138	0.57968175	209.5799	206.1307	6.8983765	0.008627415	False	0.08139070474876547
203	Gene_203	0.3520688	0.0	-0.6227571	3.0114677	0.3528436	0.00034824188	0.732129	0.5171548	268.14603	264.71408	6.8638916	0.0087955	False	0.08143981297810872
384	Gene_384	0.5678833	0.0	0.16044742	2.182358	0.592447	0.0008079593	0.83898014	0.63610184	375.85403	373.14694	5.4141846	0.019973755	False	0.18157958984375
92	Gene_92	16.635456	0.0	3.0572042	3.3259215	16.62223	0.033033673	3.127561	3.2871766	-1029.3337	-1031.9778	5.288086	0.021471798	False	0.18541360723561254
218	Gene_218	0.24694398	0.0	-1.4382486	2.5871246	0.25066313	0.00033533858	-0.06581619	0.4168	368.38336	365.72055	5.3256226	0.021014094	False	0.18541360723561254
343	Gene_343	6.6978693	0.0	2.166191	3.425444	6.166033	0.00032446306	2.2105777	3.243304	-651.84326	-654.48584	5.2851562	0.021507978	False	0.18541360723561254
144	Gene_144	0.48222575	0.0	-0.4259591	2.0696855	0.49636087	0.000786572	0.32261315	0.58857125	445.79028	443.2766	5.0273438	0.024950147	False	0.20450939897631035
69	Gene_69	0.12220118	0.0	-2.7153895	2.5061991	0.1369855	0.0008646329	-1.0682417	0.5298952	286.9632	284.42432	5.077759	0.024234653	False	0.20450939897631035
411	Gene_411	0.46494198	0.0	-0.19819565	2.5024104	0.44242823	0.00067417324	0.7355186	0.6475594	320.38623	317.86194	5.048584	0.024646044	False	0.20450939897631035
415	Gene_415	0.4730525	0.0	-0.510764	2.0373318	0.4734757	0.0012032499	0.19887343	0.7494657	429.3235	426.8814	4.8841553	0.027104318	False	0.21858321082207466
82	Gene_82	0.47074166	0.0	-0.08467387	2.3322725	0.48861486	0.0011850767	0.70454085	0.7753296	342.76022	340.4067	4.7070312	0.03003949	False	0.23107299437889686
22	Gene_22	11.203739	0.0	4.0170264	3.8089786	10.494134	0.00029382575	4.033138	3.6026707	-1972.7324	-1975.1033	4.741699	0.029439986	False	0.23107299437889686
213	Gene_213	0.46612802	0.0	-0.33814085	2.2548676	0.4592264	0.0007351804	0.49629498	0.6090764	391.51703	389.1604	4.713257	0.02993089	False	0.23107299437889686
493	Gene_493	0.23567012	0.0	-1.6916999	2.2576354	0.23674351	0.0005350648	-0.49624994	0.47335055	376.11258	373.95294	4.319275	0.03768295	False	0.28121604848263865
137	Gene_137	9.120389	0.0	2.1832771	2.4304214	9.042984	0.00028171536	2.218052	2.2438302	-162.3404	-164.50137	4.3219604	0.037623525	False	0.28121604848263865
224	Gene_224	0.41915536	0.0	-0.5585343	2.348515	0.45910746	0.0003038881	0.3869687	0.60239506	422.46365	420.35342	4.220459	0.039939344	False	0.2936716465389027
421	Gene_421	5.233822	0.0	1.0110612	2.4950309	6.553835	0.0006864635	1.0675632	2.3608167	219.62128	217.5293	4.18396	0.0408082	False	0.2957116002621858
129	Gene_129	17.617743	0.0	4.8586664	3.659033	16.579807	0.0004649666	4.8663163	3.5905476	-2592.5835	-2594.5967	4.026367	0.04479432	False	0.31995943614414757
260	Gene_260	0.82502663	0.0	0.834307	2.1743069	0.9747009	0.0019933793	1.3174222	1.0413418	289.47095	287.48102	3.9798584	0.04604745	False	0.3242778106474541
330	Gene_330	0.27483234	0.0	-1.5816548	2.338728	0.29416987	0.00079699425	-0.41476753	0.6729116	391.02515	389.11273	3.824829	0.050498486	False	0.35068392753601074
249	Gene_249	9.916069	0.0	1.6866945	3.382928	10.194523	0.00048180635	1.7380311	3.2304385	-334.54773	-336.40915	3.7228394	0.05367303	False	0.36762348593097843
45	Gene_45	0.40707985	0.0	-0.70214367	2.2612162	0.40845907	0.0006756275	0.22394931	0.584873	415.21216	413.37097	3.682373	0.05499053	False	0.3715576352299871
297	Gene_297	5.922393	0.0	1.9932648	3.1398244	8.2557535	0.019264042	2.0265543	3.0148365	-400.56232	-402.32104	3.517456	0.06072557	False	0.40483713150024414
38	Gene_38	11.804095	0.0	3.4101775	3.501698	12.901019	0.0012797833	3.4336998	3.363319	-1349.6241	-1351.2144	3.18042	0.074525535	False	0.4670046269893646
160	Gene_160	6.6209607	0.0	0.04970342	3.7183666	6.92004	0.0012407216	0.09670404	3.6415186	10.167908	8.5746155	3.1865845	0.074244976	False	0.4670046269893646
10	Gene_10	17.836124	0.0	4.6213384	3.7016551	16.804953	0.0003874139	4.621946	3.6436248	-2396.3062	-2397.9277	3.243164	0.07172203	False	0.4670046269893646
263	Gene_263	0.28967872	0.0	-1.404561	2.4295661	0.32691163	0.0019401716	-0.30035397	0.9198536	376.5979	375.00983	3.1761475	0.07472074	False	0.4670046269893646
36	Gene_36	16.292501	0.0	1.3512273	2.7594423	15.656997	0.003771475	1.3645753	2.7517257	45.46689	43.86264	3.208496	0.07325685	False	0.4670046269893646
142	Gene_142	0.22495224	0.0	-2.153811	2.3025608	0.23989782	0.00047480562	-0.8072985	0.5313327	370.99753	369.43784	3.1193848	0.077365935	False	0.4719383105999086
381	Gene_381	12.618736	0.0	0.34115148	3.0275795	10.832369	0.03048403	0.42060617	2.8885074	245.73187	244.17252	3.1187134	0.07739788	False	0.4719383105999086
