ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
327	Gene_327	188.07812	0.0	-0.09874873	1.6408956	75.67508	0.52900046	-0.68984497	2.3872008	525.3408	491.93408	66.81348	0.0	True	0.0
343	Gene_343	418.81262	0.0	1.2309873	2.1711752	382.69507	0.69081783	0.8679847	2.6066384	277.07312	184.74693	184.65237	0.0	True	0.0
342	Gene_342	101.239006	0.0	-1.3055662	1.8370597	28.744299	0.54216295	-2.152348	2.5950003	431.62244	387.2921	88.660645	0.0	True	0.0
340	Gene_340	389.62943	0.0	0.22814077	1.9392848	393.35083	0.63205075	0.06906099	2.5076318	520.0789	477.37207	85.4137	0.0	True	0.0
339	Gene_339	47.932423	0.0	2.601796	0.76413894	56.83572	0.54170424	2.4698558	2.2727144	-110.22768	-130.98927	41.523193	0.0	True	0.0
338	Gene_338	237.54611	0.0	0.25747547	1.8637989	194.42023	0.5956313	0.028235318	2.334767	509.0806	450.03308	118.09503	0.0	True	0.0
337	Gene_337	264.70377	0.0	-0.01847212	2.0832255	401.26678	0.5904654	-0.2781658	2.5856705	516.28467	475.4553	81.65875	0.0	True	0.0
336	Gene_336	49.935062	0.0	1.1986651	2.3582273	43.33524	0.6249769	1.2244331	2.6549988	232.17719	148.24881	167.85675	0.0	True	0.0
335	Gene_335	17.512138	0.0	1.5445751	0.82422125	18.226627	0.5400341	1.3566742	2.2599247	328.18222	280.16168	96.04108	0.0	True	0.0
334	Gene_334	42.825775	0.0	1.4069315	0.7089662	42.988132	0.5779503	0.79083824	2.2403176	355.15393	276.71115	156.88556	0.0	True	0.0
333	Gene_333	12.411215	0.0	4.26946	0.6938395	12.158953	0.4161821	4.0642023	2.5366595	-1506.9801	-1539.4242	64.88818	0.0	True	0.0
332	Gene_332	183.22375	0.0	0.07982056	1.1840813	164.8392	0.57928354	-0.7096773	2.0693667	539.2348	480.71222	117.045166	0.0	True	0.0
331	Gene_331	130.27213	0.0	-0.30811128	2.036599	135.59775	0.66449064	-0.86261123	2.8309393	501.00266	456.88318	88.23895	0.0	True	0.0
330	Gene_330	28.276047	0.0	0.64505446	1.4501041	28.02454	0.50047934	0.4090539	2.1431005	509.91003	485.78436	48.251343	0.0	True	0.0
