ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
311	Gene_311	19.23301	0.0	2.294813	0.89475745	19.414997	0.7037827	1.835375	2.9191685	-118.10236	-224.48178	212.75883	0.0	True	0.0
329	Gene_329	20.2796	0.0	2.6171334	0.8322534	21.02551	0.49023253	2.3834689	2.0719016	-133.7341	-172.37796	77.28772	0.0	True	0.0
326	Gene_326	11.460332	0.0	4.082951	0.9262109	11.669717	0.4662518	4.077095	2.2501848	-1277.5762	-1296.0778	37.003174	0.0	True	0.0
323	Gene_323	8.568597	0.0	2.6330733	0.94217324	8.599613	0.5936629	2.021521	2.381259	-263.35333	-318.7447	110.782715	0.0	True	0.0
322	Gene_322	16.641438	0.0	2.3446631	0.7743441	16.34009	0.5206571	1.7847323	2.2136688	-4.214966	-36.230087	64.03024	0.0	True	0.0
321	Gene_321	22.170128	0.0	2.8487232	0.9353196	21.21848	0.6121245	2.7600682	2.3293116	-294.1194	-323.93573	59.63269	0.0	True	0.0
320	Gene_320	45.254196	0.0	2.6603973	2.2133982	45.60975	0.6367471	2.7340515	2.6588602	-352.49088	-417.03595	129.09015	0.0	True	0.0
319	Gene_319	12.193548	0.0	4.5784106	1.0920441	11.957586	0.5492982	4.168318	2.5526605	-1835.6831	-1912.7185	154.0708	0.0	True	0.0
318	Gene_318	458.6023	0.0	3.120256	2.1952808	662.8281	0.6371043	2.8008192	2.6549459	-600.29065	-678.34875	156.11621	0.0	True	0.0
317	Gene_317	19.867836	0.0	4.4346523	0.9321908	20.19211	0.37725088	4.15087	2.4934535	-1597.097	-1613.186	32.17798	0.0	True	0.0
316	Gene_316	16.406925	0.0	3.3187025	0.92376035	16.380804	0.59873825	3.061821	2.728038	-679.42096	-720.13196	81.422	0.0	True	0.0
315	Gene_315	305.73965	0.0	3.036222	1.0485511	251.55096	0.5847468	3.1229632	2.6429172	-433.16016	-471.07123	75.82214	0.0	True	0.0
314	Gene_314	263.00867	0.0	0.5684687	2.5040815	227.90152	0.6314531	0.6493994	2.8521156	333.66495	250.51663	166.29663	0.0	True	0.0
313	Gene_313	21.222832	0.0	4.3708544	2.4512494	17.910757	0.452895	4.220516	2.454209	-1660.7668	-1718.4724	115.41113	0.0	True	0.0
312	Gene_312	26.995148	0.0	3.3556767	0.80519915	27.110493	0.62222075	3.4398336	2.851867	-710.1761	-766.3202	112.28821	0.0	True	0.0
330	Gene_330	24.319315	0.0	2.7636068	0.8132258	24.604692	0.59554386	3.041589	2.489686	-280.321	-332.20038	103.75873	0.0	True	0.0
310	Gene_310	258.68515	0.0	1.1287957	2.1268969	379.506	0.55734855	1.4353461	2.5114083	321.85977	276.68057	90.3584	0.0	True	0.0
309	Gene_309	7.7194138	0.0	3.170059	1.110913	8.192804	0.5714958	3.1731067	2.4503105	-596.1928	-621.0929	49.80017	0.0	True	0.0
307	Gene_307	11.199637	0.0	2.5429547	1.1615052	11.532438	0.61412036	2.5361967	2.6891263	-202.96274	-247.59772	89.26996	0.0	True	0.0
306	Gene_306	264.19836	0.0	2.8145142	1.2660271	202.91711	0.642163	2.6458821	2.623926	-280.3684	-323.1124	85.487976	0.0	True	0.0
305	Gene_305	9.819884	0.0	4.2063403	1.0818268	10.251286	0.46716282	3.9287233	2.3493257	-1416.6294	-1438.5217	43.784668	0.0	True	0.0
304	Gene_304	24.675941	0.0	1.6786017	0.8899855	24.843933	0.6226686	1.4813249	2.425004	261.73203	209.97134	103.52136	0.0	True	0.0
303	Gene_303	398.12607	0.0	1.8880225	1.8554488	267.51184	0.6496853	1.6804245	2.5977812	119.93234	69.800385	100.263916	0.0	True	0.0
302	Gene_302	24.136309	0.0	3.3202906	1.1557231	25.427422	0.5774038	3.244293	2.4627612	-656.83984	-707.71606	101.75244	0.0	True	0.0
301	Gene_301	16.766285	0.0	2.63452	0.81408894	15.943642	0.5751897	2.2736592	2.5916367	-217.33752	-264.36502	94.05499	0.0	True	0.0
300	Gene_300	14.4431	0.0	3.9959676	0.90630454	14.900337	0.48791412	3.7840183	2.4743068	-1222.5621	-1260.4602	75.79614	0.0	True	0.0
299	Gene_299	168.47594	0.0	2.9027653	2.2893765	165.46527	0.58621836	3.00768	2.6870244	-507.54733	-572.7966	130.49847	0.0	True	0.0
298	Gene_298	12.373645	0.0	3.5257883	0.96675175	12.582062	0.55589426	3.3252425	2.324229	-825.828	-854.7764	57.89685	0.0	True	0.0
297	Gene_297	10.015376	0.0	3.705148	1.0337702	10.8066435	0.4173935	3.3012314	2.124562	-955.3349	-984.3408	58.01184	0.0	True	0.0
345	Gene_345	278.71146	0.0	0.91835254	1.9004014	270.90274	0.6839208	0.6327652	2.4803572	416.26465	344.74902	143.03125	0.0	True	0.0
363	Gene_363	12.821417	0.0	3.881044	1.002481	12.3617115	0.45978117	3.8615286	2.39965	-1120.3617	-1147.3438	53.96411	0.0	True	0.0
362	Gene_362	18.16833	0.0	3.7874608	1.1310358	17.343138	0.5827266	3.5152688	2.656541	-1042.6663	-1070.7386	56.144775	0.0	True	0.0
361	Gene_361	28.96997	0.0	1.9884914	0.726802	25.822155	0.655996	1.4472665	2.5645804	119.60552	33.856934	171.49718	0.0	True	0.0
360	Gene_360	357.1508	0.0	0.9967695	1.7511702	275.6596	0.5876248	1.244663	2.2792165	439.4056	398.58264	81.645935	0.0	True	0.0
359	Gene_359	7.954025	0.0	4.067599	1.0047765	8.412351	0.40801084	3.8019626	2.0053544	-1272.4109	-1295.5065	46.191162	0.0	True	0.0
357	Gene_357	16.257889	0.0	2.4999986	0.74640846	16.152975	0.44218162	2.4527996	2.1049008	-81.95535	-113.92636	63.942017	0.0	True	0.0
356	Gene_356	15.556532	0.0	3.2224393	0.86698407	15.358074	0.5058274	2.9240818	2.2562068	-554.25397	-571.6703	34.83264	0.0	True	0.0
355	Gene_355	44.442886	0.0	2.4990735	0.8084158	44.24738	0.5920354	2.352735	2.4340808	-66.48398	-93.48819	54.008423	0.0	True	0.0
354	Gene_354	12.728205	0.0	3.101479	0.9900917	14.346586	0.42923313	3.22134	2.0904932	-468.23276	-496.09906	55.732605	0.0	True	0.0
353	Gene_353	15.055634	0.0	4.5043855	0.9023624	15.019956	0.50436926	4.1550493	2.7192457	-1758.0188	-1809.7863	103.53491	0.0	True	0.0
352	Gene_352	84.59066	0.0	3.6626325	0.9765968	85.99465	0.61907965	3.4118104	2.5838063	-881.9758	-931.199	98.44629	0.0	True	0.0
350	Gene_350	198.89491	0.0	1.2096397	2.359763	183.71342	0.6500836	1.077311	2.6073527	210.66031	107.98746	205.3457	0.0	True	0.0
349	Gene_349	9.464055	0.0	2.435454	0.95432377	9.557684	0.5508842	2.3814578	2.2393441	-78.39904	-103.275024	49.75197	0.0	True	0.0
348	Gene_348	70.6429	0.0	4.3656545	1.0590557	66.55715	0.4396618	4.1966662	2.6274498	-1518.64	-1546.463	55.645996	0.0	True	0.0
295	Gene_295	20.468391	0.0	3.0287135	2.3412163	21.835802	0.4784084	2.878935	2.6269662	-616.97516	-647.841	61.73169	0.0	True	0.0
344	Gene_344	34.882957	0.0	3.9817696	1.148285	39.87346	0.5208366	3.9562025	2.4122512	-1146.9283	-1177.3589	60.861084	0.0	True	0.0
343	Gene_343	12.064975	0.0	3.4007452	0.92147845	14.03858	0.50852066	3.2748265	2.188172	-713.823	-753.4794	79.312744	0.0	True	0.0
342	Gene_342	208.98445	0.0	1.5898489	1.8657126	251.06815	0.553915	1.6114637	2.3300767	251.55164	208.95145	85.20038	0.0	True	0.0
341	Gene_341	10.021343	0.0	3.687771	1.048571	8.325151	0.5879755	3.498602	2.398112	-1016.5219	-1069.0566	105.06946	0.0	True	0.0
340	Gene_340	25.212538	0.0	3.1868322	1.1427096	24.28946	0.5466478	2.8970904	2.4550698	-559.4507	-616.8291	114.756836	0.0	True	0.0
339	Gene_339	78.460594	0.0	3.0483713	2.5609972	77.57058	0.521226	2.7577744	2.721908	-693.6055	-771.4297	155.64832	0.0	True	0.0
337	Gene_337	12.384543	0.0	4.5107374	1.1162971	13.229034	0.525546	4.061626	2.4502873	-1684.7423	-1704.2151	38.945557	0.0	True	0.0
336	Gene_336	23.943413	0.0	3.1421714	0.7997316	24.106249	0.52495766	3.20528	2.3860815	-505.97574	-531.49133	51.03119	0.0	True	0.0
335	Gene_335	10.115866	0.0	5.1350145	1.204617	10.70639	0.43370426	4.875976	2.514719	-2363.2205	-2398.518	70.595215	0.0	True	0.0
334	Gene_334	19.70537	0.0	1.9309335	1.0208706	20.083704	0.5629839	1.7181563	2.1930816	184.51894	139.70743	89.62302	0.0	True	0.0
333	Gene_333	33.457264	0.0	2.1319478	1.063118	33.78577	0.5250014	1.9789358	2.342698	81.543304	30.302872	102.480865	0.0	True	0.0
332	Gene_332	965.26587	0.0	1.0546074	2.3162956	382.10626	0.69070584	1.1242228	2.9160168	281.3977	206.3227	150.15002	0.0	True	0.0
331	Gene_331	28.8219	0.0	3.9621868	1.0642679	28.963833	0.48638827	3.7119923	2.342948	-1128.248	-1149.6003	42.70459	0.0	True	0.0
247	Gene_247	23.10998	0.0	3.928311	1.0484357	22.05419	0.59591883	3.8847647	2.6349678	-1133.871	-1168.3118	68.88159	0.0	True	0.0
261	Gene_261	19.830156	0.0	3.2925975	0.91809297	24.773954	0.5915129	2.8272424	2.6285555	-656.3709	-710.5908	108.43982	0.0	True	0.0
260	Gene_260	19.166796	0.0	1.6866198	0.7377251	19.5929	0.5793973	1.3302103	2.389455	285.94495	247.08022	77.72946	0.0	True	0.0
259	Gene_259	9.586706	0.0	4.280228	1.08067	10.077886	0.5346581	3.9840183	2.6246696	-1523.5983	-1540.3728	33.549072	0.0	True	0.0
258	Gene_258	345.17825	0.0	2.288384	2.4697764	510.28122	0.5820753	2.3073115	2.8441653	-206.63287	-267.3472	121.42865	0.0	True	0.0
257	Gene_257	35.186142	0.0	3.079229	0.86163133	39.428898	0.57045346	2.6793337	2.6492767	-487.80832	-531.7582	87.89972	0.0	True	0.0
256	Gene_256	46.234165	0.0	3.1506705	2.4067235	46.481873	0.5971242	3.0709453	2.962835	-727.7279	-776.0219	96.58801	0.0	True	0.0
255	Gene_255	12.8152895	0.0	3.2745445	0.90663016	14.29669	0.57448876	3.0003145	2.73847	-691.64233	-756.23975	129.19482	0.0	True	0.0
