ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
329	Gene_329	1096.6332	0.0	2.9881885	1.3365724	651.41376	0.6782445	2.660749	2.128747	-330.69293	-378.21066	95.03546	0.0	True	0.0
344	Gene_344	582.6469	0.0	1.0356714	1.4390855	675.6815	0.59534365	0.7941542	1.8595235	504.64117	454.3218	100.63873	0.0	True	0.0
343	Gene_343	862.7514	0.0	1.19957	1.5508689	557.63586	0.62295955	0.98271614	1.8964524	448.89587	378.25842	141.2749	0.0	True	0.0
342	Gene_342	458.45996	0.0	0.036129564	1.6512508	559.67505	0.69189554	0.2360165	2.1317763	572.6795	502.41248	140.53406	0.0	True	0.0
341	Gene_341	328.8985	0.0	-0.45277694	1.9320406	451.01486	0.6390785	-0.5992441	2.4187	540.8887	493.44617	94.88501	0.0	True	0.0
340	Gene_340	530.74567	0.0	-0.036415305	2.2584305	733.0474	0.6742894	-0.17779759	2.526098	475.43698	359.60678	231.6604	0.0	True	0.0
339	Gene_339	456.9708	0.0	0.6909247	1.9329687	536.67834	0.71253806	0.73019207	2.4024823	451.33804	357.4466	187.7829	0.0	True	0.0
338	Gene_338	400.64902	0.0	-1.0309074	1.8172845	200.68736	0.5458243	-1.3528715	2.2004893	496.2013	443.00476	106.39307	0.0	True	0.0
337	Gene_337	452.54156	0.0	0.5438006	1.5686394	535.4575	0.64259744	0.22147343	2.0891397	561.1062	522.5282	77.156006	0.0	True	0.0
336	Gene_336	741.73364	0.0	1.614408	1.7040334	685.07385	0.6836886	1.7495407	2.1736233	300.11624	233.87077	132.49094	0.0	True	0.0
335	Gene_335	342.5015	0.0	-0.7558098	1.8255332	488.26736	0.66417325	-0.9664456	2.2895951	536.42834	470.46222	131.93225	0.0	True	0.0
334	Gene_334	349.4413	0.0	0.122022554	1.5679387	428.3064	0.6750373	-0.10915527	2.333705	564.59607	523.6562	81.87976	0.0	True	0.0
333	Gene_333	519.5257	0.0	0.6651302	1.7893637	426.52612	0.6502154	0.69793165	2.2302368	495.9985	431.82553	128.34595	0.0	True	0.0
332	Gene_332	615.8228	0.0	0.616281	1.694775	523.2787	0.69429153	0.57830316	2.177175	538.46594	474.50793	127.916016	0.0	True	0.0
331	Gene_331	486.41946	0.0	0.5809947	1.7257377	506.1301	0.66592824	0.626981	2.2269652	535.0349	481.79163	106.48657	0.0	True	0.0
330	Gene_330	792.74744	0.0	1.7589341	1.8072731	865.0389	0.70975256	1.6284997	2.2742395	241.53897	169.61983	143.83829	0.0	True	0.0
345	Gene_345	523.34357	0.0	0.69740444	1.5396327	566.1622	0.65399295	0.76770765	2.0737865	535.4066	484.3653	102.08264	0.0	True	0.0
328	Gene_328	517.30023	0.0	1.2531686	1.6854136	529.5744	0.65055263	1.1671871	2.0488558	417.79095	341.71606	152.14978	0.0	True	0.0
327	Gene_327	853.9976	0.0	0.6385348	1.5728899	568.22736	0.58922046	0.5937818	1.9543985	546.2698	494.9833	102.57294	0.0	True	0.0
326	Gene_326	832.5455	0.0	4.1294293	1.6693549	1054.002	0.54595137	3.8560607	2.171764	-1251.8813	-1304.5104	105.25806	0.0	True	0.0
325	Gene_325	635.1767	0.0	1.498909	1.737551	1096.6332	0.747402	1.4480749	2.2979453	349.72034	268.84772	161.74524	0.0	True	0.0
324	Gene_324	956.37	0.0	0.9215572	2.162013	739.88153	0.74858636	0.8750246	2.6041558	383.5703	282.01727	203.10608	0.0	True	0.0
323	Gene_323	500.898	0.0	0.67210126	1.5410236	681.88	0.70240074	0.56337243	2.1872892	540.3558	484.3759	111.95978	0.0	True	0.0
