ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Gene_1	h0	shared	13.462574	6.0901847	10.474061	3.2924201488494873
0	Gene_1	h1	0	12.6935835	6.432872	10.520785	3.5444977283477783
0	Gene_1	h1	1	12.6935835	6.432872	10.520785	2.083024501800537
1	Gene_2	h0	shared	91.5078	7.246769	8.638027	1.2869271039962769
1	Gene_2	h1	0	540.4764	7.445788	8.762349	1.3715689182281494
1	Gene_2	h1	1	540.4764	7.445788	8.762349	0.8441554307937622
2	Gene_3	h0	shared	59.026005	5.578507	8.40292	1.3670575618743896
2	Gene_3	h1	0	364.89966	5.7184796	8.5198	1.5003349781036377
2	Gene_3	h1	1	364.89966	5.7184796	8.5198	0.6288631558418274
3	Gene_4	h0	shared	66.60595	6.755794	8.67411	1.3411977291107178
3	Gene_4	h1	0	345.2296	6.6940804	8.72425	1.3409652709960938
3	Gene_4	h1	1	345.2296	6.6940804	8.72425	1.2993255853652954
4	Gene_5	h0	shared	26.87527	8.617954	10.603676	-0.03922615572810173
4	Gene_5	h1	0	68.79815	8.618739	10.738082	-0.0700555220246315
4	Gene_5	h1	1	68.79815	8.618739	10.738082	-0.01939794234931469
5	Gene_6	h0	shared	128.86504	5.2506323	7.096238	1.3457704782485962
5	Gene_6	h1	0	560.758	5.2784677	7.120112	1.279069423675537
5	Gene_6	h1	1	560.758	5.2784677	7.120112	1.69143807888031
6	Gene_7	h0	shared	45.2647	9.112284	9.621127	1.3896915912628174
6	Gene_7	h1	0	93.67614	9.682404	9.853109	1.5726127624511719
6	Gene_7	h1	1	93.67614	9.682404	9.853109	0.534673810005188
7	Gene_8	h0	shared	47.386883	8.768604	9.170587	0.6506843566894531
7	Gene_8	h1	0	84.896225	8.8780575	9.267082	0.589869499206543
7	Gene_8	h1	1	84.896225	8.8780575	9.267082	0.8961799144744873
8	Gene_9	h0	shared	118.39538	8.2721405	9.2957	0.914889931678772
8	Gene_9	h1	0	499.29984	8.938124	9.535201	1.0996946096420288
8	Gene_9	h1	1	499.29984	8.938124	9.535201	0.041836321353912354
9	Gene_10	h0	shared	44.878674	4.9964123	8.50842	1.5124157667160034
9	Gene_10	h1	0	43.422047	5.027214	8.535621	1.5164705514907837
9	Gene_10	h1	1	43.422047	5.027214	8.535621	1.5179203748703003
10	Gene_11	h0	shared	23.472166	10.998792	12.167605	-1.4378893375396729
10	Gene_11	h1	0	19.560717	11.142287	12.17074	-1.4043508768081665
10	Gene_11	h1	1	19.560717	11.142287	12.17074	-1.5406721830368042
11	Gene_12	h0	shared	70.66304	8.204777	9.42599	-0.6528875231742859
11	Gene_12	h1	0	404.40585	8.141666	9.447486	-0.6497832536697388
11	Gene_12	h1	1	404.40585	8.141666	9.447486	-0.731874942779541
12	Gene_13	h0	shared	128.1878	10.016444	9.293929	0.051407646387815475
12	Gene_13	h1	0	353.33005	10.014246	9.315976	-0.004406556487083435
12	Gene_13	h1	1	353.33005	10.014246	9.315976	0.2699158787727356
13	Gene_14	h0	shared	90.08433	8.9622965	9.3089905	1.5004740953445435
13	Gene_14	h1	0	450.36456	9.222177	9.445323	1.416963815689087
13	Gene_14	h1	1	450.36456	9.222177	9.445323	1.882834553718567
14	Gene_15	h0	shared	34.825584	11.672313	9.835662	-0.14976254105567932
14	Gene_15	h1	0	68.377106	12.574606	10.04387	0.00241760048083961
14	Gene_15	h1	1	68.377106	12.574606	10.04387	-0.8434768319129944
15	Gene_16	h0	shared	318.8572	5.181055	7.9399447	-0.5246952772140503
15	Gene_16	h1	0	411.22568	5.1888065	7.9409676	-0.5211141109466553
15	Gene_16	h1	1	411.22568	5.1888065	7.9409676	-0.547542929649353
16	Gene_17	h0	shared	17.24243	6.7030787	9.781553	3.483808994293213
16	Gene_17	h1	0	16.379503	7.019326	9.86337	3.329216480255127
16	Gene_17	h1	1	16.379503	7.019326	9.86337	4.288280010223389
17	Gene_18	h0	shared	140.19138	5.6926913	8.343909	0.15996694564819336
17	Gene_18	h1	0	267.2794	5.6782002	8.346924	0.17568673193454742
17	Gene_18	h1	1	267.2794	5.6782002	8.346924	0.07883640378713608
18	Gene_19	h0	shared	128.49454	7.3345757	8.975111	1.40837562084198
18	Gene_19	h1	0	386.1859	7.365038	9.017596	1.3940829038619995
18	Gene_19	h1	1	386.1859	7.365038	9.017596	1.4687755107879639
19	Gene_20	h0	shared	103.327805	5.9347534	8.711843	2.5324549674987793
19	Gene_20	h1	0	406.2925	6.512216	8.94744	2.2776243686676025
19	Gene_20	h1	1	406.2925	6.512216	8.94744	3.848433494567871
20	Gene_21	h0	shared	81.99769	6.326571	8.52331	1.183330774307251
20	Gene_21	h1	0	448.68573	6.2598104	8.538839	1.2075530290603638
20	Gene_21	h1	1	448.68573	6.2598104	8.538839	1.0347883701324463
21	Gene_22	h0	shared	42.99611	11.779548	10.305808	1.5590273141860962
21	Gene_22	h1	0	396.19177	11.731668	10.492813	1.5624852180480957
21	Gene_22	h1	1	396.19177	11.731668	10.492813	1.4704304933547974
22	Gene_23	h0	shared	105.621056	7.4113083	8.603363	0.07163642346858978
22	Gene_23	h1	0	497.11328	7.4856462	8.647281	0.11816845089197159
22	Gene_23	h1	1	497.11328	7.4856462	8.647281	-0.16408777236938477
23	Gene_24	h0	shared	24.140163	5.7861547	8.93624	1.5034475326538086
