ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_0	h1_theta_1	h0	h1	lrt	p	q	signif
384	Gene_385	122.371704	9.108207	9.088893	-0.2721776068210602	171.4968	16.781239	10.50886	-0.5994466543197632	1.5757222175598145	530.4183	508.02017	44.796204	2.186462122466537e-11	1.0932310612332685e-08	True
246	Gene_247	115.45384	5.28228	7.9532394	0.10417219251394272	402.31287	8.173544	8.755442	-0.3359145522117615	2.397104501724243	422.3531	405.27325	34.159668	5.077037457112965e-09	1.2692593642782413e-06	True
458	Gene_459	33.47608	5.3083334	8.488254	1.443016529083252	50.384262	8.20398	9.50381	0.9420090913772583	3.764511823654175	90.74295	74.51936	32.447174	1.2247692748879047e-08	2.0412821248131743e-06	True
220	Gene_221	27.945269	5.798664	8.844874	1.3027136325836182	32.32216	8.03083	9.52728	0.8718814849853516	3.5688188076019287	92.11342	77.81735	28.592133	8.934445416830528e-08	1.116805677103816e-05	True
488	Gene_489	249.7585	6.3317275	8.381372	-0.3066484034061432	423.91537	10.090907	9.504757	-0.6431879997253418	1.6513237953186035	481.35248	467.52594	27.653076	1.4514107038454682e-07	1.4514107038454682e-05	True
62	Gene_63	73.691765	8.091178	9.659547	1.463822364807129	131.35873	11.84026	10.766542	1.090052843093872	3.1769604682922363	171.89668	158.56729	26.658783	2.4274483079178566e-07	2.022873589931547e-05	True
159	Gene_160	113.26176	12.368824	10.427452	-0.5564542412757874	293.32916	17.315384	11.317429	-0.8328324556350708	0.8262515068054199	524.7186	511.7282	25.980835	3.4482353694631485e-07	2.4630252639022488e-05	True
89	Gene_90	255.32877	10.920396	9.050752	0.18890996277332306	340.33594	14.165761	9.545381	-0.10235292464494705	1.5146106481552124	542.3648	529.57153	25.586548	4.229779325681804e-07	2.6436120785511275e-05	True
417	Gene_418	51.813	7.753154	9.432585	0.5960350632667542	347.74622	9.853219	10.039078	0.2792209982872009	2.290619373321533	353.80203	341.18182	25.240417	5.061039635156916e-07	2.8116886861982872e-05	True
91	Gene_92	191.32326	5.302963	8.081352	0.8014814853668213	408.5535	7.3271284	8.670475	0.41129523515701294	2.944148302078247	311.29187	299.06097	24.461792	7.579816628799918e-07	3.789908314399959e-05	True
376	Gene_377	63.339615	8.054575	9.114183	-0.18340888619422913	103.02062	11.709155	10.1210165	-0.4895307421684265	1.396045446395874	494.16037	482.08783	24.14508	8.934410588024022e-07	4.061095721829101e-05	True
236	Gene_237	66.557495	6.109923	8.819163	2.1295406818389893	293.52884	8.928955	9.921671	1.7041590213775635	4.014793395996094	-113.98015	-125.895996	23.831696	1.0513690152924582e-06	4.072421434263819e-05	True
27	Gene_28	29.548	11.872284	11.600443	1.474583387374878	28.057379	15.301033	12.377215	1.1502306461334229	2.9942855834960938	159.21385	147.30481	23.818085	1.0588295729085928e-06	4.072421434263819e-05	True
229	Gene_230	33.13949	8.950969	9.049594	0.448499470949173	213.3486	11.925038	9.756153	0.14770108461380005	1.8338979482650757	466.11044	454.628	22.964905	1.6498602307679633e-06	5.89235796702844e-05	True
297	Gene_298	45.117237	5.9792986	8.024595	1.6567455530166626	77.07824	7.9680395	8.701003	1.2999138832092285	3.44132399559021	86.06799	75.24725	21.64148	3.2866673334019936e-06	0.00010955557778006646	True
206	Gene_207	144.52109	5.845839	8.416	1.5731996297836304	504.31656	7.5438447	8.961521	1.2447367906570435	3.4058945178985596	50.887604	40.87903	20.01715	7.675067911994127e-06	0.00023984587224981646	True
238	Gene_239	34.73939	7.206981	9.014098	1.9284794330596924	50.00917	9.330711	9.704524	1.5618221759796143	3.504777431488037	0.9857179	-8.844543	19.660522	9.249256795018646e-06	0.0002720369645593719	True
480	Gene_481	174.21129	3.97172	7.4223266	1.4192103147506714	863.01556	5.240476	7.885161	0.9691473245620728	3.7467823028564453	170.2377	160.55112	19.373169	1.0750694308891973e-05	0.00029863039746922147	True
152	Gene_153	16.450281	7.98601	9.76761	1.8914988040924072	16.152296	9.823323	10.186011	1.5407168865203857	3.553858518600464	-53.47815	-63.030823	19.105347	1.2369786710819675e-05	0.00031352670072648525	True
274	Gene_275	64.97433	5.1272106	8.211821	1.684990644454956	368.48306	5.9009604	8.455502	1.2685142755508423	3.67519474029541	68.47232	58.93277	19.079102	1.254106802905941e-05	0.00031352670072648525	True
123	Gene_124	150.64183	8.7187605	9.678239	1.1026134490966797	641.4938	10.865822	10.282913	0.8133237957954407	2.4988551139831543	291.82434	282.45108	18.746521	1.4929547231701257e-05	0.0003554654102786013	True
295	Gene_296	26.308697	4.636273	8.389314	0.6000671982765198	37.932804	6.993923	9.504059	0.23583810031414032	2.8702216148376465	200.08142	190.832	18.49884	1.7000771045050378e-05	0.0003709574660009482	True
344	Gene_345	47.467865	6.0265965	8.02453	1.2383568286895752	706.9115	7.242896	8.4022665	0.9191870093345642	2.824519395828247	255.13171	245.88583	18.49176	1.706404343604362e-05	0.0003709574660009482	True
163	Gene_164	142.11809	5.943779	7.745933	0.6692848801612854	560.8246	7.5417423	8.147672	0.3787746727466583	2.3708267211914062	388.48474	379.34723	18.275024	1.9119756684782274e-05	0.00039832826426629736	True
217	Gene_218	23.00015	8.760921	9.225931	0.8552455306053162	303.6998	10.440671	9.667344	0.5753987431526184	2.068681478500366	389.4571	380.51086	17.892456	2.337458319390251e-05	0.00044328040451048744	True
408	Gene_409	35.49723	14.713688	11.702754	-0.7683036923408508	20.759892	17.512928	11.997909	-0.9941897988319397	0.4304620623588562	513.931	504.99606	17.869934	2.3652854624689468e-05	0.00044328040451048744	True
474	Gene_475	117.695435	5.5683894	8.972201	1.1332738399505615	467.5825	7.315182	9.622935	0.7743779420852661	3.0802066326141357	141.00345	132.07985	17.847198	2.3937141843566323e-05	0.00044328040451048744	True
446	Gene_447	174.87976	7.6869373	8.756732	-0.5466365814208984	362.2546	9.160718	9.016681	-0.8309276103973389	0.9148419499397278	512.60034	503.8772	17.44629	2.955406596238941e-05	0.000524392179484121	True
341	Gene_342	41.924507	9.577402	9.844557	-0.512841522693634	110.73611	11.819426	10.382296	-0.8047173023223877	0.8141211867332458	508.22308	499.52722	17.391724	3.041474641007902e-05	0.000524392179484121	True
16	Gene_17	101.49324	5.9889164	8.557837	0.04918960481882095	496.99808	7.2689347	8.94658	-0.27550414204597473	1.7119213342666626	435.4975	426.8548	17.2854	3.216486865642576e-05	0.0005360811442737627	True
421	Gene_422	133.1294	8.334335	8.9302025	1.1077451705932617	383.52255	9.560558	9.158213	0.8379895687103271	2.4149105548858643	335.9336	327.51822	16.83075	4.086574700745693e-05	0.0006591249517331763	True
257	Gene_258	190.09079	11.577852	10.662371	-1.2055045366287231	275.2035	13.311024	10.806783	-1.451728343963623	0.04511602967977524	493.18335	484.80692	16.752869	4.2577842734425886e-05	0.0006652787927254045	True
14	Gene_15	221.33698	6.6315928	8.356873	-0.008849570527672768	378.20673	8.632557	8.986417	-0.25961458683013916	1.462256908416748	484.05347	475.7155	16.675903	4.4340660791286624e-05	0.000671828193807373	True
419	Gene_420	83.06135	7.2083616	9.139101	-0.2741844356060028	156.06036	7.8011785	9.199317	-0.6091830134391785	1.2828762531280518	480.02133	471.9113	16.220093	5.6392813679639886e-05	0.0008293060835241159	True
