ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_0	h1_theta_1	h0	h1	lrt	p	q	signif
337	Gene_338	379.4993	13.231058	8.833863	-0.828538179397583	232.48381	23.00956	9.229057	-1.052306056022644	0.7527852058410645	545.964	521.7383	48.451416	3.3857361358968774e-12	1.6928680679484387e-09	True
233	Gene_234	205.94252	4.2611227	6.812188	1.5795725584030151	768.56055	9.009633	8.364912	1.1199061870574951	3.963189125061035	146.73526	128.68657	36.09738	1.8769888976422067e-09	4.6924722441055167e-07	True
51	Gene_52	400.2891	5.7496476	8.181819	-1.464347243309021	486.94415	9.677435	9.446188	-1.8413063287734985	0.7877122759819031	465.039	448.1868	33.704407	6.4155188939096774e-09	8.652331490166532e-07	True
62	Gene_63	97.57112	8.359687	8.010634	0.6684113144874573	476.76068	12.555224	8.770525	0.3702431917190552	2.206514358520508	495.30798	478.52966	33.55664	6.921865192133225e-09	8.652331490166532e-07	True
153	Gene_154	196.50995	8.509444	7.660213	1.5181869268417358	588.12854	12.868481	8.42737	1.2062100172042847	2.9796855449676514	333.84735	317.58234	32.53003	1.1736496996483936e-08	1.1164487575173372e-06	True
31	Gene_32	177.1286	10.985516	9.30817	-0.8549999594688416	417.77585	14.912271	9.699255	-1.1424658298492432	0.6585297584533691	534.07227	517.93585	32.272827	1.3397385090208047e-08	1.1164487575173372e-06	True
186	Gene_187	352.41403	5.0893545	7.1915035	1.6857308149337769	677.3499	7.0200825	7.6379714	1.274441123008728	3.773977041244507	142.47333	128.21649	28.513672	9.303918702130431e-08	6.645656215807451e-06	True
214	Gene_215	239.17847	10.996322	8.604664	-0.26690131425857544	357.5371	14.49602	8.880792	-0.5167686343193054	1.0734002590179443	566.123	552.29834	27.649292	1.454252852584048e-07	8.143229942210914e-06	True
183	Gene_184	199.50052	4.6901865	6.6621733	1.9609471559524536	648.10016	7.198603	7.393776	1.556760549545288	4.101053237915039	39.051003	25.233994	27.634018	1.4657813895979643e-07	8.143229942210914e-06	True
190	Gene_191	117.24849	15.148731	9.2219095	-0.3129346966743469	310.65106	18.889069	9.3594885	-0.5419492125511169	0.8468605279922485	581.7265	568.684	26.08496	3.267189356837008e-07	1.633594678418504e-05	True
422	Gene_423	239.71239	14.796992	12.049141	-1.9960049390792847	304.2194	17.290003	11.960819	-2.25480055809021	-0.5373135209083557	428.03027	416.95306	22.154419	2.515762345667305e-06	0.00011435283389396842	True
133	Gene_134	278.01062	4.249669	7.157624	1.1515802145004272	765.48535	5.493654	7.534372	0.7698359489440918	3.4131510257720947	186.8978	176.42303	20.949524	4.715449989922682e-06	0.0001964770829134451	True
163	Gene_164	202.56743	5.5877376	7.8477535	-0.40138059854507446	464.6726	7.3089633	8.300222	-0.7527381181716919	1.372939944267273	517.8128	507.59225	20.441101	6.149482453920996e-06	0.00023651855592003832	True
256	Gene_257	44.73548	16.167828	11.570782	-1.1771843433380127	143.3917	19.454885	11.487559	-1.3483870029449463	0.04028227552771568	502.59308	492.46756	20.251038	6.7916617653152045e-06	0.0002425593487612573	True
295	Gene_296	108.19408	4.76118	6.8577905	1.6307172775268555	782.4569	5.8970265	7.144934	1.2442653179168701	3.423509120941162	245.94989	235.9093	20.081177	7.4223608322876444e-06	0.0002474120277429215	True
76	Gene_77	179.77184	10.32724	9.065089	-0.3380016088485718	411.85696	12.337343	9.288926	-0.601388692855835	0.9381252527236938	546.853	536.90186	19.902344	8.150034864540245e-06	0.00025468858951688267	True
45	Gene_46	379.15454	7.4109707	8.108971	0.8430883884429932	574.0716	9.546538	8.554399	0.5814881920814514	2.23732852935791	422.82736	413.06186	19.531006	9.897999524444145e-06	0.0002686474082139325	True
356	Gene_357	262.12048	5.977671	7.4612536	1.4244308471679688	645.27277	8.183713	8.049556	1.1186100244522095	3.0607688426971436	245.11041	235.35515	19.510529	1.0004672786223523e-05	0.0002686474082139325	True
129	Gene_130	170.5257	6.830275	7.790086	1.6791712045669556	503.65878	9.033005	8.3407135	1.382256031036377	3.140204668045044	176.71558	166.97958	19.471985	1.0208601512129434e-05	0.0002686474082139325	True
266	Gene_267	170.70312	5.787275	7.543655	0.5692563056945801	646.8495	7.0726776	7.8974295	0.2752886414527893	2.147475481033325	441.4141	432.0879	18.652405	1.568493136971938e-05	0.0003921232842429845	True
300	Gene_301	167.01776	5.2672443	7.6885843	1.0264371633529663	503.3863	6.575357	8.098643	0.6585296988487244	2.810673713684082	315.9646	306.6905	18.548218	1.6566004744977825e-05	0.0003944286844042339	True
90	Gene_91	186.61395	11.879892	8.136627	1.0145530700683594	559.2637	14.167025	8.389003	0.8227275013923645	1.9890577793121338	494.89508	485.78152	18.227112	1.960678944090688e-05	0.0004456088509297018	True
309	Gene_310	298.6021	7.7857227	9.096328	0.2642260491847992	416.80798	8.685101	9.200471	-0.045871276408433914	1.7146159410476685	466.02936	457.14648	17.765747	2.4984094365243514e-05	0.0005431324862009459	True
370	Gene_371	122.53063	8.744385	7.735318	0.6073878407478333	438.04333	10.908362	8.199982	0.3903574049472809	1.6888837814331055	513.042	504.35263	17.378723	3.062349673499387e-05	0.0006330485703442967	True
315	Gene_316	389.23856	6.1931458	7.078442	0.08502423018217087	762.87994	8.289013	7.593841	-0.16896358132362366	1.566719651222229	513.80176	505.1438	17.315918	3.165242851721484e-05	0.0006330485703442967	True
