ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Gene_1	h0	shared	24.003124	4.938757	8.996672	2.1067960262298584
0	Gene_1	h1	0	23.527973	6.5431876	9.458506	1.6162936687469482
0	Gene_1	h1	1	23.527973	6.5431876	9.458506	4.687566757202148
1	Gene_2	h0	shared	55.289833	4.1473513	8.035568	0.9382073879241943
1	Gene_2	h1	0	122.59358	5.234251	8.45689	0.4315076470375061
1	Gene_2	h1	1	122.59358	5.234251	8.45689	3.4112353324890137
2	Gene_3	h0	shared	79.12395	8.476313	9.2448	0.14880044758319855
2	Gene_3	h1	0	276.67163	10.780387	9.806671	-0.16597026586532593
2	Gene_3	h1	1	276.67163	10.780387	9.806671	1.6722688674926758
3	Gene_4	h0	shared	77.305016	4.333641	7.4122796	1.5768905878067017
3	Gene_4	h1	0	463.40714	4.870777	7.614451	1.240061640739441
3	Gene_4	h1	1	463.40714	4.870777	7.614451	3.5199379920959473
4	Gene_5	h0	shared	75.658554	6.9302835	8.888611	1.4812257289886475
4	Gene_5	h1	0	375.37338	8.381432	9.337465	1.1518871784210205
4	Gene_5	h1	1	375.37338	8.381432	9.337465	3.080507516860962
5	Gene_6	h0	shared	70.677734	8.149297	9.575988	2.6312994956970215
5	Gene_6	h1	0	186.02348	8.816808	9.719364	2.3301162719726562
5	Gene_6	h1	1	186.02348	8.816808	9.719364	4.034834861755371
6	Gene_7	h0	shared	56.1583	7.1756954	10.004738	2.734492301940918
6	Gene_7	h1	0	85.87594	9.987048	10.8437195	2.241347551345825
6	Gene_7	h1	1	85.87594	9.987048	10.8437195	4.9613261222839355
7	Gene_8	h0	shared	57.126118	6.776349	9.472405	1.289869785308838
7	Gene_8	h1	0	212.7751	7.110294	9.553087	0.970035195350647
7	Gene_8	h1	1	212.7751	7.110294	9.553087	2.748795747756958
8	Gene_9	h0	shared	162.94867	4.5168056	8.351797	-1.313508152961731
8	Gene_9	h1	0	351.9564	7.1718884	9.417557	-1.662451148033142
8	Gene_9	h1	1	351.9564	7.1718884	9.417557	1.2027379274368286
9	Gene_10	h0	shared	54.784092	5.640738	9.119975	2.575125217437744
9	Gene_10	h1	0	286.35678	6.84112	9.754977	2.271934747695923
9	Gene_10	h1	1	286.35678	6.84112	9.754977	4.223555564880371
