"gene","ou1_conv","ou1_theta","ou1_alpha","ou1_sigma_sq","ou1_gamma","ou1_loglik","ou2_conv","ou2_theta","ou2_alpha","ou2_sigma_sq","ou2_gamma","ou2_loglik","brown_conv","brown_theta","brown_sigma_sq","brown_gamma","brown_loglik","ou2_vs_bm_pvalue","ou2_vs_ou1_pvalue","qvalue","adaptive"
1,1,1.94799272809864,0.0363445708353365,0.149164525087014,17.2085726812997,-1323.46697145191,1,1.91548994586304,0.0370571006815156,0.150055683880557,17.1026236796156,-1323.34365918738,1,1.94098310207398,0.0819727581457646,32.9950660458818,-1325.16588542853,0.16166544375423,0.0562562979912817,0.16166544375423,"False"
1,1,1.94799272809864,0.0363445708353365,0.149164525087014,17.2085726812997,-1323.46697145191,1,2.41763757459724,0.0370571006815156,0.150055683880557,17.1026236796156,-1323.34365918738,1,1.94098310207398,0.0819727581457646,32.9950660458818,-1325.16588542853,0.16166544375423,0.0562562979912817,0.16166544375423,"False"
2,1,0.934110390380973,0.0776077637365834,0.218091293561908,3.25047483614856,-1045.22254669424,1,0.826210991665839,0.0838368522822779,0.224286683679351,3.14076293414018,-1042.86002916416,1,0.879625714154915,0.0769482384602898,12.182285187115,-1053.53918352274,2.30198341664156e-05,3.80966099922109e-06,2.30198341664156e-05,"True"
2,1,0.934110390380973,0.0776077637365834,0.218091293561908,3.25047483614856,-1045.22254669424,1,1.80137746836042,0.0838368522822779,0.224286683679351,3.14076293414018,-1042.86002916416,1,0.879625714154915,0.0769482384602898,12.182285187115,-1053.53918352274,2.30198341664156e-05,3.80966099922109e-06,2.30198341664156e-05,"True"
3,1,1.24364381357396,0.0503868722753331,0.132531933778613,8.20275699004211,-1096.34330906265,1,1.27246113220206,0.0514647361857873,0.134053852336012,8.09427706779954,-1096.19308957471,1,1.23995180670519,0.0613259954084372,19.8313226625046,-1098.77520632409,0.0756137790851348,0.0230566299999991,0.0756137790851348,"False"
3,1,1.24364381357396,0.0503868722753331,0.132531933778613,8.20275699004211,-1096.34330906265,1,0.928534094829774,0.0514647361857873,0.134053852336012,8.09427706779954,-1096.19308957471,1,1.23995180670519,0.0613259954084372,19.8313226625046,-1098.77520632409,0.0756137790851348,0.0230566299999991,0.0756137790851348,"False"
4,1,1.63296859452607,0.0458492615939331,0.20351644406786,7.81396149494616,-1227.49505541787,1,1.57690312174995,0.0445412737461627,0.198807831345404,8.03211263646332,-1227.13781861621,1,1.64476986328562,0.102352148166513,17.3231364235483,-1230.437224867,0.0369050732554596,0.0102046805180596,0.0369050732554596,"True"
4,1,1.63296859452607,0.0458492615939331,0.20351644406786,7.81396149494616,-1227.49505541787,1,2.33272330005557,0.0445412737461627,0.198807831345404,8.03211263646332,-1227.13781861621,1,1.64476986328562,0.102352148166513,17.3231364235483,-1230.437224867,0.0369050732554596,0.0102046805180596,0.0369050732554596,"True"
5,1,2.02629146753912,0.062391848034944,0.261452739186305,8.38577029295501,-1311.98682987722,1,2.02265143797329,0.0622441949003063,0.260960539222796,8.40408802389641,-1311.98552263428,1,2.0026476119277,0.099660186811141,25.0603590939788,-1315.56914210245,0.0277749854260434,0.00742469635869547,0.0277749854260434,"True"
5,1,2.02629146753912,0.062391848034944,0.261452739186305,8.38577029295501,-1311.98682987722,1,2.05928159438659,0.0622441949003063,0.260960539222796,8.40408802389641,-1311.98552263428,1,2.0026476119277,0.099660186811141,25.0603590939788,-1315.56914210245,0.0277749854260434,0.00742469635869547,0.0277749854260434,"True"
6,1,1.85297563501522,0.0624140873675637,0.222913031641884,8.38015258228355,-1260.30734744146,1,1.83219611516023,0.0619455844368939,0.221486253071765,8.44167502174012,-1260.25096745421,1,1.91871549733004,0.0866779447698376,24.445972503443,-1264.04389722071,0.0225294988943573,0.0058827907755975,0.0225294988943573,"True"
6,1,1.85297563501522,0.0624140873675637,0.222913031641884,8.38015258228355,-1260.30734744146,1,2.05352950370158,0.0619455844368939,0.221486253071765,8.44167502174012,-1260.25096745421,1,1.91871549733004,0.0866779447698376,24.445972503443,-1264.04389722071,0.0225294988943573,0.0058827907755975,0.0225294988943573,"True"
7,1,1.67151096255893,0.0423716183393295,0.162909405822002,11.3640674683637,-1245.0394566111,1,1.62678970190523,0.0405475970096776,0.158227450753437,11.7421206754729,-1244.81110577445,1,1.63027595604293,0.0858733513820065,23.1298195911132,-1246.73339347094,0.146271953243509,0.0499071566879986,0.146271953243509,"False"
7,1,1.67151096255893,0.0423716183393295,0.162909405822002,11.3640674683637,-1245.0394566111,1,2.24340529063774,0.0405475970096776,0.158227450753437,11.7421206754729,-1244.81110577445,1,1.63027595604293,0.0858733513820065,23.1298195911132,-1246.73339347094,0.146271953243509,0.0499071566879986,0.146271953243509,"False"
8,1,2.28030280348303,0.0358759186924626,0.178210010485173,13.2406380038188,-1315.76811997632,1,2.28636265722099,0.0358117046616873,0.177976821099329,13.2608215558315,-1315.76435321853,1,2.28006767651863,0.1017554951501,24.5602390695306,-1317.05385675682,0.275407478424609,0.108289570804579,0.275407478424609,"False"
8,1,2.28030280348303,0.0358759186924626,0.178210010485173,13.2406380038188,-1315.76811997632,1,2.190090419064,0.0358117046616873,0.177976821099329,13.2608215558315,-1315.76435321853,1,2.28006767651863,0.1017554951501,24.5602390695306,-1317.05385675682,0.275407478424609,0.108289570804579,0.275407478424609,"False"
9,1,1.4201364600051,0.0942197639505432,0.281256981108351,4.40027195609826,-1172.79680273057,1,1.45752983610246,0.0960609707638097,0.285089859409326,4.32930361777471,-1172.55569415379,1,1.45926622612963,0.0727389585628417,22.0035263913929,-1180.30592385602,0.000430643609418468,8.24852043678215e-05,0.000430643609418468,"True"
9,1,1.4201364600051,0.0942197639505432,0.281256981108351,4.40027195609826,-1172.79680273057,1,1.15375248543255,0.0960609707638097,0.285089859409326,4.32930361777471,-1172.55569415379,1,1.45926622612963,0.0727389585628417,22.0035263913929,-1180.30592385602,0.000430643609418468,8.24852043678215e-05,0.000430643609418468,"True"
10,1,2.63336061239954,0.0624017222792142,0.267019827737013,10.3123751674847,-1367.39763344665,1,2.62444818360517,0.0621285231205955,0.266104627766559,10.351983974007,-1367.38983306253,1,2.64579024147664,0.107345614030908,28.191103233814,-1370.39617498438,0.0494723217756449,0.0142034085205974,0.0494723217756449,"True"
10,1,2.63336061239954,0.0624017222792142,0.267019827737013,10.3123751674847,-1367.39763344665,1,2.71632489614927,0.0621285231205955,0.266104627766559,10.351983974007,-1367.38983306253,1,2.64579024147664,0.107345614030908,28.191103233814,-1370.39617498438,0.0494723217756449,0.0142034085205974,0.0494723217756449,"True"
11,1,1.93290152060656,0.046503911441472,0.169565695038846,12.7504358046054,-1282.96805136182,1,1.92531405291267,0.0464067919061108,0.169324024648385,12.7705412422854,-1282.96075561588,1,1.97257799819378,0.0749702671238524,31.638903187129,-1285.08328564126,0.119728329285002,0.0393646775479184,0.119728329285002,"False"
11,1,1.93290152060656,0.046503911441472,0.169565695038846,12.7504358046054,-1282.96805136182,1,2.02411608659975,0.0464067919061108,0.169324024648385,12.7705412422854,-1282.96075561588,1,1.97257799819378,0.0749702671238524,31.638903187129,-1285.08328564126,0.119728329285002,0.0393646775479184,0.119728329285002,"False"
12,1,1.61362554475451,0.0469718896031719,0.179245455247979,7.8070164803184,-1185.38974735054,1,1.58783572940721,0.0474819248141132,0.180319025233559,7.75104407815615,-1185.30827553778,1,1.67142125845165,0.0906962747455143,17.1249677853933,-1188.54138084992,0.0394348509357734,0.0109944716796425,0.0394348509357734,"True"
12,1,1.61362554475451,0.0469718896031719,0.179245455247979,7.8070164803184,-1185.38974735054,1,1.9070711395181,0.0474819248141132,0.180319025233559,7.75104407815615,-1185.30827553778,1,1.67142125845165,0.0906962747455143,17.1249677853933,-1188.54138084992,0.0394348509357734,0.0109944716796425,0.0394348509357734,"True"
13,1,1.49094516870828,0.0457101114319806,0.196451216285635,8.4420100034133,-1233.6031916361,1,1.45316205081589,0.0449232837688173,0.193183139480165,8.61589031936233,-1233.43343503453,1,1.5381342051582,0.0997317420510808,18.3507652165252,-1236.37826698826,0.0526109001391561,0.0152300067855416,0.0526109001391561,"False"
13,1,1.49094516870828,0.0457101114319806,0.196451216285635,8.4420100034133,-1233.6031916361,1,1.96458101204672,0.0449232837688173,0.193183139480165,8.61589031936233,-1233.43343503453,1,1.5381342051582,0.0997317420510808,18.3507652165252,-1236.37826698826,0.0526109001391561,0.0152300067855416,0.0526109001391561,"False"
14,1,0.31392863818773,0.0223066472322263,0.0170977958355916,17.0896096665315,-631.830394921897,1,0.315986947916059,0.0222403215479307,0.0170809665629443,17.1076995278004,-631.826728774879,1,0.307561538695409,0.0119808639946373,25.1607806551695,-632.348264202163,0.59360840534335,0.30710834637003,0.59360840534335,"False"
