ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
326	Gene_326	257.7791	0.0	1.1407226	1.6509368	150.52255	0.55376273	1.0288315	2.2373726	413.72775	378.52487	70.40576	0.0	True	0.0
341	Gene_341	256.22653	0.0	-0.37179783	1.7313364	308.972	0.5110793	-0.46827307	2.1736796	558.0737	538.2218	39.703857	0.0	True	0.0
340	Gene_340	43.638954	0.0	1.9752343	1.9699811	43.755974	0.5440753	2.0156696	2.1719387	100.28755	40.519302	119.5365	0.0	True	0.0
339	Gene_339	28.167253	0.0	1.6305494	0.79867715	28.579632	0.6541074	0.86992466	2.5689836	260.39557	194.35387	132.0834	0.0	True	0.0
338	Gene_338	287.36407	0.0	1.4202932	0.7987323	240.97095	0.6390223	1.0151538	2.3872998	384.17816	337.41095	93.534424	0.0	True	0.0
337	Gene_337	371.79785	0.0	0.78600836	2.0242052	635.6439	0.5998919	0.70003766	2.4941096	441.41483	400.81335	81.20294	0.0	True	0.0
336	Gene_336	56.68726	0.0	0.8814852	0.9610066	57.272526	0.6174176	0.38376734	2.4825108	469.99182	431.35403	77.27557	0.0	True	0.0
335	Gene_335	7.658391	0.0	1.5655246	0.8965682	7.7612863	0.548358	1.1991671	2.2938874	226.10269	160.61324	130.97891	0.0	True	0.0
334	Gene_334	214.8148	0.0	1.728756	2.2769742	184.73647	0.66583467	1.809824	2.93126	70.92572	14.468994	112.91345	0.0	True	0.0
333	Gene_333	80.81032	0.0	0.51807725	0.9502299	82.32133	0.65181404	-0.36720234	2.3460488	514.73895	442.19907	145.07977	0.0	True	0.0
332	Gene_332	524.1435	0.0	0.67103297	2.000448	413.58646	0.5863453	0.6877354	2.202552	472.31232	404.87402	134.87659	0.0	True	0.0
331	Gene_331	51.332863	0.0	1.13787	0.9223998	52.722084	0.5814705	0.60177416	2.2449582	452.08	400.79926	102.56146	0.0	True	0.0
330	Gene_330	43.377785	0.0	0.43223444	2.0374866	45.622837	0.6537847	0.52902746	2.7005565	430.9923	366.8949	128.19482	0.0	True	0.0
329	Gene_329	24.195774	0.0	0.86539716	2.2235942	29.792454	0.5801251	0.746757	2.4624805	359.325	296.40317	125.84369	0.0	True	0.0
328	Gene_328	387.64896	0.0	1.2523553	1.9490664	368.39542	0.6119648	1.1328213	2.3578746	344.42227	282.42255	123.99945	0.0	True	0.0
327	Gene_327	18.559622	0.0	0.84541994	1.1496588	18.80425	0.5548327	0.63416904	2.0940385	471.24088	423.17273	96.13629	0.0	True	0.0
342	Gene_342	123.97156	0.0	0.8469655	2.1388247	114.98269	0.58819056	0.87292075	2.6773884	378.49857	342.4161	72.16492	0.0	True	0.0
325	Gene_325	256.1116	0.0	1.6100489	1.846137	380.22495	0.6137592	1.3258046	2.4008036	247.82973	197.78552	100.08841	0.0	True	0.0
324	Gene_324	11.101131	0.0	1.7495589	0.87491995	11.20148	0.5941671	1.516127	2.213388	243.71817	203.52705	80.38223	0.0	True	0.0
323	Gene_323	251.67706	0.0	-0.36080417	1.7466882	253.70178	0.568609	-0.49199897	2.2717953	513.4092	435.29614	156.22607	0.0	True	0.0
322	Gene_322	227.1097	0.0	1.4679991	0.7060529	163.79922	0.6317156	1.0220951	2.3424172	378.922	328.86807	100.10785	0.0	True	0.0
321	Gene_321	153.51315	0.0	1.6154269	2.059846	163.13635	0.6405067	1.4471551	2.6636019	199.78506	152.10533	95.35947	0.0	True	0.0
320	Gene_320	281.7882	0.0	0.8149054	1.809113	321.86487	0.5725188	0.60645646	2.2541845	480.83646	437.1922	87.28851	0.0	True	0.0
318	Gene_318	100.931526	0.0	-0.17702492	1.4186224	101.16295	0.5926698	-0.67336166	2.2576098	531.21045	485.1683	92.08429	0.0	True	0.0
317	Gene_317	578.80585	0.0	-0.4165597	1.7634588	259.72235	0.6098563	-0.47035986	2.2720444	542.28174	483.44324	117.677	0.0	True	0.0
316	Gene_316	322.68918	0.0	-0.8223992	1.9017261	231.16306	0.56974983	-0.9433224	2.2488632	512.95935	443.50006	138.91858	0.0	True	0.0
315	Gene_315	20.661173	0.0	2.2911384	0.9367329	20.86565	0.6989611	1.8981718	2.7010338	-6.049965	-53.253525	94.40712	0.0	True	0.0
314	Gene_314	32.281067	0.0	2.150671	0.93725294	31.984098	0.62776315	1.5656959	2.6825376	52.22146	-0.5506134	105.54414	0.0	True	0.0
313	Gene_313	301.56982	0.0	1.386896	2.0437157	318.9454	0.63382876	1.0296296	2.5206597	273.71304	208.73926	129.94757	0.0	True	0.0
312	Gene_312	8.891201	0.0	2.9814513	0.9691036	9.163132	0.46229067	2.7811296	1.9892043	-462.56458	-542.05835	158.98755	0.0	True	0.0
311	Gene_311	335.12726	0.0	0.59488463	1.6278855	352.19778	0.65052515	0.2684451	2.384202	504.0946	455.2741	97.64099	0.0	True	0.0
357	Gene_357	40.60567	0.0	2.2174242	0.6419691	39.718605	0.62004304	1.7728891	2.7015574	39.614563	6.5013885	66.22635	0.0	True	0.0
373	Gene_373	18.52566	0.0	-0.8962076	1.1163561	18.421728	0.4335422	-1.7113075	2.036857	448.1422	411.83356	72.61731	0.0	True	0.0
372	Gene_372	24.74589	0.0	1.2869674	2.1117976	26.519629	0.51923203	1.2358524	2.4491718	267.2457	226.40193	81.68753	0.0	True	0.0
371	Gene_371	30.75	0.0	1.8723987	0.8420786	31.2702	0.67402893	1.21822	2.7085748	72.305664	-43.4552	231.52173	0.0	True	0.0
370	Gene_370	24.639357	0.0	0.8201373	0.92383534	26.88648	0.6538783	0.23727871	2.4855893	482.10263	447.51407	69.177124	0.0	True	0.0
369	Gene_369	186.32266	0.0	-0.51994884	1.4478004	223.39708	0.45573628	-0.72460884	1.8597513	552.5992	525.5697	54.05896	0.0	True	0.0
368	Gene_368	127.13866	0.0	1.5903401	2.2946904	78.120094	0.5702715	1.5492008	2.6873949	123.33252	63.40068	119.86368	0.0	True	0.0
367	Gene_367	305.8149	0.0	-0.54119533	1.7184064	315.62332	0.60318595	-0.7190089	2.4910452	514.17645	473.06476	82.22339	0.0	True	0.0
366	Gene_366	8.40684	0.0	2.8046298	0.79934037	8.662303	0.5280728	2.6072395	2.428379	-393.88257	-451.57352	115.3819	0.0	True	0.0
364	Gene_364	400.877	0.0	0.773095	1.6144328	578.6447	0.5880333	0.62979597	2.1221092	511.5633	470.98325	81.160095	0.0	True	0.0
363	Gene_363	79.62365	0.0	1.1864443	1.4453017	82.94879	0.6091171	1.0499468	2.3813443	415.221	386.60202	57.237976	0.0	True	0.0
362	Gene_362	40.758785	0.0	2.05531	2.3230727	40.45977	0.6621802	2.0363352	3.0745776	-119.99713	-181.41898	122.84369	0.0	True	0.0
361	Gene_361	291.7192	0.0	0.71806276	2.0988429	648.1098	0.65690035	0.6885543	2.703613	411.88678	351.5874	120.598755	0.0	True	0.0
360	Gene_360	297.10587	0.0	-0.23645216	2.1114957	286.11298	0.58458525	-0.49645996	2.6540887	513.49146	479.65094	67.68103	0.0	True	0.0
359	Gene_359	19.20303	0.0	1.8927592	0.8346205	19.33124	0.601646	1.6707126	2.4219267	199.15991	163.78995	70.73993	0.0	True	0.0
358	Gene_358	265.10052	0.0	1.8812683	1.9976808	345.02783	0.63649654	1.7738669	2.5009463	110.33214	50.881058	118.90216	0.0	True	0.0
310	Gene_310	193.06671	0.0	2.031972	1.8863486	334.15167	0.6525532	2.0242977	2.6776009	56.391434	16.31932	80.144226	0.0	True	0.0
356	Gene_356	43.367332	0.0	0.90437937	2.1774874	44.35007	0.6788161	0.8669222	2.811896	347.74182	292.49823	110.48718	0.0	True	0.0
355	Gene_355	339.86725	0.0	1.6432304	1.8223706	260.55157	0.59427136	1.4360994	2.2829707	232.00714	171.89246	120.22937	0.0	True	0.0
354	Gene_354	342.03818	0.0	1.1741223	1.8679417	178.29614	0.7049253	0.9199274	2.6541526	321.356	235.73807	171.23584	0.0	True	0.0
353	Gene_353	196.23317	0.0	2.1435657	0.71656305	197.4062	0.6779956	1.7299478	2.5720053	72.33011	-20.65326	185.96674	0.0	True	0.0
352	Gene_352	94.1462	0.0	-0.6378709	2.1122036	60.078533	0.6031239	-1.0890068	3.0476525	439.67926	395.24493	88.86865	0.0	True	0.0
351	Gene_351	291.5921	0.0	0.061802927	1.9011135	270.82758	0.5149694	-0.1663503	2.2217872	533.38763	494.96317	76.84894	0.0	True	0.0
350	Gene_350	31.091618	0.0	1.3450207	0.887084	30.819792	0.6535633	0.7556337	2.7619636	302.51434	226.05194	152.9248	0.0	True	0.0
349	Gene_349	126.25661	0.0	0.6085325	2.3878293	81.99781	0.7534376	0.41617453	3.1305704	352.8787	264.8549	176.0476	0.0	True	0.0
348	Gene_348	679.0937	0.0	1.7008805	2.0544827	349.19012	0.6090897	1.6777034	2.5766528	152.18002	91.11972	122.120605	0.0	True	0.0
347	Gene_347	318.00342	0.0	1.585387	1.8447142	287.34735	0.5125538	1.6762753	2.2868235	250.66331	218.6548	64.01703	0.0	True	0.0
