ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
362	Gene_362	1.1764172	0.0	2.0200164	2.4382105	1.3261274	0.0010744531	2.4245121	0.6901466	-119.044556	-124.89334	11.697571	0.00062578917	False	0.3128945827484131
257	Gene_257	1.3411225	0.0	2.361182	2.3469312	1.6096951	0.0025010542	2.6842675	1.0712656	-287.2192	-291.94373	9.449036	0.002112627	False	0.39960940678914386
184	Gene_184	1.1352112	0.0	1.4741828	2.4162173	1.1794144	0.0010214886	1.9508423	0.6824048	118.49271	113.884155	9.217102	0.0023976564	False	0.39960940678914386
73	Gene_73	1.12643	0.0	1.283358	2.302297	1.2411983	0.0017671627	1.7297634	0.97224593	191.7284	187.46062	8.535553	0.003482759	False	0.4353448748588562
299	Gene_299	2.2843297	0.0	2.9321063	2.0716083	2.3019185	0.0012423209	3.1115859	0.7117972	-478.59674	-482.52222	7.850952	0.0050793886	False	0.4792859156926473
228	Gene_228	2.4359055	0.0	3.4868505	2.1888702	2.5083864	0.0014512311	3.6452608	0.7490941	-894.62976	-898.44305	7.626587	0.005751431	False	0.4792859156926473
375	Gene_375	1.1378998	0.0	1.4996147	2.1547961	1.4549507	0.0025776878	1.8590605	1.0472182	154.64163	151.14305	6.997162	0.008163929	False	0.4904182518229765
425	Gene_425	1.2555157	0.0	1.9552932	2.2375488	1.5189527	0.00059587974	2.298774	0.8377035	-24.87268	-28.24916	6.75296	0.0093592405	False	0.4904182518229765
114	Gene_114	1.250007	0.0	1.0751733	1.9383988	1.4350486	0.0014280371	1.4314053	0.80469364	364.79242	361.76538	6.054077	0.013874233	False	0.4904182518229765
172	Gene_172	1.316134	0.0	1.1055018	1.8296858	1.529682	0.00104238	1.417585	0.84433925	376.81677	373.88184	5.869873	0.015402138	False	0.4904182518229765
216	Gene_216	1.7171308	0.0	2.444249	2.1218307	1.8253534	0.0011261763	2.6904337	0.7179909	-222.85728	-225.99814	6.281708	0.012199044	False	0.4904182518229765
249	Gene_249	0.818595	0.0	1.2112294	2.3260233	0.9110751	0.0005944531	1.7367951	0.6123757	166.01309	162.95425	6.117676	0.013383687	False	0.4904182518229765
272	Gene_272	1.4443212	0.0	1.9907408	1.9976765	1.4922147	0.0013071059	2.2652898	0.6909826	-2.958664	-5.8651123	5.8128967	0.015909076	False	0.4904182518229765
314	Gene_314	1.4556506	0.0	1.8386098	2.1379309	1.6707473	0.0023383207	2.1501627	0.95727295	55.138504	52.168587	5.9398346	0.014802396	False	0.4904182518229765
