ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
329	Gene_329	17.67555	0.0	1.4623235	4.360784	16.343206	0.8012175	1.8139588	4.028847	-679.96375	-898.59875	437.27002	0.0	True	0.0
344	Gene_344	11.051393	0.0	3.4416647	0.9217588	10.9295635	0.83531624	2.6028478	4.649367	-1063.7249	-1153.7922	180.13477	0.0	True	0.0
343	Gene_343	12.267389	0.0	2.2269855	0.8972457	12.079	0.7737303	1.401881	3.7050028	-167.60065	-245.05539	154.90948	0.0	True	0.0
342	Gene_342	18.779882	0.0	1.3198749	3.4701734	17.272064	0.83065146	0.9987388	4.4911523	-251.81976	-373.34735	243.05518	0.0	True	0.0
341	Gene_341	13.14585	0.0	2.894672	3.0646274	12.217555	0.7931516	3.0948625	4.051731	-891.7962	-975.1368	166.68115	0.0	True	0.0
340	Gene_340	19.593504	0.0	-0.027836781	3.0750427	19.408796	0.6496936	-0.39976168	3.5190108	241.87463	151.0871	181.57507	0.0	True	0.0
339	Gene_339	38.541187	0.0	0.03631171	3.1345558	40.845356	0.79298437	-0.22179767	4.0388584	229.4544	119.97476	218.95929	0.0	True	0.0
338	Gene_338	75.047226	0.0	-0.16726932	2.985514	77.53242	0.704239	-0.14155605	3.665054	320.489	250.3595	140.25903	0.0	True	0.0
337	Gene_337	14.228205	0.0	0.20259991	3.0774531	15.760594	0.76930207	0.014345681	4.269628	114.04126	34.351166	159.38019	0.0	True	0.0
336	Gene_336	193.21472	0.0	1.4101646	3.1581602	200.05858	0.794905	1.4269519	3.9854596	-110.38583	-241.65393	262.5362	0.0	True	0.0
335	Gene_335	279.7216	0.0	0.9042407	3.067808	290.13968	0.81608546	0.7187956	4.1195073	75.90857	-38.849915	229.51697	0.0	True	0.0
334	Gene_334	25.254284	0.0	1.885466	2.4639206	26.698093	0.74326307	1.5624001	3.5035546	-88.51669	-149.02348	121.01358	0.0	True	0.0
333	Gene_333	58.25719	0.0	-0.42320395	2.468666	58.655342	0.70819837	-1.0062337	3.5921302	397.51562	323.81628	147.39868	0.0	True	0.0
332	Gene_332	8.220522	0.0	2.6621933	4.467889	8.395399	0.75723845	2.7845588	4.070219	-1453.9243	-1648.2808	388.7129	0.0	True	0.0
331	Gene_331	433.62674	0.0	-0.09301427	3.3218572	389.20013	0.7964715	-0.18979949	3.9141548	203.52347	66.9418	273.16333	0.0	True	0.0
330	Gene_330	33.3311	0.0	-0.8784414	2.2301562	35.73902	0.67149866	-1.1357739	3.1120586	456.5689	402.61655	107.904724	0.0	True	0.0
345	Gene_345	16.672525	0.0	1.9673322	2.5426862	15.230056	0.7265615	1.8298669	3.3389592	-162.99844	-230.94495	135.893	0.0	True	0.0
328	Gene_328	85.513336	0.0	-0.035425626	3.28934	90.57795	0.719129	0.013374406	3.8128176	202.1164	91.11243	222.00793	0.0	True	0.0
327	Gene_327	24.417547	0.0	2.0592673	0.99157834	24.568764	0.81233174	1.0908241	3.99453	-181.55759	-308.61212	254.10907	0.0	True	0.0
326	Gene_326	99.78028	0.0	-0.2879692	2.994503	92.52141	0.68587065	-0.2844807	3.6631181	329.15894	251.48279	155.3523	0.0	True	0.0
325	Gene_325	46.522655	0.0	-0.17738505	2.787322	47.093204	0.76461405	-0.36005825	3.7398274	319.26498	227.9479	182.63416	0.0	True	0.0
324	Gene_324	35.052612	0.0	-1.5197104	2.493456	34.674625	0.56780726	-1.7319092	3.0174625	412.65637	370.4301	84.452515	0.0	True	0.0
323	Gene_323	13.791274	0.0	0.94362	3.549695	14.354307	0.80199087	0.9028919	3.964658	-151.87695	-308.61932	313.48474	0.0	True	0.0
322	Gene_322	177.65677	0.0	-0.6531748	2.7525501	211.3599	0.72420573	-0.7771909	3.552513	422.8789	350.40326	144.9513	0.0	True	0.0
321	Gene_321	34.747913	0.0	-0.9229147	2.0136228	34.157475	0.67335874	-1.6158109	3.1952553	431.60992	383.33954	96.54077	0.0	True	0.0
320	Gene_320	10.761638	0.0	1.2032263	0.7167409	10.519322	0.6640353	0.4867223	3.0473273	315.68597	273.48553	84.40088	0.0	True	0.0
319	Gene_319	34.01973	0.0	0.36847878	3.2491794	35.085396	0.6882874	0.5327136	3.5448167	173.53119	68.818054	209.42627	0.0	True	0.0
318	Gene_318	11.292389	0.0	2.960407	3.8623786	11.221429	0.737717	3.47465	3.8779626	-1223.6224	-1375.3735	303.5022	0.0	True	0.0
317	Gene_317	11.689529	0.0	0.7590857	3.3177316	11.551397	0.7866991	0.44736546	4.1236563	-191.45825	-349.54044	316.16437	0.0	True	0.0
316	Gene_316	15.720371	0.0	4.208349	3.0727115	14.771726	0.7008715	4.2477484	3.7177746	-1751.9928	-1807.67	111.35449	0.0	True	0.0
315	Gene_315	392.11374	0.0	0.753081	2.9408908	350.73807	0.78497225	0.7709497	3.9024599	149.30347	52.905792	192.79535	0.0	True	0.0
314	Gene_314	10.791123	0.0	1.1027356	0.8509369	10.988619	0.75003827	0.24748266	3.3785994	277.20816	196.11246	162.1914	0.0	True	0.0
360	Gene_360	57.806995	0.0	1.3937579	3.996276	56.425907	0.75177896	1.3495806	4.336642	-483.03522	-649.2249	332.3794	0.0	True	0.0
375	Gene_375	17.263866	0.0	2.6552029	3.51259	17.994379	0.7529007	2.3683753	3.9646325	-841.2274	-960.39056	238.3263	0.0	True	0.0
374	Gene_374	21.125732	0.0	0.24948968	1.1135596	21.493395	0.6802818	-1.5609273	3.7789557	336.8456	273.53534	126.620544	0.0	True	0.0
373	Gene_373	56.099464	0.0	-0.0944979	2.8505971	55.649498	0.74239177	-0.42011642	3.7439978	300.56128	194.97873	211.1651	0.0	True	0.0
372	Gene_372	16.83273	0.0	2.5726693	0.7317327	16.603685	0.8371807	1.7335801	4.3982325	-449.23047	-559.8286	221.19629	0.0	True	0.0
371	Gene_371	11.694299	0.0	2.9495044	3.2631145	11.985496	0.6557069	2.7860909	3.3779225	-957.603	-1064.684	214.16187	0.0	True	0.0
370	Gene_370	9.195003	0.0	2.464077	0.9614307	9.165112	0.7809476	1.6636716	4.0461082	-452.06702	-561.49414	218.85425	0.0	True	0.0
369	Gene_369	230.60423	0.0	2.1005342	3.3602595	190.2602	0.77618235	2.3099575	3.9766154	-468.90454	-605.9325	274.0559	0.0	True	0.0
368	Gene_368	7.853002	0.0	0.77632594	2.6501124	7.6215906	0.64195645	0.17434016	3.1747234	96.94458	-4.3445435	202.57825	0.0	True	0.0
367	Gene_367	9.621791	0.0	1.8633316	3.2081552	10.1557455	0.7800589	1.7278657	4.0615005	-393.87363	-478.23203	168.7168	0.0	True	0.0
366	Gene_366	67.868904	0.0	2.1895018	3.4080062	67.25577	0.770275	2.0534773	4.31581	-569.22974	-679.6353	220.81116	0.0	True	0.0
365	Gene_365	11.35638	0.0	0.9171188	0.746545	11.252997	0.7124439	-0.13211	3.4979355	304.89606	232.86475	144.06262	0.0	True	0.0
364	Gene_364	289.48904	0.0	0.45263323	2.9226089	105.32528	0.83130145	0.31280625	4.0640464	199.08307	76.38211	245.40192	0.0	True	0.0
363	Gene_363	5.6517615	0.0	0.57770336	0.9668876	5.7408705	0.5777776	-0.35197026	2.864266	374.57843	331.839	85.47888	0.0	True	0.0
362	Gene_362	30.386852	0.0	0.62394863	3.8735454	29.827564	0.75853884	0.77825683	4.271317	-129.5203	-296.94037	334.84015	0.0	True	0.0
361	Gene_361	29.864902	0.0	0.17605975	2.976779	27.294786	0.7513538	0.072321236	3.829069	240.30634	144.74289	191.12689	0.0	True	0.0
313	Gene_313	395.84372	0.0	0.16895984	3.1206121	284.49545	0.71307975	0.23102458	4.0747995	244.8598	193.42938	102.86084	0.0	True	0.0
359	Gene_359	12.970505	0.0	1.5403208	3.9555945	13.282385	0.71945274	1.3399858	3.850895	-554.7855	-716.4671	323.36316	0.0	True	0.0
358	Gene_358	10.900018	0.0	1.254267	2.9465108	10.9858265	0.79940975	1.0355912	3.9596627	-153.80298	-294.0694	280.53284	0.0	True	0.0
357	Gene_357	18.082754	0.0	4.7966604	3.4897132	17.59602	0.74783367	5.2020497	4.1537027	-2460.2913	-2552.3855	184.18848	0.0	True	0.0
356	Gene_356	394.6699	0.0	0.40891296	2.5986867	449.71713	0.74928004	0.19597729	3.1994574	349.06503	231.9199	234.29025	0.0	True	0.0
355	Gene_355	151.8507	0.0	-0.2174916	3.0825453	177.09372	0.7534118	-0.38591555	4.116077	302.29468	227.26495	150.05945	0.0	True	0.0
354	Gene_354	9.227297	0.0	2.5024834	0.83326095	9.12713	0.7502264	1.9642404	3.69078	-315.81122	-383.29047	134.9585	0.0	True	0.0
353	Gene_353	31.316128	0.0	3.067377	3.5798979	27.767893	0.72929275	2.903141	4.3492956	-1124.3058	-1206.8511	165.09058	0.0	True	0.0
352	Gene_352	173.63828	0.0	1.1901457	2.3706534	125.09662	0.7869678	0.8859344	3.7891426	135.48819	57.22281	156.53076	0.0	True	0.0
351	Gene_351	65.88929	0.0	-1.246589	2.8517263	65.049934	0.7290358	-1.6323154	4.076599	360.32996	288.56482	143.53027	0.0	True	0.0
350	Gene_350	17.421467	0.0	0.85018647	3.9469428	16.732853	0.7235398	0.88976717	3.6746826	-243.46533	-440.03705	393.14343	0.0	True	0.0
349	Gene_349	22.983688	0.0	1.8851144	3.4582267	20.035442	0.76629364	1.957129	3.8867188	-445.88312	-570.26526	248.76428	0.0	True	0.0
348	Gene_348	21.014921	0.0	-0.067383364	2.9432411	21.82911	0.71782124	-0.07062036	3.7887423	229.28412	142.40302	173.7622	0.0	True	0.0
347	Gene_347	237.79181	0.0	1.370629	2.9836159	171.94495	0.7691808	1.225197	4.3492546	-46.65573	-100.817474	108.32349	0.0	True	0.0
346	Gene_346	270.52878	0.0	-0.5954446	2.7723908	315.87177	0.6851473	-0.82066464	3.4833052	413.01605	347.8136	130.4049	0.0	True	0.0
266	Gene_266	55.8013	0.0	1.9650576	2.9686007	49.93936	0.8431622	2.1109018	4.358079	-302.58258	-406.45685	207.74854	0.0	True	0.0
281	Gene_281	26.496973	0.0	0.07095493	2.6597161	27.288038	0.68576676	-0.42222562	3.4917216	311.29123	235.02509	152.53229	0.0	True	0.0
280	Gene_280	15.657124	0.0	1.5774894	3.0174508	15.52911	0.6488772	1.3146464	3.4048338	-149.20215	-230.47556	162.54681	0.0	True	0.0
279	Gene_279	249.80663	0.0	0.6394468	3.3489003	237.37672	0.769062	0.63866955	4.032923	34.04962	-86.958496	242.01624	0.0	True	0.0
278	Gene_278	375.9063	0.0	-1.6496397	2.7535906	360.7637	0.71710104	-2.0864506	3.593504	389.0692	297.14053	183.85736	0.0	True	0.0
277	Gene_277	17.171463	0.0	0.13582413	2.2163196	16.10265	0.6859518	-0.38413745	3.2287138	384.49976	317.74924	133.50104	0.0	True	0.0
276	Gene_276	84.20828	0.0	0.9948458	2.5036387	94.435394	0.68681526	0.94606006	3.3171926	240.60352	188.42404	104.35895	0.0	True	0.0
275	Gene_275	17.194798	0.0	0.4207088	3.0254526	16.392384	0.8068062	0.10435525	4.0432296	20.045166	-135.16217	310.41467	0.0	True	0.0
274	Gene_274	13.577655	0.0	5.1139035	0.9681136	13.384533	0.721309	4.847966	3.6339755	-2462.6777	-2546.231	167.10645	0.0	True	0.0
273	Gene_273	13.680896	0.0	1.2345518	3.1911294	13.015558	0.76010716	1.3675387	3.9714806	-122.39856	-223.32956	201.862	0.0	True	0.0
272	Gene_272	35.31646	0.0	-1.5949707	1.9647604	26.351976	0.53188014	-2.3848808	3.040486	383.6235	357.93124	51.38452	0.0	True	0.0
271	Gene_271	38.984936	0.0	3.0120635	2.8264172	37.00739	0.7370854	2.6161826	3.4690905	-797.62915	-889.79553	184.33276	0.0	True	0.0
270	Gene_270	9.271259	0.0	4.363771	1.2444382	9.560649	0.741174	3.6700156	4.0198197	-1846.3977	-1908.67	124.54468	0.0	True	0.0
269	Gene_269	13.306166	0.0	3.9600773	0.7000501	13.51411	0.7350354	3.4219923	3.5287132	-1340.7301	-1419.6835	157.90674	0.0	True	0.0
268	Gene_268	341.31903	0.0	-0.8788148	2.8654594	219.24005	0.7377317	-1.039308	3.7607903	375.34198	287.3459	175.99219	0.0	True	0.0
267	Gene_267	11.849902	0.0	3.3370183	3.8515508	10.42388	0.7148508	3.6171527	3.802696	-1457.6829	-1594.966	274.56616	0.0	True	0.0
282	Gene_282	15.447841	0.0	1.2688426	3.9433773	12.828119	0.743621	1.5152056	3.9790184	-398.57056	-544.1642	291.18726	0.0	True	0.0
265	Gene_265	11.871266	0.0	2.0852137	3.2128148	12.020076	0.7525013	1.4168924	3.8522754	-731.87476	-893.5339	323.31824	0.0	True	0.0
