ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
414	Gene_414	1.6271101	0.0	3.0724134	2.3940368	1.6767861	0.0013218555	3.325403	0.7207659	-729.59485	-734.34186	9.494019	0.0020614266	False	0.15195778438023158
282	Gene_282	1.3515924	0.0	2.336444	2.3265982	1.4576424	0.0010855239	2.6642644	0.69888556	-258.04358	-262.8652	9.6432495	0.0019004941	False	0.15195778438023158
237	Gene_237	1.5097739	0.0	2.1304867	2.1892314	1.630807	0.0013388481	2.434511	0.69549805	-75.736176	-80.454285	9.436218	0.002127409	False	0.15195778438023158
95	Gene_95	1.4223017	0.0	2.1086342	2.2580435	1.4201486	0.0007761066	2.4469004	0.5391254	-105.7735	-110.497955	9.448914	0.0021127462	False	0.15195778438023158
27	Gene_27	1.5395176	0.0	2.6499903	2.2597497	1.6661899	0.0012333161	2.9113579	0.7041694	-402.1255	-407.0652	9.879395	0.0016713738	False	0.15195778438023158
480	Gene_480	1.1850804	0.0	2.292636	2.5487232	1.1986763	0.0010262555	2.7028136	0.69276345	-345.5897	-351.32037	11.461365	0.0007106066	False	0.15195778438023158
111	Gene_111	1.4265246	0.0	2.3441403	2.3886323	1.6320511	0.0014457096	2.635624	0.70337063	-212.31729	-217.21146	9.78833	0.0017562509	False	0.15195778438023158
270	Gene_270	1.645152	0.0	2.6372054	2.1736953	1.7573167	0.0009942487	2.8837976	0.67280924	-363.27054	-367.6051	8.669128	0.0032364726	False	0.16182363033294678
167	Gene_167	1.5689647	0.0	1.9477746	2.1925306	1.6384141	0.0013971553	2.271829	0.830668	8.53656	4.1542053	8.764709	0.0030711293	False	0.16182363033294678
373	Gene_373	1.1008953	0.0	2.0079534	2.3465874	1.3701134	0.0025103684	2.3862624	0.977866	-125.56326	-129.92284	8.719147	0.0031488538	False	0.16182363033294678
100	Gene_100	1.4107356	0.0	1.8752854	2.226499	1.5170112	0.0009570495	2.2229912	0.8158345	21.875092	17.779724	8.190735	0.004210472	False	0.19138509576970883
145	Gene_145	1.2109454	0.0	1.5433857	2.0462966	1.3416386	0.00092821685	1.8955309	0.5836094	186.73363	182.78198	7.90329	0.0049344897	False	0.20560373862584433
157	Gene_157	0.6466869	0.0	0.44178763	2.2664135	0.6898597	0.001151086	1.0905136	0.66522706	339.17383	335.57217	7.203308	0.0072769523	False	0.27988277948819673
406	Gene_406	1.52758	0.0	2.502045	2.3086686	1.6485068	0.0009138533	2.793725	0.65248746	-310.3266	-313.84875	7.0443115	0.007951736	False	0.2839905875069754
387	Gene_387	1.5734847	0.0	2.1852632	2.1732004	1.6678979	0.00068729057	2.4812934	0.6171159	-90.277756	-93.50537	6.4552307	0.011062622	False	0.34178179853102736
452	Gene_452	1.6484411	0.0	1.990018	2.0579183	1.9197901	0.002225551	2.2616632	0.9586646	24.026642	20.792519	6.4682465	0.010981858	False	0.34178179853102736
105	Gene_105	1.0891595	0.0	1.1470375	2.1396487	1.2394798	0.0014372577	1.5733215	0.8685715	277.51785	274.33392	6.367859	0.011620581	False	0.34178179853102736
36	Gene_36	0.9923803	0.0	0.9295888	2.0453246	0.9782799	0.0007094253	1.3890839	0.57906306	333.19257	330.11066	6.1638184	0.013038933	False	0.36219259103139245
427	Gene_427	1.9286653	0.0	2.0844157	1.9427894	1.8665674	0.001243486	2.3290498	0.6288168	21.519104	18.819183	5.3998413	0.020138562	False	0.40302515029907227
329	Gene_329	1.5939617	0.0	2.399781	2.2429407	1.6447533	0.000655981	2.6875205	0.5075036	-225.6394	-228.53436	5.789917	0.016118348	False	0.40302515029907227
118	Gene_118	0.91789097	0.0	0.9687479	2.2687922	0.95016724	0.000922015	1.5007008	0.66965723	274.87653	272.05902	5.63501	0.017605245	False	0.40302515029907227
217	Gene_217	1.3404975	0.0	1.3594136	1.9922777	1.4357144	0.0018642676	1.7073067	0.73315847	270.96405	268.2438	5.4404907	0.019675136	False	0.40302515029907227
146	Gene_146	1.3409327	0.0	1.8896723	2.1583073	1.589316	0.00209077	2.2148416	0.8250693	31.580292	28.775238	5.6101074	0.017857194	False	0.40302515029907227
133	Gene_133	0.8681577	0.0	0.5296956	2.2666006	0.8945338	0.001419139	1.1433607	0.6710417	389.62036	386.73444	5.7718506	0.016284883	False	0.40302515029907227
69	Gene_69	1.0311424	0.0	1.098082	2.3117743	1.0851004	0.001100807	1.6092488	0.6145574	268.68402	265.98465	5.3987427	0.020151258	False	0.40302515029907227
42	Gene_42	1.7026429	0.0	2.09613	1.9948702	1.8115804	0.00091313734	2.354943	0.6119801	2.7798004	0.15161133	5.256378	0.0218665	False	0.42050962264721214
138	Gene_138	1.1823857	0.0	1.6143773	2.2646828	1.2554134	0.001246226	2.0271375	0.83700114	79.10126	76.645775	4.910965	0.026686728	False	0.44629375139872235
204	Gene_204	1.4262065	0.0	1.808823	2.1217036	1.5502609	0.0009630054	2.1402087	0.6195657	90.82582	88.33307	4.985504	0.025560558	False	0.44629375139872235
378	Gene_378	20.829868	0.0	1.6604029	2.1332173	24.579159	0.03803625	1.6512923	2.2025197	147.85587	145.35004	5.0116577	0.02517718	False	0.44629375139872235
469	Gene_469	0.9415132	0.0	0.89709413	2.2002265	0.94608057	0.00063166715	1.4294691	0.5368559	317.758	315.30545	4.9050903	0.026777625	False	0.44629375139872235
116	Gene_116	1.5055459	0.0	2.0053658	2.3034434	1.4778652	0.00095316925	2.3627868	0.6555478	-51.495453	-53.918243	4.845581	0.027717054	False	0.4470492562940044
428	Gene_428	2.0589654	0.0	2.136193	1.8135931	2.062744	0.00084058335	2.3425174	0.6232577	28.934341	26.622253	4.624176	0.03152442	False	0.4776427240082712
162	Gene_162	1.2634946	0.0	1.470959	1.9866781	1.3790486	0.0006363919	1.8218285	0.5128821	236.95955	234.62373	4.671631	0.030664802	False	0.4776427240082712
200	Gene_200	1.2737978	0.0	1.6039801	2.096904	1.3372046	0.001443925	1.9581585	0.7463773	139.9417	137.7893	4.304779	0.03800541	False	0.5589031121310065
448	Gene_448	0.5778276	0.0	-0.1565223	2.1277847	0.6424453	0.00052499527	0.56801593	0.5341697	467.0382	464.96353	4.149353	0.041650414	False	0.5628434387413231
123	Gene_123	1.7289276	0.0	2.846587	2.3616598	1.899784	0.0010552427	3.1025941	0.8401794	-518.7636	-520.8461	4.165039	0.04126644	False	0.5628434387413231
34	Gene_34	1.5617502	0.0	1.0499675	1.7464683	1.561207	0.00126487	1.35122	0.71265185	416.27264	414.1895	4.16626	0.04123676	False	0.5628434387413231
147	Gene_147	1.0663366	0.0	0.7108504	2.1172938	1.0633255	0.00073135557	1.2281579	0.5937672	405.41312	403.42657	3.9730835	0.046233058	False	0.5927315125098596
28	Gene_28	1.3068423	0.0	1.5546162	2.1460452	1.3053681	0.00072069	1.9403905	0.50445443	171.31317	169.30945	4.0074463	0.04529971	False	0.5927315125098596
