ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
328	Gene_328	368.46042	0.0	-1.4841534	1.7632776	176.4674	0.5497581	-1.8724513	2.2132099	447.18893	398.4536	97.47064	0.0	True	0.0
343	Gene_343	1096.6332	0.0	1.062736	1.9191383	808.25696	0.7118773	0.8828027	2.483616	401.9394	329.23898	145.40082	0.0	True	0.0
342	Gene_342	694.0453	0.0	1.573794	1.354297	560.992	0.64670813	1.6291051	1.8837589	373.77054	313.96997	119.601135	0.0	True	0.0
341	Gene_341	278.59705	0.0	-0.17480142	1.8369166	248.52855	0.6417024	-0.54788357	2.4375525	509.0428	430.89227	156.30103	0.0	True	0.0
340	Gene_340	398.60556	0.0	0.049914706	1.5502391	505.01923	0.56713945	-0.029754786	1.9417342	582.1697	535.2002	93.938965	0.0	True	0.0
339	Gene_339	480.68488	0.0	1.6455313	1.6524332	539.8306	0.62627816	1.5226641	1.9841636	291.91586	218.17378	147.48416	0.0	True	0.0
338	Gene_338	684.813	0.0	1.1029338	1.5244325	545.89874	0.615059	1.095806	1.955675	469.6763	413.13052	113.09155	0.0	True	0.0
337	Gene_337	1096.6332	0.0	0.2902971	1.8997979	432.04205	0.65809333	0.042070527	2.2136722	535.79315	450.9325	169.72131	0.0	True	0.0
336	Gene_336	1096.6332	0.0	1.845645	1.4359782	787.1583	0.69357955	1.7374436	2.0664794	265.2683	196.6967	137.14322	0.0	True	0.0
335	Gene_335	1096.6332	0.0	1.210244	1.9761904	702.9471	0.6801814	1.0023862	2.2607682	367.79913	282.06244	171.47339	0.0	True	0.0
334	Gene_334	1096.6332	0.0	-0.041856363	1.5628018	435.58075	0.63458353	-0.22040212	2.0264435	585.9831	537.8956	96.17493	0.0	True	0.0
333	Gene_333	344.7545	0.0	-0.27695504	1.749884	409.8411	0.5030436	-0.37375167	2.064391	566.12836	538.2064	55.843872	0.0	True	0.0
332	Gene_332	494.51926	0.0	1.6299045	1.5890102	1002.02014	0.72963744	1.5009258	2.249031	335.2255	277.1171	116.2168	0.0	True	0.0
331	Gene_331	431.9619	0.0	1.6623629	1.2969483	683.30237	0.63085955	1.7478434	1.8265171	370.50473	328.83676	83.33594	0.0	True	0.0
330	Gene_330	1096.6332	0.0	0.75532055	1.7578279	543.97797	0.6708637	0.50888544	2.1298735	509.79266	414.474	190.63733	0.0	True	0.0
329	Gene_329	1096.6332	0.0	-0.3128975	1.7090193	475.898	0.643198	-0.66179466	2.2378478	563.6211	511.86462	103.51294	0.0	True	0.0
344	Gene_344	287.73825	0.0	0.02314921	1.4367366	368.86423	0.59512144	-0.21535124	2.2317994	557.18945	529.4489	55.48108	0.0	True	0.0
327	Gene_327	547.2895	0.0	0.74947584	1.6800869	577.2277	0.6074693	0.65303826	1.9483325	511.93378	426.32535	171.21686	0.0	True	0.0
326	Gene_326	702.1672	0.0	0.2676094	2.2431507	556.04034	0.67747104	0.1350879	2.346253	472.9486	346.76352	252.37018	0.0	True	0.0
325	Gene_325	517.7493	0.0	1.3222646	1.5243406	552.75726	0.6481646	1.2170763	2.0916555	437.66437	400.15482	75.019104	0.0	True	0.0
324	Gene_324	463.77277	0.0	1.3935905	1.5982394	495.34433	0.63631564	1.23248	2.0628498	391.15588	341.22284	99.86609	0.0	True	0.0
323	Gene_323	668.8459	0.0	2.2986162	2.1988037	620.6868	0.767992	2.272902	2.698275	-125.98886	-241.39983	230.82193	0.0	True	0.0
322	Gene_322	1094.5779	0.0	1.2129039	1.3143864	654.3199	0.6877837	1.0760578	1.9754194	486.57178	432.2971	108.54938	0.0	True	0.0
321	Gene_321	764.4221	0.0	1.0436925	1.9216774	669.2074	0.74077904	0.9465851	2.4961815	399.24268	314.95227	168.58081	0.0	True	0.0
320	Gene_320	737.8744	0.0	-0.14479117	1.7680417	396.089	0.6681274	-0.28288278	2.4612513	536.7523	476.63812	120.22839	0.0	True	0.0
319	Gene_319	389.49774	0.0	0.40309194	1.6468165	357.86798	0.6127592	0.22763033	2.068589	554.0056	504.2162	99.57886	0.0	True	0.0
318	Gene_318	593.7271	0.0	0.7447325	1.6780372	311.35504	0.67477673	0.4528089	2.1751447	493.36017	413.6915	159.33734	0.0	True	0.0
317	Gene_317	570.6848	0.0	0.49138442	1.6860003	471.66998	0.6938683	0.2641661	2.2251816	540.8264	484.2369	113.179016	0.0	True	0.0
316	Gene_316	318.6113	0.0	0.1197669	1.5207566	371.89252	0.568225	-0.27956262	1.8330791	576.78503	508.68304	136.20398	0.0	True	0.0
315	Gene_315	480.15936	0.0	0.07887123	1.8567734	426.6197	0.656356	-0.07800553	2.3759992	545.9702	493.7728	104.39484	0.0	True	0.0
314	Gene_314	297.0026	0.0	-1.002929	1.513185	269.8039	0.48508266	-1.2536404	1.9153197	513.66064	487.32953	52.66223	0.0	True	0.0
313	Gene_313	696.1098	0.0	2.3857765	1.9072578	742.9683	0.67627615	2.0604677	2.176876	-64.887054	-168.1387	206.5033	0.0	True	0.0
359	Gene_359	1096.6332	0.0	0.14876701	1.7838688	1096.6332	0.64175516	0.06486316	2.2807088	562.0841	514.21027	95.74768	0.0	True	0.0
374	Gene_374	552.9255	0.0	1.2620666	1.7502445	623.34827	0.72533566	1.2176414	2.3362725	393.13574	308.8169	168.6377	0.0	True	0.0
373	Gene_373	1096.6332	0.0	2.1262183	1.9363521	739.7175	0.71930236	1.929621	2.2980437	46.217056	-50.767258	193.96863	0.0	True	0.0
372	Gene_372	1096.6332	0.0	0.8193096	1.5149552	524.8533	0.69464654	0.71058434	2.2401931	521.3744	474.7123	93.32416	0.0	True	0.0
371	Gene_371	663.6118	0.0	2.2440703	1.9815453	1096.6332	0.63573325	2.055993	2.2507675	-22.95668	-109.03116	172.14896	0.0	True	0.0
370	Gene_370	780.4403	0.0	1.8289113	1.3773904	855.7048	0.6739978	1.6518447	1.980693	291.70154	235.87688	111.64932	0.0	True	0.0
369	Gene_369	1046.5908	0.0	2.2839842	1.6296885	601.63135	0.63260245	2.417065	2.105954	18.874405	-51.76754	141.28389	0.0	True	0.0
368	Gene_368	415.6	0.0	-0.14731441	1.5576801	660.2031	0.61024255	-0.41940343	2.036619	577.55585	534.5849	85.941895	0.0	True	0.0
367	Gene_367	474.2498	0.0	0.5560331	1.8075496	556.5003	0.6642931	0.51267964	2.4033647	513.3606	465.62784	95.465515	0.0	True	0.0
366	Gene_366	947.9673	0.0	1.5609001	1.8722872	579.6513	0.6906852	1.4759523	2.265544	282.97363	193.31816	179.31094	0.0	True	0.0
365	Gene_365	526.2436	0.0	0.58754367	1.492291	442.9812	0.6672686	0.53498733	2.0637965	543.2521	484.76794	116.96826	0.0	True	0.0
364	Gene_364	291.83997	0.0	-0.5574276	1.6977205	133.28218	0.6204858	-0.71239144	2.2438686	532.282	485.11414	94.33569	0.0	True	0.0
363	Gene_363	598.64716	0.0	-0.70702624	1.534475	346.9558	0.49367288	-1.0430862	1.9420218	545.9992	522.0566	47.885254	0.0	True	0.0
362	Gene_362	459.2693	0.0	0.466915	1.6230787	453.12283	0.61418575	0.20224607	1.9995892	554.92224	496.0504	117.74365	0.0	True	0.0
361	Gene_361	370.47125	0.0	-0.98684406	1.9542837	625.86523	0.50634855	-1.1307029	2.1680152	517.6335	472.1516	90.963745	0.0	True	0.0
360	Gene_360	342.7786	0.0	-0.48386365	1.7152822	363.5601	0.55140275	-0.5343522	1.9506159	553.92017	484.5791	138.68213	0.0	True	0.0
312	Gene_312	575.96985	0.0	-0.0031508144	1.7625098	449.7836	0.6291986	-0.24425296	2.113097	568.5053	508.75616	119.49829	0.0	True	0.0
358	Gene_358	514.2866	0.0	1.120768	1.8856158	637.09344	0.7332135	1.1551257	2.3135257	404.40164	306.52475	195.75378	0.0	True	0.0
357	Gene_357	618.35254	0.0	1.3739319	1.7942848	388.93335	0.69243467	1.0858896	2.140807	360.47656	265.40015	190.15283	0.0	True	0.0
356	Gene_356	1041.7155	0.0	0.18229575	1.4457415	624.3093	0.62577075	0.020734195	1.9268881	592.5665	537.8002	109.532715	0.0	True	0.0
355	Gene_355	748.2398	0.0	1.1727645	1.5422252	585.4575	0.67775095	0.9701942	2.0690048	468.14474	397.65063	140.98822	0.0	True	0.0
354	Gene_354	1015.9566	0.0	1.020288	2.147641	611.9405	0.7702778	1.094767	2.787544	366.45966	274.4092	184.10089	0.0	True	0.0
353	Gene_353	647.24164	0.0	0.9638789	1.312485	464.2445	0.6566393	0.88027203	1.9562982	539.5342	504.8836	69.30115	0.0	True	0.0
352	Gene_352	434.5609	0.0	-0.24512781	1.5058974	465.7807	0.5823915	-0.34646234	1.8714093	582.4417	525.4896	113.904175	0.0	True	0.0
351	Gene_351	637.30066	0.0	1.4322635	2.0276933	593.60846	0.731203	1.2932026	2.5721996	276.28873	183.96088	184.6557	0.0	True	0.0
350	Gene_350	1096.6332	0.0	2.069486	1.6855057	759.73584	0.6622067	1.9935884	2.147295	133.90736	64.07238	139.66997	0.0	True	0.0
349	Gene_349	575.53577	0.0	1.0648096	1.4367203	595.8591	0.6536298	1.1138892	1.9857695	489.50983	434.90286	109.21393	0.0	True	0.0
348	Gene_348	840.54407	0.0	1.4638437	1.588143	916.8959	0.71086884	1.3175873	2.115505	381.79565	310.63055	142.3302	0.0	True	0.0
