ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
328	Gene_328	624.9342	0.0	3.2190266	1.5832849	914.4276	0.6787605	3.1399462	2.3029745	-524.82666	-579.94794	110.24255	0.0	True	0.0
343	Gene_343	1096.6332	0.0	1.8165296	1.5630383	661.8784	0.6877833	1.7668468	2.292265	257.2898	217.95453	78.67053	0.0	True	0.0
342	Gene_342	579.52277	0.0	0.10934812	1.8597283	468.14917	0.6312734	-0.08870186	2.2085664	546.56323	459.29132	174.54382	0.0	True	0.0
341	Gene_341	791.23834	0.0	0.74561435	1.8331888	569.4816	0.6566613	0.59761244	2.1054542	497.7373	410.08557	175.30347	0.0	True	0.0
340	Gene_340	861.1156	0.0	1.3585544	1.4375073	476.33893	0.6307723	1.3639728	1.9486223	425.6571	364.33243	122.64935	0.0	True	0.0
339	Gene_339	532.3496	0.0	0.8721988	1.7687103	592.81934	0.66324776	0.7063445	2.198782	474.4496	407.75293	133.39331	0.0	True	0.0
338	Gene_338	847.2492	0.0	0.88048625	1.7478011	721.1232	0.6505816	1.016376	2.0139244	485.09756	392.33524	185.52466	0.0	True	0.0
337	Gene_337	1047.8068	0.0	2.8379266	2.0572968	971.16064	0.7213484	2.8399591	2.3695598	-350.10986	-455.00592	209.79211	0.0	True	0.0
336	Gene_336	532.11914	0.0	1.5191299	1.4570942	600.5694	0.67752755	1.4697284	2.02973	367.5752	295.19223	144.76593	0.0	True	0.0
335	Gene_335	306.35742	0.0	-0.1837619	1.7540525	355.12805	0.5999176	-0.28485996	2.2077339	558.92365	513.93164	89.98401	0.0	True	0.0
334	Gene_334	442.1002	0.0	1.450142	1.8205732	497.26123	0.6515235	1.2259562	2.218328	308.0166	220.80638	174.42044	0.0	True	0.0
333	Gene_333	614.6526	0.0	0.1907092	2.1295698	492.64722	0.690719	0.0276143	2.613731	502.0619	418.93384	166.2561	0.0	True	0.0
332	Gene_332	554.8075	0.0	1.1124333	1.5717952	766.4383	0.67162263	1.0885777	2.0777338	467.37344	408.40402	117.93884	0.0	True	0.0
331	Gene_331	278.7165	0.0	0.6742015	2.0753305	635.8967	0.74845445	0.8906608	2.7372925	454.26862	377.9254	152.6864	0.0	True	0.0
330	Gene_330	322.9861	0.0	0.6209475	1.3935894	351.20062	0.49078792	0.509973	1.7361481	572.9282	542.062	61.73242	0.0	True	0.0
329	Gene_329	516.8596	0.0	1.3859857	1.7624797	462.14188	0.6783223	1.3072731	2.4515107	331.04486	284.37125	93.34723	0.0	True	0.0
344	Gene_344	703.70135	0.0	2.6687663	1.5060283	671.0338	0.69181764	2.564688	2.151183	-166.63718	-245.48067	157.68698	0.0	True	0.0
327	Gene_327	761.8421	0.0	2.7983403	0.8061886	543.71216	0.7649097	2.5390866	2.4324684	-204.39796	-282.77667	156.75742	0.0	True	0.0
326	Gene_326	570.3559	0.0	0.65912366	2.1236618	1088.5984	0.73851264	0.57394964	2.5338705	455.6569	355.9444	199.42499	0.0	True	0.0
325	Gene_325	451.66113	0.0	0.19720161	2.125101	619.5307	0.7097348	-0.05190611	2.4949186	509.29477	413.55157	191.48639	0.0	True	0.0
324	Gene_324	431.81818	0.0	-0.3346649	1.4056154	560.4244	0.60698307	-0.6242128	1.9245545	585.67896	555.9442	59.469482	0.0	True	0.0
