ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_0	h1_theta_1	h0	h1	lrt	p	q	signif
3	Gene_4	289.68265	4.6108184	6.29746	2.5605476	1096.6332	11.885488	7.8502254	2.076552629470825	5.038691997528076	-222.59613	-250.4769	55.761536	9.999000099990002e-05	0.0005555000055550001	True
4	Gene_5	346.23212	5.4711576	7.3048115	0.002923836	523.6224	7.9855666	7.93525	-0.3196496665477752	1.9148529767990112	484.51733	470.6569	27.720886	9.999000099990002e-05	0.0005555000055550001	True
7	Gene_8	246.70775	5.868031	7.3137236	-0.21341398	466.9475	9.687659	8.226291	-0.4987903833389282	1.464340329170227	540.8057	527.84906	25.91333	9.999000099990002e-05	0.0005555000055550001	True
10	Gene_11	220.66254	4.426731	6.793124	1.9730253	811.97925	7.256458	7.6815186	1.611080765724182	4.201838970184326	-36.478455	-50.160866	27.364822	9.999000099990002e-05	0.0005555000055550001	True
12	Gene_13	278.08606	4.773779	7.8279305	-0.97271776	344.01126	14.928249	10.289944	-1.435640573501587	2.0144758224487305	440.6321	405.4669	70.330444	9.999000099990002e-05	0.0005555000055550001	True
14	Gene_15	371.41788	4.0043507	6.565786	1.0154806	648.383	7.7259274	7.6062183	0.655859649181366	3.866376638412476	220.83545	200.96956	39.73178	9.999000099990002e-05	0.0005555000055550001	True
27	Gene_28	379.23645	5.1443663	6.915406	2.421506	1096.6332	8.714814	7.8695517	2.101768493652344	4.419610977172852	-191.82605	-206.15674	28.661377	9.999000099990002e-05	0.0005555000055550001	True
30	Gene_31	552.08453	3.2933462	6.469584	2.050716	776.7562	6.171528	7.404575	1.4847503900527954	5.4352312088012695	-239.02072	-256.67914	35.316833	9.999000099990002e-05	0.0005555000055550001	True
31	Gene_32	333.5585	5.611349	7.062274	0.2939124	1096.6332	9.370784	7.9588766	-0.0433152131736278	2.1690595149993896	491.20508	476.01508	30.380005	9.999000099990002e-05	0.0005555000055550001	True
36	Gene_37	197.20872	7.0122175	8.020984	3.2663429	1096.6332	10.499448	8.890051	2.963685750961304	5.009127140045166	-723.63794	-738.64685	30.017822	9.999000099990002e-05	0.0005555000055550001	True
37	Gene_38	202.80528	4.980109	6.5708175	1.7129104	860.85126	8.127346	7.3599944	1.410583734512329	3.719655513763428	135.66174	120.21362	30.89624	9.999000099990002e-05	0.0005555000055550001	True
41	Gene_42	336.24484	6.0326266	7.5042477	1.3531802	941.37274	10.390918	8.594944	1.0364203453063965	3.298940896987915	253.83528	237.1714	33.32776	9.999000099990002e-05	0.0005555000055550001	True
43	Gene_44	131.6269	3.8289897	6.734428	0.7510831	646.55194	6.2006736	7.5064397	0.2702468931674957	3.5391604900360107	242.84998	227.12775	31.444458	9.999000099990002e-05	0.0005555000055550001	True
45	Gene_46	257.11804	4.5492144	6.8478837	0.47287485	635.15094	8.5576	7.9249063	0.0467903614044189	2.8841373920440674	415.69	394.59515	42.189697	9.999000099990002e-05	0.0005555000055550001	True
48	Gene_49	168.64986	3.1746433	6.61818	0.65767604	630.1832	9.374977	8.352053	0.0769732445478439	5.066511154174805	84.91746	49.23665	71.36162	9.999000099990002e-05	0.0005555000055550001	True
65	Gene_66	173.01463	8.333664	7.4312406	0.21014695	1096.6332	14.471334	8.419008	-0.0240326784551143	1.658010959625244	567.85095	551.08575	33.530396	9.999000099990002e-05	0.0005555000055550001	True
87	Gene_88	301.59296	4.9563336	6.589232	0.8452491	493.69296	11.894099	8.228235	0.5552574396133423	3.034862518310547	409.19617	385.60352	47.185303	9.999000099990002e-05	0.0005555000055550001	True
94	Gene_95	333.4432	4.6356673	6.852023	0.3891242	841.49286	7.1153264	7.6149635	0.0680425986647605	2.466516494750977	453.78183	441.10562	25.352417	9.999000099990002e-05	0.0005555000055550001	True
95	Gene_96	417.3969	8.204026	8.908713	-0.69944996	352.79266	15.647372	10.153383	-1.069874286651611	1.277252197265625	527.8023	502.46558	50.673462	9.999000099990002e-05	0.0005555000055550001	True
109	Gene_110	532.7218	4.7359643	6.5129986	1.1923683	788.6957	8.221329	7.3669157	0.8692531585693359	3.383234024047852	290.17142	272.18524	35.97235	9.999000099990002e-05	0.0005555000055550001	True
128	Gene_129	233.28079	4.110156	6.7369375	1.5950663	553.4079	7.15975	7.7126527	1.1008000373840332	4.071076393127441	120.00917	104.37651	31.26532	9.999000099990002e-05	0.0005555000055550001	True
134	Gene_135	423.157	4.0816226	6.530307	1.4047163	884.86383	7.3244915	7.4951887	0.9458226561546326	3.954517602920532	169.28642	152.57292	33.427002	9.999000099990002e-05	0.0005555000055550001	True
136	Gene_137	190.05019	5.594113	6.7806406	1.6426615	874.1684	8.83367	7.5364823	1.3577253818511963	3.472240924835205	176.85522	162.23926	29.231934	9.999000099990002e-05	0.0005555000055550001	True
146	Gene_147	319.69788	3.6525023	6.8580275	0.5464991	800.3411	6.356505	7.7393537	0.0445274822413921	3.3520469665527344	336.48596	321.37958	30.212769	9.999000099990002e-05	0.0005555000055550001	True
155	Gene_156	208.88602	6.581949	7.211305	0.787423	671.3738	9.289486	7.796901	0.4947706758975982	2.3740499019622803	455.61124	441.69348	27.83551	9.999000099990002e-05	0.0005555000055550001	True
158	Gene_159	418.5543	4.1645865	6.5274673	1.083932	589.49695	10.243918	8.127154	0.6258941888809204	3.795255899429321	278.1764	254.1247	48.103394	9.999000099990002e-05	0.0005555000055550001	True
180	Gene_181	309.2926	3.9854996	6.048679	1.2882679	1050.3323	9.383284	7.35825	0.8743159770965576	4.007045745849609	226.7933	202.1477	49.2912	9.999000099990002e-05	0.0005555000055550001	True
183	Gene_184	330.50385	5.4980984	6.889529	-0.027616452	761.2676	11.276223	8.107299	-0.3896145820617676	2.015098571777344	542.9346	519.9995	45.870117	9.999000099990002e-05	0.0005555000055550001	True
186	Gene_187	160.65863	4.157686	6.3237514	2.0289671	710.25415	7.8302402	7.38941	1.5605642795562744	4.611701011657715	-56.86177	-76.30032	38.877106	9.999000099990002e-05	0.0005555000055550001	True
190	Gene_191	420.46423	3.5399344	6.5357447	1.0278622	547.0437	7.67689	7.911403	0.4296266734600067	4.249466896057129	162.81688	142.17232	41.289124	9.999000099990002e-05	0.0005555000055550001	True
191	Gene_192	288.94598	4.7019377	6.7981114	1.590359	711.73706	10.652938	8.222953	1.211508870124817	4.081221580505371	149.3762	123.2348	52.282806	9.999000099990002e-05	0.0005555000055550001	True
200	Gene_201	92.78556	4.1763616	6.514196	1.0248592	492.16537	6.2976184	7.176779	0.6463229060173035	3.2608683109283447	281.8953	268.70612	26.378357	9.999000099990002e-05	0.0005555000055550001	True
207	Gene_208	676.5917	3.22782	6.0951633	1.6822475	1096.6332	7.987366	7.4189057	1.2338207960128784	5.389172554016113	-118.33557	-146.02734	55.383545	9.999000099990002e-05	0.0005555000055550001	True
208	Gene_209	472.34317	4.1284	6.2510204	1.3713974	741.05273	6.206872	6.8678284	1.0218976736068726	3.5961461067199707	188.54297	176.03204	25.02185	9.999000099990002e-05	0.0005555000055550001	True
211	Gene_212	481.8612	3.77947	6.5557637	-0.08192222	760.8721	10.276765	8.180034	-0.5579535961151123	2.994823694229126	419.81598	391.3025	57.026978	9.999000099990002e-05	0.0005555000055550001	True
214	Gene_215	239.82442	4.3896627	6.870024	0.77642846	802.7548	7.7102222	7.783907	0.4456580877304077	3.275256872177124	334.37717	317.46906	33.816223	9.999000099990002e-05	0.0005555000055550001	True
217	Gene_218	118.082695	15.28344	10.652594	-1.5426395	238.02696	19.198448	10.7857	-1.1314268112182615	-3.331300735473633	468.6679	453.14935	31.03711	9.999000099990002e-05	0.0005555000055550001	True
218	Gene_219	189.82213	6.684987	8.120341	-0.89049226	503.40186	12.766015	9.63674	-1.196535587310791	0.9125860929489136	511.63483	494.63635	33.99695	9.999000099990002e-05	0.0005555000055550001	True
225	Gene_226	49.45236	7.158337	7.343871	0.49930945	576.39075	12.982227	8.480196	0.138152539730072	2.2078356742858887	524.6236	501.93527	45.376648	9.999000099990002e-05	0.0005555000055550001	True
227	Gene_228	171.07184	4.526311	7.450232	-0.15764502	494.07782	10.745834	9.471027	-0.6256632208824158	2.443889141082764	447.0435	424.69968	44.687622	9.999000099990002e-05	0.0005555000055550001	True
232	Gene_233	161.235	5.8355565	7.382825	3.346293	772.293	8.141623	8.005114	3.0052199363708496	5.104909420013428	-717.9524	-732.4414	28.978027	9.999000099990002e-05	0.0005555000055550001	True
235	Gene_236	454.1566	5.8992105	6.8247976	1.0492514	482.9159	10.48227	7.899848	0.7518896460533142	2.788055658340454	405.49878	389.0973	32.80298	9.999000099990002e-05	0.0005555000055550001	True
241	Gene_242	214.15675	4.7634735	7.2964983	1.1020207	518.26556	12.825094	9.443371	0.6637296676635742	3.690265655517578	277.2923	250.8606	52.863403	9.999000099990002e-05	0.0005555000055550001	True
256	Gene_257	99.19768	4.828697	7.309868	-0.24755219	619.3059	9.25617	8.579172	-0.5180597901344299	2.244259119033813	480.04724	459.1751	41.744263	9.999000099990002e-05	0.0005555000055550001	True
258	Gene_259	381.61752	3.7947826	6.658827	3.2467	803.6659	7.68846	7.9004364	2.6826324462890625	6.182194709777832	-822.67096	-844.36316	43.3844	9.999000099990002e-05	0.0005555000055550001	True
