ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Gene_1	h0	shared	322.63577	6.4852815	8.437055	0.4198792
0	Gene_1	h1	0	518.56573	7.9059873	8.9051075	0.18122799694538116
0	Gene_1	h1	1	518.56573	7.9059873	8.9051075	1.7611855268478394
1	Gene_2	h0	shared	9.037244	28.597225	12.829742	-2.4142094
1	Gene_2	h1	0	70.2424	28.9691	12.886208	-2.269019842147827
1	Gene_2	h1	1	70.2424	28.9691	12.886208	-3.3221359252929688
2	Gene_3	h0	shared	100.16904	5.4155226	9.076153	1.0232135
2	Gene_3	h1	0	385.37372	5.839582	9.299803	0.8265522718429565
2	Gene_3	h1	1	385.37372	5.839582	9.299803	2.1106295585632324
3	Gene_4	h0	shared	98.47712	5.95667	7.8882713	0.6075559
3	Gene_4	h1	0	522.2576	7.6725073	8.499689	0.3410438299179077
3	Gene_4	h1	1	522.2576	7.6725073	8.499689	1.9838838577270508
4	Gene_5	h0	shared	27.124561	7.055175	9.147575	0.40646765
4	Gene_5	h1	0	21.768482	11.99025	10.599204	0.8225581645965576
4	Gene_5	h1	1	21.768482	11.99025	10.599204	-1.6018403768539429
5	Gene_6	h0	shared	47.678635	7.3397737	8.5490885	0.8205345
5	Gene_6	h1	0	306.44653	7.5123034	8.69083	0.9260480999946594
5	Gene_6	h1	1	306.44653	7.5123034	8.69083	0.2703658640384674
6	Gene_7	h0	shared	41.163315	5.649046	9.0305805	0.11338885
6	Gene_7	h1	0	49.05395	5.914478	9.169766	-0.026043282821774483
6	Gene_7	h1	1	49.05395	5.914478	9.169766	0.879397451877594
7	Gene_8	h0	shared	202.65979	5.5753775	8.61819	0.29491928
7	Gene_8	h1	0	492.25977	5.611819	8.641143	0.25114378333091736
7	Gene_8	h1	1	492.25977	5.611819	8.641143	0.5047908425331116
8	Gene_9	h0	shared	73.9635	3.5642743	8.763076	1.565572
8	Gene_9	h1	0	366.1242	5.191337	9.702396	2.1061668395996094
8	Gene_9	h1	1	366.1242	5.191337	9.702396	-1.9774314165115356
9	Gene_10	h0	shared	87.77513	6.479819	8.600904	0.5015661
9	Gene_10	h1	0	479.18637	6.503762	8.659703	0.5374452471733093
9	Gene_10	h1	1	479.18637	6.503762	8.659703	0.2913409471511841
10	Gene_11	h0	shared	114.22413	9.907334	10.690378	0.14575638
10	Gene_11	h1	0	340.01187	10.200443	10.829454	0.2624584138393402
10	Gene_11	h1	1	340.01187	10.200443	10.829454	-0.43788477778434753
11	Gene_12	h0	shared	63.738052	9.258213	8.869143	0.66219234
11	Gene_12	h1	0	545.4228	9.198265	8.931678	0.5963858962059021
11	Gene_12	h1	1	545.4228	9.198265	8.931678	0.9086041450500488
12	Gene_13	h0	shared	40.098007	8.709037	9.843995	1.8011541
12	Gene_13	h1	0	198.86285	10.117191	10.454703	2.041203022003174
12	Gene_13	h1	1	198.86285	10.117191	10.454703	0.6578361392021179
13	Gene_14	h0	shared	112.5197	8.620575	9.71434	-0.11106111
13	Gene_14	h1	0	352.07892	8.53443	9.702571	-0.09506075829267502
13	Gene_14	h1	1	352.07892	8.53443	9.702571	-0.21812772750854492
14	Gene_15	h0	shared	203.23956	5.5762634	8.597686	0.8281064
14	Gene_15	h1	0	429.00436	5.7328362	8.664138	0.9473680257797241
14	Gene_15	h1	1	429.00436	5.7328362	8.664138	0.1997935026884079
15	Gene_16	h0	shared	74.99889	7.7277546	9.557472	1.5710529
15	Gene_16	h1	0	292.1084	7.8196306	9.642917	1.658095359802246
15	Gene_16	h1	1	292.1084	7.8196306	9.642917	1.1453392505645752
16	Gene_17	h0	shared	65.98817	7.153529	8.832544	0.5291114
16	Gene_17	h1	0	108.00619	8.030693	9.142521	0.7268189787864685
16	Gene_17	h1	1	108.00619	8.030693	9.142521	-0.4651317298412323
17	Gene_18	h0	shared	66.15685	5.296428	8.001588	0.35382745
17	Gene_18	h1	0	343.4512	5.4318547	8.100523	0.20742186903953552
17	Gene_18	h1	1	343.4512	5.4318547	8.100523	1.093366026878357
18	Gene_19	h0	shared	21.98122	10.586666	10.625861	3.348807
18	Gene_19	h1	0	13.794414	15.012369	11.186561	3.6916604042053223
18	Gene_19	h1	1	13.794414	15.012369	11.186561	1.808763861656189
19	Gene_20	h0	shared	61.203907	7.461348	9.222433	1.1631597
19	Gene_20	h1	0	335.26825	7.558411	9.341743	1.2383025884628296
19	Gene_20	h1	1	335.26825	7.558411	9.341743	0.7617120742797852
20	Gene_21	h0	shared	75.125565	10.020055	8.444256	0.7165902
20	Gene_21	h1	0	465.06717	10.0042715	8.497508	0.7577571868896484
20	Gene_21	h1	1	465.06717	10.0042715	8.497508	0.5006663203239441
21	Gene_22	h0	shared	228.35764	6.434246	8.929052	1.4699397
21	Gene_22	h1	0	637.874	6.42817	8.926776	1.5660938024520874
21	Gene_22	h1	1	637.874	6.42817	8.926776	0.9797365665435791
22	Gene_23	h0	shared	58.58758	8.9658785	8.96349	0.007988198
22	Gene_23	h1	0	349.53702	9.147001	9.052959	0.11967352032661438
22	Gene_23	h1	1	349.53702	9.147001	9.052959	-0.5411776304244995
23	Gene_24	h0	shared	111.889534	6.664969	8.594894	1.0832312
23	Gene_24	h1	0	462.724	6.7571874	8.683658	1.1277086734771729
23	Gene_24	h1	1	462.724	6.7571874	8.683658	0.8433924913406372
24	Gene_25	h0	shared	106.22443	13.602453	11.139182	-1.3905325
24	Gene_25	h1	0	58.02758	13.82397	11.181234	-1.44625985622406
24	Gene_25	h1	1	58.02758	13.82397	11.181234	-1.1155407428741455
25	Gene_26	h0	shared	398.77454	7.406669	9.124273	-1.3804921
25	Gene_26	h1	0	419.5818	10.394218	9.955466	-0.9859373569488525
25	Gene_26	h1	1	419.5818	10.394218	9.955466	-3.2753336429595947
26	Gene_27	h0	shared	64.7575	6.439525	8.34842	0.78230757
26	Gene_27	h1	0	302.53613	7.26519	8.704534	1.0123748779296875
26	Gene_27	h1	1	302.53613	7.26519	8.704534	-0.4119700789451599
27	Gene_28	h0	shared	108.237206	14.94671	10.968923	-0.5875563
27	Gene_28	h1	0	175.72371	14.988769	10.993344	-0.5518426895141602
27	Gene_28	h1	1	175.72371	14.988769	10.993344	-0.7621554732322693
28	Gene_29	h0	shared	64.89215	7.244726	8.740152	0.52897114
28	Gene_29	h1	0	382.53247	8.981662	9.35246	0.7989494204521179
28	Gene_29	h1	1	382.53247	8.981662	9.35246	-0.8196122050285339
29	Gene_30	h0	shared	119.69913	7.9869432	9.498014	1.2954476
29	Gene_30	h1	0	217.59407	8.055284	9.548235	1.2025076150894165
29	Gene_30	h1	1	217.59407	8.055284	9.548235	1.7082759141921997
30	Gene_31	h0	shared	74.59491	5.5617404	8.364757	0.12299375
30	Gene_31	h1	0	337.2092	6.5630617	8.848196	-0.11036156862974167
30	Gene_31	h1	1	337.2092	6.5630617	8.848196	1.2378528118133545
31	Gene_32	h0	shared	39.963654	5.748744	8.676445	1.3596783
31	Gene_32	h1	0	47.776314	5.8377256	8.724921	1.4666204452514648
31	Gene_32	h1	1	47.776314	5.8377256	8.724921	0.7842081189155579
32	Gene_33	h0	shared	30.440233	4.9142785	8.4296255	1.104059
32	Gene_33	h1	0	415.42084	5.436522	8.861229	1.3032582998275757
