ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_0	h1_theta_1	h0	h1	lrt	p	q	signif
11	Gene_12	111.07557	7.573428	10.045538	-1.4402965	118.54576	18.195925	12.166938	-1.8334922790527344	1.3752267360687256	440.48444	403.2168	74.53528	0.0	0.0	True
60	Gene_61	341.96948	5.7677884	9.426053	-1.7179413	62.76201	19.648138	12.511668	-2.1622767448425293	1.6869686841964722	393.2021	346.48126	93.44165	0.0	0.0	True
77	Gene_78	333.96182	6.9819117	9.824012	-1.5960779	167.73294	17.98177	11.842887	-1.9761720895767212	1.2777959108352661	438.98956	399.333	79.31311	0.0	0.0	True
82	Gene_83	41.508884	3.2411666	7.779281	1.2959019	298.54956	10.219703	10.585181	0.49008941650390625	5.989177703857422	-246.98315	-283.3763	72.786316	0.0	0.0	True
125	Gene_126	23.68531	3.4924302	7.53229	1.2612296	10.833392	14.054641	10.086168	0.6167553663253784	5.698298454284668	-153.18958	-192.8792	79.37924	0.0	0.0	True
151	Gene_152	106.962326	3.9817507	7.777745	0.39698982	25.876055	15.754222	10.777939	-0.14256611466407776	4.441812038421631	176.59909	133.72668	85.74481	0.0	0.0	True
323	Gene_324	70.02754	6.5396113	8.362078	0.19101602	339.91022	18.729198	11.163483	-0.23590874671936035	2.609995126724243	464.15033	428.11066	72.079346	0.0	0.0	True
184	Gene_185	32.019035	3.9876456	8.705775	0.5463881	22.36124	11.580797	11.353307	-0.06474258750677109	4.699112892150879	38.480118	3.9537811	69.05267	1.1102230246251565e-16	6.167905692361981e-15	True
490	Gene_491	28.942669	5.352937	8.293525	0.65986806	8.148434	19.92953	11.268444	0.3109859526157379	3.555311679840088	282.12555	247.57571	69.09967	1.1102230246251565e-16	6.167905692361981e-15	True
141	Gene_142	19.82241	4.700724	9.11077	2.6460326	9.298382	14.081121	11.790694	2.1517934799194336	6.3544816970825195	-813.31067	-844.7418	62.862305	2.220446049250313e-15	1.1102230246251565e-13	True
327	Gene_328	94.13704	4.005426	7.8580585	0.53745985	388.2531	9.931727	9.850116	0.05166526138782501	4.140915393829346	191.5105	160.69774	61.62552	4.107825191113079e-15	1.8671932686877635e-13	True
463	Gene_464	57.927273	5.6896544	8.313439	0.168281	32.461018	13.971099	10.329903	-0.27365630865097046	2.7877261638641357	399.4016	369.53696	59.72931	1.0880185641326534e-14	4.5334106838860555e-13	True
243	Gene_244	90.92118	5.7091656	7.9312162	0.7651193	263.47034	13.577681	9.977277	0.4238894283771515	3.2279765605926514	352.16003	322.46317	59.393738	1.2878587085651816e-14	4.953302725250699e-13	True
376	Gene_377	157.82845	12.333904	10.003381	-1.4181321	78.506775	24.433054	10.928517	-1.6514053344726562	0.5231857895851135	482.64154	453.5049	58.273254	2.275957200481571e-14	8.128418573148468e-13	True
247	Gene_248	104.73801	7.161452	8.889546	0.70379704	337.0433	15.721421	11.24584	1.2286750078201294	-1.7553131580352783	400.19974	371.37317	57.653137	3.1308289294429414e-14	1.0436096431476471e-12	True
295	Gene_296	142.01912	6.0032306	7.676463	1.4723659	428.8105	13.404217	9.485127	1.0683023929595947	3.8869071006774902	181.46167	152.9577	57.007935	4.340972026284362e-14	1.3565537582138631e-12	True
177	Gene_178	25.955318	8.688075	9.253142	1.8289039	11.330817	19.302658	10.890114	1.4908175468444824	4.0228471755981445	33.539	5.7620087	55.553986	9.092726571680032e-14	2.674331344611774e-12	True
349	Gene_350	38.13925	6.101422	8.2485895	1.1362859	144.38242	12.868647	9.980103	0.7237813472747803	3.5752928256988525	247.18143	219.60036	55.16214	1.1102230246251565e-13	3.0839528461809907e-12	True
370	Gene_371	250.91748	4.1551676	7.721998	0.501345	503.04074	11.032987	10.035323	-0.06077686324715614	3.7789833545684814	258.30032	230.94736	54.705933	1.3999912340523224e-13	3.684187458032428e-12	True
251	Gene_252	45.415104	4.8489537	8.012118	0.924293	369.50354	11.360055	10.353543	0.3810294568538666	3.7410390377044678	234.89801	208.5675	52.66101	3.963496197911809e-13	9.908740494779522e-12	True
13	Gene_14	103.90822	3.7902215	8.137072	-0.10458337	236.32277	9.084832	10.118387	-0.6531544923782349	3.641974925994873	241.7329	215.7485	51.96878	5.63882274207117e-13	1.3425768433502785e-11	True
270	Gene_271	138.79973	4.017568	8.429458	-1.0994371	171.5169	10.639733	10.837045	-1.4871736764907837	2.6751582622528076	335.95728	310.45178	51.010986	9.18487508272392e-13	2.086012522138093e-11	True
424	Gene_425	186.2055	4.593509	7.884245	-0.15401563	533.3448	10.319425	9.691124	-0.6013721823692322	2.8403127193450928	380.86902	355.4065	50.92505	9.595657601835228e-13	2.086012522138093e-11	True
65	Gene_66	263.67682	8.374716	10.208698	-1.377259	233.04454	16.538721	12.018015	-1.7513701915740967	0.9248990416526794	465.6087	440.19952	50.81836	1.0131895322729179e-12	2.110811525568579e-11	True
308	Gene_309	85.12164	5.627282	8.339103	0.021091146	484.97543	10.820856	9.776623	-0.34955671429634094	2.5334219932556152	435.07397	410.3271	49.493774	1.990074771640593e-12	3.980149543281186e-11	True
350	Gene_351	129.64699	4.243842	7.975887	0.1082166	294.09677	8.827308	9.569343	-0.4254291355609894	3.2394955158233643	322.75937	298.1964	49.125916	2.4005242238445135e-12	4.616392738162526e-11	True
72	Gene_73	248.73602	12.356035	10.76471	-1.7309829	221.14453	18.154953	11.3733835	-2.0857691764831543	0.20151880383491516	463.85193	439.66595	48.37195	3.5257352593021096e-12	6.529139369077981e-11	True
10	Gene_11	14.578923	9.042496	10.530727	3.297156	7.29361	18.654596	11.722379	2.8233697414398193	5.54710054397583	-862.74164	-886.5637	47.644165	5.1103565823495956e-12	9.125636754195706e-11	True
83	Gene_84	103.8932	6.288686	8.874286	0.5583266	253.116	12.415071	10.714127	0.06148544326424599	2.865488052368164	373.6695	349.91345	47.512085	5.466627150951808e-12	9.425219225778979e-11	True
20	Gene_21	31.008093	4.6650076	9.238565	2.5640986	34.408875	9.520572	11.299248	1.9792946577072144	6.119688034057617	-724.44446	-748.1243	47.35974	5.908384892450158e-12	9.847308154083598e-11	True
152	Gene_153	20.4727	3.752072	7.406177	1.7405927	14.636004	8.245007	8.938938	1.2064427137374878	5.187654495239258	-245.70555	-269.29373	47.17636	6.487810289002027e-12	1.0464210143551657e-10	True
207	Gene_208	25.661316	7.8432555	10.673935	2.8740628	15.466524	14.006245	12.032247	2.4116063117980957	5.310725212097168	-661.5569	-684.56555	46.017334	1.172117958248009e-11	1.831434309762514e-10	True
425	Gene_426	52.703022	9.1292715	9.495755	0.10330809	66.24496	15.8347645	10.737214	-0.2517724633216858	2.0241806507110596	483.3706	460.43628	45.868652	1.264532922817807e-11	1.9159589739663741e-10	True
331	Gene_332	99.19762	7.252495	8.246991	-0.50846565	230.5786	13.736368	9.4720745	-0.828755795955658	1.4612089395523071	515.73846	493.37775	44.721436	2.2715718195343015e-11	3.340546793432796e-10	True
388	Gene_389	71.04688	8.407701	9.972457	2.8222115	277.88113	14.15014	11.667745	2.381988525390625	4.893385887145996	-481.6368	-503.64413	44.01465	3.259270631161826e-11	4.656100901659751e-10	True
384	Gene_385	65.29366	4.8711915	8.653251	0.22345097	59.895294	10.053267	10.597389	-0.2645147144794464	3.0452284812927246	319.80756	298.0463	43.522522	4.19108081572972e-11	5.820945577402389e-10	True
264	Gene_265	127.12519	4.7312284	7.328725	1.3449069	661.6838	8.595604	8.457564	0.8735615611076355	3.9632766246795654	151.63814	130.02399	43.228302	4.871092418312628e-11	6.582557322044092e-10	True
