ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_0	h1_theta_1	h0	h1	lrt	p	q	signif
429	Gene_430	465.71274	4.9129157	7.2826104	-0.5284954	622.866	13.618218	9.104931	-0.9695777893066406	2.3080461025238037	467.753	431.9909	71.52417	0.0	0.0	True
177	Gene_178	379.83966	4.4749036	6.9689636	-0.64227057	488.833	11.048213	8.792162	-1.0232442617416382	2.05298113822937	484.6694	458.19388	52.95105	3.419486915845482e-13	8.548717289613705e-11	True
258	Gene_259	144.25401	9.107498	8.549324	-0.6392839	459.695	15.195318	9.503862	-0.1624099165201187	-2.838399648666382	547.51465	523.64703	47.73523	4.8784309925054e-12	8.130718320842334e-10	True
296	Gene_297	144.92506	4.806307	7.273207	0.30406237	503.1679	10.643955	9.078465	0.7840123772621155	-2.4656715393066406	458.57086	436.74142	43.658875	3.909006451863206e-11	4.8134274344135974e-09	True
475	Gene_476	218.36708	5.3274326	7.1038184	1.4419534	849.09955	11.068712	8.772623	1.818521499633789	-0.8300063014030457	301.78928	280.25543	43.067688	5.287836835066173e-11	4.8134274344135974e-09	True
105	Gene_106	331.96844	7.157264	7.934435	-0.78270954	402.55524	12.635493	8.960378	-1.050754427909851	1.1711387634277344	538.02234	516.5749	42.894897	5.776112921296317e-11	4.8134274344135974e-09	True
266	Gene_267	341.21634	4.530081	6.714762	0.67750686	611.19977	10.046696	8.403069	1.1119669675827026	-1.891053318977356	441.5141	421.0951	40.838013	1.6538459490789137e-10	1.1813185350563669e-08	True
127	Gene_128	316.77795	4.934565	6.9647765	0.063255176	625.89813	9.492847	8.292091	0.5786862969398499	-2.347738742828369	504.30768	484.03244	40.550476	1.9160184550059967e-10	1.1975115343787479e-08	True
213	Gene_214	130.04213	3.6509452	6.5868526	0.94614583	614.8936	7.9786725	7.9596457	0.46845701336860657	3.973479986190796	213.08492	193.60829	38.953247	4.340776627032028e-10	2.411542570573349e-08	True
428	Gene_429	181.35236	4.445552	6.6994567	3.5611055	942.7954	8.018093	7.7932487	4.012242794036865	1.1538387537002563	-846.50104	-865.5983	38.19458	6.403002572596961e-10	3.2015012862984804e-08	True
313	Gene_314	233.08876	6.2981486	7.0945997	1.6920116	726.1289	10.951428	8.131664	2.0544140338897705	-0.08650939166545868	255.52023	236.9333	37.17386	1.0805260020063656e-09	4.911481827301662e-08	True
170	Gene_171	262.74393	7.244781	8.135189	-0.404864	535.35645	11.911254	9.240399	0.05684912949800491	-2.445854902267456	532.1598	513.703	36.913574	1.2348323474853373e-09	5.145134781188906e-08	True
100	Gene_101	414.12576	4.6177206	6.5917516	1.1732492	772.7793	8.752817	7.730079	1.6557080745697021	-1.0897208452224731	336.69196	318.35397	36.675964	1.3948872057412132e-09	5.3649507913123585e-08	True
130	Gene_131	176.39346	13.826641	10.5950365	-1.6232295	288.67673	20.426607	11.050214	-1.8647420406341553	-0.007154869846999645	464.00287	445.81024	36.385254	1.6192367446876688e-09	5.447890657113893e-08	True
145	Gene_146	135.21332	5.602197	6.937788	1.4699568	634.1843	9.694443	7.916177	1.1362916231155396	3.4831950664520264	227.84915	209.66559	36.367126	1.6343671971341678e-09	5.447890657113893e-08	True
36	Gene_37	119.65769	5.774276	6.927282	0.6356657	573.03827	10.980173	8.329406	1.0476558208465576	-1.1905367374420166	491.57697	473.71555	35.72284	2.274814114855417e-09	6.995560340156463e-08	True
413	Gene_414	313.73914	3.532285	6.3637133	1.7419771	713.23694	6.28814	7.339521	2.2758216857910156	-1.4310154914855957	48.172577	30.354568	35.636017	2.3784905156531977e-09	6.995560340156463e-08	True
152	Gene_153	208.3704	8.199482	7.4693594	0.006586755	470.93936	14.737304	8.51028	0.40567547082901	-1.5652202367782593	572.9906	555.655	34.671143	3.903756762291266e-09	1.0843768784142406e-07	True
197	Gene_198	55.283188	12.158123	10.378801	-1.736135	266.6369	16.30809	10.936075	-2.067857503890991	-0.10869524627923965	459.8797	442.62643	34.50653	4.248235652148935e-09	1.1179567505655093e-07	True
363	Gene_364	327.959	4.6648293	6.6675973	0.9913936	833.8406	8.368399	7.6305046	0.684897243976593	3.232473850250244	331.76196	314.81372	33.896484	5.812363368384865e-09	1.4530908420962163e-07	True
166	Gene_167	74.561516	7.3422256	7.682329	-0.38167843	478.69788	12.661029	8.860014	0.03166152909398079	-2.149658679962158	552.19196	535.32513	33.733643	6.31982177701218e-09	1.5047194707171856e-07	True
359	Gene_360	164.66235	7.574943	7.8005967	0.3513969	560.915	11.711169	8.621113	0.7426825165748596	-1.3153375387191772	529.0717	512.44977	33.243896	8.129451445348934e-09	1.8476026012156668e-07	True
91	Gene_92	101.7735	6.9294744	7.8503985	0.3178419	498.1733	12.473394	9.199296	0.011037999764084816	1.9526638984680176	516.51404	499.95978	33.10852	8.715595356534322e-09	1.894694642724853e-07	True
419	Gene_420	209.09769	4.891872	7.2431355	0.6409724	796.8014	8.150501	8.162558	0.2501188814640045	2.887544870376587	369.7453	353.32947	32.831665	1.0049445720028416e-08	2.09363452500592e-07	True
263	Gene_264	191.85156	3.6409416	6.563058	0.046807878	479.66782	8.49046	8.316494	-0.41481494903564453	2.4576706886291504	451.42752	435.7563	31.342468	2.1629615876150865e-08	4.1658229430132985e-07	True
370	Gene_371	116.38616	5.3895226	7.1343923	-0.0814096	374.99304	10.170001	8.426933	-0.3846527934074402	1.8133597373962402	509.44702	493.77725	31.339539	2.1662279303669152e-08	4.1658229430132985e-07	True
323	Gene_324	628.2507	4.2782745	7.1211157	0.82056785	508.9564	7.6565666	8.283827	0.39598140120506287	3.1700491905212402	315.32938	300.89954	28.85968	7.781601663037208e-08	1.4410373450068903e-06	True
271	Gene_272	213.0034	6.3915186	7.7001	1.1273472	625.43024	9.277944	8.417829	1.466060996055603	-0.6160047650337219	383.7615	369.60675	28.30951	1.0338685518807011e-07	1.8461938426441092e-06	True
449	Gene_450	100.143585	6.8816614	7.8770366	1.5594047	588.7206	9.6628475	8.530668	1.266465187072754	3.2205865383148193	192.02026	178.0419	27.956726	1.2405898253131653e-07	2.1389479746778713e-06	True
