ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_0	h1_theta_1	h0	h1	lrt	p	q	signif
19	Gene_20	372.1364	4.381521	7.0707917	-0.6680645	418.29886	13.7836895	9.4289255	-1.0259547233581543	2.328665018081665	468.74637	436.201	65.09076	6.661338147750939e-16	3.3306690738754696e-13	True
146	Gene_147	262.88928	8.582041	8.2468405	0.13771051	174.08148	17.4145	9.735294	0.6405630707740784	-1.8488279581069946	540.92285	514.6674	52.510864	4.2787995369053533e-13	1.0696998842263383e-10	True
242	Gene_243	214.67102	5.713534	7.793618	0.08441348	424.86935	13.113456	9.76062	0.549981415271759	-2.5398526191711426	511.05206	485.55048	51.003174	9.22151244253655e-13	1.5369187404227583e-10	True
78	Gene_79	164.94347	4.5769506	7.1146693	2.1171837	494.31247	10.641321	9.034504	2.6087539196014404	-0.5661861896514893	-32.40596	-56.55435	48.296783	3.6635139366580916e-12	4.5793924208226144e-10	True
66	Gene_67	385.03098	6.4956555	9.434761	-1.6432519	253.40099	11.498019	11.03394	-1.0467621088027954	-5.611144065856934	442.43964	419.0129	46.853455	7.649769706574716e-12	7.649769706574716e-10	True
294	Gene_295	137.14923	6.460322	8.00869	-1.1475596	427.22183	13.136612	9.325723	-1.473912239074707	0.9197847247123718	506.91748	484.47705	44.88086	2.0939472378245227e-11	1.7449560315204356e-09	True
211	Gene_212	126.23091	4.3952765	6.968276	2.176355	508.95685	8.957638	8.400159	1.8006641864776611	4.807627201080322	-203.83595	-224.4335	41.1951	1.3776757512573568e-10	9.840541080409691e-09	True
280	Gene_281	401.48706	7.5062456	7.4216137	2.5879347	635.496	14.300276	8.71555	2.256725311279297	4.2935404777526855	-172.8955	-193.28879	40.78659	1.6979417871709757e-10	1.0612136169818598e-08	True
136	Gene_137	459.5824	4.798708	7.0996757	-0.4925292	533.09485	9.084736	8.237541	-0.8355503082275391	1.9195175170898438	477.73132	458.10736	39.247925	3.7326486346245247e-10	2.073693685902514e-08	True
308	Gene_309	430.4804	7.072693	7.4060817	1.7255822	635.4769	12.225726	8.386691	1.3896706104278564	3.4729440212249756	215.16254	195.991	38.34308	5.933817881498271e-10	2.9669089407491356e-08	True
428	Gene_429	438.24368	8.33335	8.468501	-0.7347015	330.6545	14.45983	9.524082	-1.019574522972107	0.9926282167434692	534.98376	516.1227	37.722168	8.157228226224333e-10	3.707831011920152e-08	True
335	Gene_336	162.17514	5.8745337	8.3110075	-0.8552872	424.97003	11.976118	10.132156	-0.3532337546348572	-3.3038601875305176	503.31277	485.3972	35.831177	2.151769096236933e-09	8.853307830437329e-08	True
