ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_0	h1_theta_1	h0	h1	lrt	p	q	signif
33	Gene_34	415.54327	3.830347	6.718236	2.860517	1006.83936	14.934423	9.428457	2.282672166824341	6.729210376739502	-667.786	-713.0845	90.596924	0.0	0.0	True
63	Gene_64	437.19028	3.7717423	6.985992	-0.5418639	515.20703	12.605924	9.043984	-1.032511830329895	3.186734676361084	370.46405	331.26828	78.39154	0.0	0.0	True
76	Gene_77	182.24011	2.2550044	6.7459946	0.10482287	702.02527	8.155686	8.4868	-0.6723988056182861	7.092074394226074	-374.3094	-420.56488	92.51099	0.0	0.0	True
119	Gene_120	218.1035	8.288469	9.118738	-1.6801097	188.57928	26.7501	10.832395	-1.9398397207260132	1.0022985935211182	465.13193	411.4699	107.324036	0.0	0.0	True
141	Gene_142	180.08672	3.1861567	7.181998	0.468482	443.34763	11.848746	9.572197	-0.23910526931285858	5.088440895080566	87.68318	43.58383	88.1987	0.0	0.0	True
232	Gene_233	154.89308	4.4567018	7.2608314	0.017619107	440.30795	15.412865	9.809106	-0.5248347520828247	3.1689507961273193	399.67157	361.17926	76.98462	0.0	0.0	True
247	Gene_248	498.48218	3.3333995	6.323711	0.3462005	578.9839	12.209219	8.423415	-0.10698895156383514	4.098794937133789	297.35324	260.7456	73.21527	0.0	0.0	True
288	Gene_289	99.86039	4.3701215	6.9343204	0.15379827	540.87415	13.6766205	9.073027	-0.23731392621994019	3.090275526046753	434.74133	397.65366	74.175354	0.0	0.0	True
296	Gene_297	83.43262	3.4917834	6.527237	0.4502485	587.5382	13.427452	8.691677	-0.017373118549585342	4.439004421234131	242.72986	198.07497	89.309784	0.0	0.0	True
299	Gene_300	307.47052	3.4356215	7.4841475	-1.2305747	468.89783	19.438166	10.52053	-1.650168538093567	3.4978015422821045	286.93716	228.12569	117.622955	0.0	0.0	True
325	Gene_326	104.30634	4.298934	7.354151	-0.25934762	385.33203	17.12525	9.934949	-0.6708343029022217	3.197150707244873	414.2486	365.527	97.44318	0.0	0.0	True
343	Gene_344	122.385124	3.9423864	6.7855334	0.30325738	438.30533	13.751725	9.170027	-0.15542735159397125	3.780256986618042	322.6175	284.27036	76.694275	0.0	0.0	True
370	Gene_371	191.09576	3.6671586	7.7977133	-1.2563525	253.43831	16.06885	10.828554	-1.7358397245407104	3.1955599784851074	310.31653	259.81506	101.00293	0.0	0.0	True
410	Gene_411	306.41672	4.1460843	7.7246737	-1.4087886	208.07968	25.01601	10.797882	-1.6932140588760376	2.735478639602661	374.87738	305.8081	138.13855	0.0	0.0	True
416	Gene_417	429.41333	3.4946296	6.9543376	2.2617304	732.0718	11.188536	9.206276	1.6244077682495117	6.47311544418335	-453.6229	-492.1468	77.04779	0.0	0.0	True
306	Gene_307	81.37495	3.3837469	6.658872	0.97373295	638.6672	10.481665	8.661594	0.42001307010650635	4.938386917114258	91.16697	56.23958	69.85478	1.1102230246251565e-16	3.265361837132813e-15	True
383	Gene_384	110.55984	3.6615	7.2816367	-0.016975794	402.93967	10.736989	9.303009	-0.5578387379646301	3.7445554733276367	299.9881	265.43732	69.10156	1.1102230246251565e-16	3.265361837132813e-15	True
329	Gene_330	323.41302	3.5828204	6.3435655	2.8522718	1096.6332	11.054565	8.094324	2.229604721069336	6.297529697418213	-549.2822	-583.09424	67.62402	2.220446049250313e-16	5.8432790769745085e-15	True
396	Gene_397	262.4265	3.4510436	6.37916	2.3069744	663.4375	10.572468	8.356572	1.7200547456741333	6.138754844665527	-388.6806	-422.506	67.65082	2.220446049250313e-16	5.8432790769745085e-15	True
112	Gene_113	296.69543	3.3476455	6.50194	0.32616368	675.88446	10.371706	8.344787	-0.20608557760715485	4.213973045349121	252.82365	219.4418	66.7637	3.3306690738754696e-16	7.930164461608261e-15	True
122	Gene_123	168.1302	3.3570642	6.8825774	0.1643599	345.59888	10.684668	9.239591	-0.5094498991966248	3.8986728191375732	259.10223	225.66068	66.88312	3.3306690738754696e-16	7.930164461608261e-15	True
215	Gene_216	360.5247	4.452369	6.605241	0.8407528	659.4537	13.362755	8.597179	0.38419249653816223	3.6164042949676514	345.37997	312.26758	66.22479	4.440892098500626e-16	9.25185853854297e-15	True
257	Gene_258	304.14368	2.6386864	6.149426	1.294333	791.9778	8.715536	7.9925246	0.40811362862586975	6.145756721496582	-170.73445	-203.82373	66.17856	4.440892098500626e-16	9.25185853854297e-15	True
283	Gene_284	235.67099	2.8045793	6.3817167	1.7064232	558.34125	8.228016	8.257561	0.8721198439598083	6.355181694030762	-291.39484	-324.38013	65.97058	4.440892098500626e-16	9.25185853854297e-15	True
345	Gene_346	277.35007	4.238626	6.7839594	0.024581777	544.6253	12.489389	8.778936	-0.40383338928222656	2.8991339206695557	438.7033	406.3051	64.79639	7.771561172376096e-16	1.554312234475219e-14	True
462	Gene_463	117.44333	3.5594227	6.556913	1.0425751	471.41745	10.669429	8.5554085	0.4903748035430908	4.681727886199951	128.41452	96.02171	64.785614	8.881784197001252e-16	1.7080354225002408e-14	True
100	Gene_101	472.98865	4.9903507	7.5254917	-1.251016	427.61865	13.8024845	9.360093	-1.4929715394973755	1.6010218858718872	477.14233	445.1639	63.95685	1.2212453270876722e-15	2.2615654205327262e-14	True
65	Gene_66	123.41412	2.9393213	6.432102	1.6017934	683.7202	7.404431	7.7970552	1.011278748512268	6.021272659301758	-238.95306	-270.6615	63.41687	1.6653345369377348e-15	2.9738116731030976e-14	True
354	Gene_355	135.78662	3.4077344	6.389562	1.5797327	603.8703	9.542242	8.046548	1.0140538215637207	5.1020941734313965	11.073975	-18.89125	59.93045	9.880984919163893e-15	1.703618089511016e-13	True
131	Gene_132	261.96405	4.6087694	6.927899	-0.1024952	441.31058	12.990815	9.064918	-0.5911243557929993	2.5042672157287598	462.6217	432.93152	59.38037	1.2989609388114332e-14	2.1649348980190553e-13	True
298	Gene_299	447.23752	4.0867815	6.9798684	1.7796695	696.26514	9.860511	8.584375	1.2603527307510376	5.114180564880371	-70.30539	-99.78299	58.9552	1.609823385706477e-14	2.59648933178464e-13	True
400	Gene_401	224.8206	4.3848906	6.553275	2.039218	1083.7856	10.132981	7.9889207	1.594443917274475	4.84014368057251	-75.12239	-104.32866	58.412537	2.120525977034049e-14	3.3133218391157016e-13	True
463	Gene_464	391.6378	4.1374474	6.3626966	2.702792	1002.5457	10.079337	7.758629	2.1447396278381348	5.557129859924316	-361.73532	-390.8687	58.266785	2.2870594307278225e-14	3.4652415617088217e-13	True
