ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Gene_1	h0	shared	111.86233	4.2805047	7.570109	0.4099426
0	Gene_1	h1	0	93.481544	16.627716	10.440125	-0.10732148587703705
0	Gene_1	h1	1	93.481544	16.627716	10.440125	4.064278602600098
1	Gene_2	h0	shared	32.45364	5.9539165	8.616429	1.4181141
1	Gene_2	h1	0	300.05124	8.213195	9.62858	1.035953164100647
1	Gene_2	h1	1	300.05124	8.213195	9.62858	3.2010602951049805
2	Gene_3	h0	shared	76.40311	7.825916	9.495594	1.6017505
2	Gene_3	h1	0	229.8142	11.484467	10.641301	1.234541416168213
2	Gene_3	h1	1	229.8142	11.484467	10.641301	3.2660093307495117
3	Gene_4	h0	shared	23.390442	3.3848994	7.9575152	1.1399144
3	Gene_4	h1	0	17.681366	7.683366	9.568794	0.433804988861084
3	Gene_4	h1	1	17.681366	7.683366	9.568794	5.563756465911865
4	Gene_5	h0	shared	39.06434	9.412712	9.151916	1.1303022
4	Gene_5	h1	0	466.32318	9.339386	9.270838	1.1670266389846802
4	Gene_5	h1	1	466.32318	9.339386	9.270838	0.9128608703613281
5	Gene_6	h0	shared	241.81189	3.9671907	7.380597	0.96068066
5	Gene_6	h1	0	395.7065	11.424631	9.699871	0.44809988141059875
5	Gene_6	h1	1	395.7065	11.424631	9.699871	4.300220966339111
6	Gene_7	h0	shared	132.37347	5.7428765	8.326781	0.17534913
6	Gene_7	h1	0	554.9363	7.84552	9.086287	-0.09834813326597214
6	Gene_7	h1	1	554.9363	7.84552	9.086287	1.906704306602478
7	Gene_8	h0	shared	31.859625	4.005886	8.397605	0.57363546
7	Gene_8	h1	0	70.95581	10.441252	10.869113	-0.10561967641115189
7	Gene_8	h1	1	70.95581	10.441252	10.869113	4.406826496124268
8	Gene_9	h0	shared	32.967094	9.201446	10.111472	2.315519
8	Gene_9	h1	0	35.54447	11.856806	10.834319	2.008631706237793
8	Gene_9	h1	1	35.54447	11.856806	10.834319	3.785961627960205
9	Gene_10	h0	shared	87.31227	6.335965	8.7802725	1.9588592
9	Gene_10	h1	0	139.75574	13.613027	10.919042	1.4831533432006836
9	Gene_10	h1	1	139.75574	13.613027	10.919042	4.492228984832764
10	Gene_11	h0	shared	55.42913	3.625108	8.590789	0.924893
10	Gene_11	h1	0	55.86818	9.435826	10.978475	0.05056930333375931
10	Gene_11	h1	1	55.86818	9.435826	10.978475	5.345007419586182
11	Gene_12	h0	shared	114.21699	4.3434343	7.654599	-0.36955565
11	Gene_12	h1	0	397.55865	13.226718	10.342672	-0.8238007426261902
11	Gene_12	h1	1	397.55865	13.226718	10.342672	2.846651315689087
12	Gene_13	h0	shared	73.48102	4.906083	8.615428	0.67865914
12	Gene_13	h1	0	363.0606	8.918381	10.119707	0.19959744811058044
12	Gene_13	h1	1	363.0606	8.918381	10.119707	3.4720683097839355
13	Gene_14	h0	shared	115.88638	3.8093712	7.8039627	1.4974439
13	Gene_14	h1	0	572.7946	7.325997	9.16828	0.9869895577430725
13	Gene_14	h1	1	572.7946	7.325997	9.16828	4.952380657196045
14	Gene_15	h0	shared	47.25861	6.2940845	9.20557	0.61110085
14	Gene_15	h1	0	225.98277	9.850637	10.559423	0.24493956565856934
14	Gene_15	h1	1	225.98277	9.850637	10.559423	2.6196813583374023
15	Gene_16	h0	shared	33.81019	4.778913	8.466586	1.8003117
15	Gene_16	h1	0	18.529001	15.356459	11.32962	1.1823174953460693
15	Gene_16	h1	1	18.529001	15.356459	11.32962	5.234496116638184
16	Gene_17	h0	shared	50.986275	4.8474655	8.893173	1.438864
16	Gene_17	h1	0	64.8885	7.065254	9.965454	1.0394378900527954
16	Gene_17	h1	1	64.8885	7.065254	9.965454	3.589907169342041
17	Gene_18	h0	shared	10.195143	14.7212305	12.759569	3.9981542
17	Gene_18	h1	0	3.9091299	33.249977	11.978889	3.683823823928833
17	Gene_18	h1	1	3.9091299	33.249977	11.978889	5.9387688636779785
18	Gene_19	h0	shared	43.480183	3.966395	8.0454855	-0.020540213
18	Gene_19	h1	0	27.373198	8.758302	9.778901	-0.3804294764995575
18	Gene_19	h1	1	27.373198	8.758302	9.778901	3.703019380569458
19	Gene_20	h0	shared	230.44406	4.756994	8.268208	1.06056
19	Gene_20	h1	0	598.09045	7.809372	9.396604	0.6092501282691956
19	Gene_20	h1	1	598.09045	7.809372	9.396604	3.594960927963257
20	Gene_21	h0	shared	27.283726	3.2789211	8.634383	0.99436283
20	Gene_21	h1	0	23.347372	5.574548	9.680617	0.22870583832263947
20	Gene_21	h1	1	23.347372	5.574548	9.680617	4.950699806213379
21	Gene_22	h0	shared	152.67497	6.7786055	8.332156	1.6227883
21	Gene_22	h1	0	807.1677	7.414309	8.528895	1.4075309038162231
21	Gene_22	h1	1	807.1677	7.414309	8.528895	2.6768128871917725
22	Gene_23	h0	shared	127.116714	3.6100905	8.633394	-0.69483143
22	Gene_23	h1	0	281.07333	7.350735	10.370974	-1.366518497467041
22	Gene_23	h1	1	281.07333	7.350735	10.370974	3.19179105758667
23	Gene_24	h0	shared	17.810665	4.4275684	9.253705	2.3151596
23	Gene_24	h1	0	17.93511	7.796952	10.734247	1.9029779434204102
23	Gene_24	h1	1	17.93511	7.796952	10.734247	5.721546173095703
24	Gene_25	h0	shared	130.4123	4.3759356	8.227865	-0.04214091
24	Gene_25	h1	0	192.26036	10.6106615	10.23978	-0.46948203444480896
24	Gene_25	h1	1	192.26036	10.6106615	10.23978	3.450744867324829
25	Gene_26	h0	shared	118.60304	5.865261	8.447957	0.31903327
25	Gene_26	h1	0	403.59717	6.83792	8.75375	0.027295291423797607
25	Gene_26	h1	1	403.59717	6.83792	8.75375	1.8947219848632812
26	Gene_27	h0	shared	12.501976	3.514497	7.621404	1.891398
26	Gene_27	h1	0	6.561536	16.45176	10.209703	1.2910085916519165
26	Gene_27	h1	1	6.561536	16.45176	10.209703	6.87067174911499
