ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
317	Gene_317	11.564066	0.0	3.3865125	3.33786	11.188561	0.68740344	2.7839897	3.0177813	-1255.7905	-1413.1176	314.65405	0.0	True	0.0
333	Gene_333	340.01556	0.0	-0.8345502	2.0980825	444.3856	0.65843385	-1.0997995	2.7900121	506.45352	457.41965	98.06775	0.0	True	0.0
332	Gene_332	171.36316	0.0	0.41062716	1.01926	72.58308	0.62909615	-0.46048045	2.686984	493.59225	441.54315	104.098206	0.0	True	0.0
330	Gene_330	61.246624	0.0	4.0485244	3.0022168	64.55304	0.6641519	4.298394	3.3980005	-1600.1779	-1700.8258	201.2959	0.0	True	0.0
329	Gene_329	225.81108	0.0	1.9387642	2.6825867	357.86404	0.68465436	1.89442	3.0797844	-125.24698	-244.38535	238.27673	0.0	True	0.0
328	Gene_328	38.84819	0.0	1.1080018	2.4891183	40.803432	0.71007854	0.9660697	3.0840545	171.98831	71.42432	201.12799	0.0	True	0.0
327	Gene_327	380.1042	0.0	3.2066307	2.816383	349.02933	0.58549154	3.275504	3.0400388	-893.7466	-987.7434	187.99365	0.0	True	0.0
326	Gene_326	191.23268	0.0	1.8424166	2.4372923	168.33324	0.62591636	1.4928527	2.8876996	-28.647522	-106.68031	156.06558	0.0	True	0.0
325	Gene_325	289.53696	0.0	-1.1026326	1.3125515	318.82434	0.5311506	-1.6106098	2.047149	473.47745	437.0346	72.88568	0.0	True	0.0
324	Gene_324	54.548782	0.0	0.42906037	2.2320473	57.28807	0.6634613	0.20209794	2.5943425	405.38464	304.5297	201.7099	0.0	True	0.0
323	Gene_323	182.3079	0.0	-2.0456378	1.6851283	208.70073	0.4218924	-2.8018084	2.3473496	356.64484	338.81186	35.665955	0.0	True	0.0
322	Gene_322	246.99815	0.0	-1.0373741	1.7388881	161.49075	0.49883342	-1.3482858	2.3226802	478.4544	443.3736	70.16162	0.0	True	0.0
321	Gene_321	39.557793	0.0	0.2168289	1.0883753	40.437683	0.62578493	-0.6179099	2.2906933	523.05035	474.5386	97.0235	0.0	True	0.0
319	Gene_319	13.452141	0.0	5.665585	3.5669007	12.327447	0.5207861	5.659455	3.1253507	-3298.2056	-3404.1316	211.85205	0.0	True	0.0
318	Gene_318	321.60803	0.0	-1.3042494	1.6564357	122.414246	0.5508902	-1.7436491	2.2836764	470.67154	444.5177	52.30768	0.0	True	0.0
334	Gene_334	573.9386	0.0	2.2258365	2.105079	338.75476	0.77367556	2.1633928	3.0372643	-126.38992	-221.93765	191.09546	0.0	True	0.0
316	Gene_316	344.4229	0.0	-0.43645626	2.1910005	361.13736	0.63867825	-0.5289585	2.6948807	506.5746	440.67508	131.79901	0.0	True	0.0
315	Gene_315	369.81238	0.0	-1.5736601	2.301052	346.72046	0.5311209	-1.6814036	2.5649617	382.15024	296.404	171.4925	0.0	True	0.0
314	Gene_314	36.253418	0.0	0.0330054	2.3246045	35.728985	0.6493584	-0.17181063	2.5501893	428.7033	313.065	231.27661	0.0	True	0.0
313	Gene_313	109.744606	0.0	-2.3319902	1.3526322	32.77046	0.26191556	-3.1258256	2.0830476	274.08627	254.06064	40.05127	0.0	True	0.0
312	Gene_312	566.51996	0.0	1.3828474	2.4759002	482.49905	0.7643323	1.6711725	3.181353	142.27014	36.387238	211.76581	0.0	True	0.0
310	Gene_310	12.168905	0.0	2.6120205	1.0238273	12.111272	0.69006693	2.1167092	2.75646	-296.25186	-385.6073	178.71088	0.0	True	0.0
309	Gene_309	9.599549	0.0	2.7571583	0.9803427	10.075325	0.669311	2.183842	2.8194437	-394.05994	-465.09583	142.07178	0.0	True	0.0
308	Gene_308	40.53108	0.0	2.7275195	3.0006986	42.92918	0.6814264	2.8765378	3.2334287	-688.56696	-806.9548	236.77563	0.0	True	0.0
307	Gene_307	31.371563	0.0	2.4964995	3.0022924	30.976576	0.7421657	2.7269337	3.3077228	-581.42004	-726.3467	289.85327	0.0	True	0.0
306	Gene_306	53.77018	0.0	-1.0924503	1.5661032	52.29014	0.5397044	-1.8832712	2.4091983	421.96564	362.65063	118.630005	0.0	True	0.0
305	Gene_305	38.481525	0.0	2.8397832	2.8775117	41.16036	0.68729275	3.2911427	3.1196418	-712.94934	-838.9915	252.08435	0.0	True	0.0
302	Gene_302	15.69309	0.0	3.7032626	0.9860368	14.453637	0.7098588	3.902361	3.0414412	-1100.3723	-1174.7255	148.7063	0.0	True	0.0
301	Gene_301	14.905866	0.0	3.6474247	0.9283291	14.61917	0.66892695	3.6274137	2.9383316	-1081.0619	-1177.8562	193.58862	0.0	True	0.0
300	Gene_300	242.17642	0.0	-1.9596405	1.9429601	57.207924	0.57536626	-3.4703429	2.7888212	334.12244	262.31445	143.61597	0.0	True	0.0
351	Gene_351	10.332272	0.0	4.7823734	3.3661585	11.13689	0.6948512	4.798602	3.7017722	-2457.834	-2550.3948	185.12158	0.0	True	0.0
366	Gene_366	10.557315	0.0	3.96888	1.0653135	11.067946	0.5219059	4.20904	2.5050297	-1208.266	-1230.9863	45.440674	0.0	True	0.0
365	Gene_365	12.524038	0.0	1.431289	1.1242102	12.432778	0.66934234	0.43717667	3.0136764	221.51569	159.48155	124.06827	0.0	True	0.0
364	Gene_364	52.168514	0.0	0.88188374	2.5357795	59.74446	0.6918189	0.69467026	2.9572084	236.91351	132.72269	208.38165	0.0	True	0.0
363	Gene_363	305.50723	0.0	-0.8361359	2.3712554	243.43434	0.58612216	-1.8279737	2.594557	455.74792	342.03925	227.41736	0.0	True	0.0
362	Gene_362	23.781696	0.0	0.70699334	2.2517614	21.86944	0.65707403	0.19974057	2.7531073	342.32855	254.82837	175.00037	0.0	True	0.0
361	Gene_361	18.491663	0.0	3.3475602	1.08851	18.192892	0.68219465	3.5913832	2.9542348	-749.5752	-816.30414	133.45789	0.0	True	0.0
360	Gene_360	221.48195	0.0	-2.3557098	1.3270999	198.72389	0.40310067	-3.9517093	2.246533	266.3387	227.54181	77.59381	0.0	True	0.0
358	Gene_358	257.46268	0.0	-1.365009	1.6793587	318.8409	0.5566799	-1.6600595	2.241262	468.42377	427.4156	82.01636	0.0	True	0.0
357	Gene_357	195.32837	0.0	-0.8073534	1.3940997	228.72227	0.585992	-1.6469331	2.55105	472.4739	442.23325	60.481323	0.0	True	0.0
356	Gene_356	443.28317	0.0	0.3093138	2.840567	470.97034	0.725047	-0.20081969	3.148891	276.6136	153.82425	245.57867	0.0	True	0.0
355	Gene_355	7.8969216	0.0	3.2477038	1.1479313	7.517844	0.50835973	2.926204	2.5003974	-689.802	-721.50995	63.415894	0.0	True	0.0
354	Gene_354	99.617935	0.0	0.8802926	1.1095377	69.74893	0.7331712	0.50147784	3.2276235	302.25323	205.81699	192.8725	0.0	True	0.0
353	Gene_353	19.697319	0.0	1.0036052	0.85236984	20.19626	0.6097779	0.10589338	2.4262352	405.15277	330.68054	148.94446	0.0	True	0.0
352	Gene_352	649.50073	0.0	0.64502406	2.5385165	693.6767	0.7142809	0.3972038	2.9340465	326.24017	212.83075	226.81885	0.0	True	0.0
299	Gene_299	18.719057	0.0	2.0644763	2.4276702	18.927397	0.6919896	2.5820804	2.9210963	-186.81259	-288.56876	203.51233	0.0	True	0.0
350	Gene_350	247.3922	0.0	-2.0324316	1.6639489	176.958	0.49776238	-2.7480943	2.474593	333.68396	299.71844	67.93103	0.0	True	0.0
349	Gene_349	125.58556	0.0	-1.1448035	1.5988137	155.26741	0.6054494	-2.282749	3.0248601	404.03143	362.7877	82.48749	0.0	True	0.0
348	Gene_348	288.136	0.0	-1.3704476	1.852455	313.68423	0.51609445	-1.4590764	2.1270626	465.34283	409.70886	111.267944	0.0	True	0.0
347	Gene_347	14.8404455	0.0	3.0633707	0.95680714	14.081974	0.6833198	2.5080001	2.9800773	-589.6551	-668.2466	157.18298	0.0	True	0.0
346	Gene_346	12.16066	0.0	2.9170837	0.8052672	15.862575	0.67773765	2.742745	3.1660569	-471.19025	-526.79407	111.20764	0.0	True	0.0
345	Gene_345	15.061231	0.0	3.6606905	1.0937768	15.189884	0.6674018	3.2501798	2.8154826	-978.4703	-1039.3036	121.666626	0.0	True	0.0
343	Gene_343	13.098508	0.0	2.4372675	0.9556968	12.900761	0.7021894	2.2523308	3.0312767	-208.2585	-271.7826	127.04819	0.0	True	0.0
342	Gene_342	12.370653	0.0	4.7151656	1.1534015	12.422894	0.5371557	4.507262	2.7751453	-1946.8799	-1985.5137	77.26758	0.0	True	0.0
341	Gene_341	36.344612	0.0	0.72768056	0.8801409	39.84799	0.7117465	-0.07527598	2.635865	484.518	423.39056	122.25488	0.0	True	0.0
340	Gene_340	408.19635	0.0	0.85891855	2.1914186	395.0998	0.7145591	0.7299484	2.5652974	380.07303	274.80408	210.5379	0.0	True	0.0
339	Gene_339	371.25375	0.0	-1.6451972	2.237401	502.80478	0.5642869	-1.7707527	2.45029	447.5329	369.42535	156.21509	0.0	True	0.0
338	Gene_338	77.48112	0.0	0.13748325	0.86667156	46.338684	0.66172415	-1.1161776	2.7775016	475.35266	416.93887	116.827576	0.0	True	0.0
336	Gene_336	6.487039	0.0	5.9978013	1.5861859	6.4131923	0.46449196	6.3489575	2.5065634	-3475.0728	-3539.4294	128.71338	0.0	True	0.0
249	Gene_249	307.1448	0.0	-1.3940519	2.2066944	340.7479	0.65359193	-1.6688606	2.9048593	449.63736	389.25537	120.76398	0.0	True	0.0
266	Gene_266	182.3767	0.0	-1.7655333	0.63780993	108.438065	0.38649637	-3.2868316	2.1360483	294.90808	272.3966	45.02295	0.0	True	0.0
265	Gene_265	23.74358	0.0	1.6554836	2.8374238	23.314217	0.7117008	1.2235428	3.208247	-188.81262	-326.03735	274.44946	0.0	True	0.0
263	Gene_263	34.50134	0.0	0.8882322	1.0080657	33.838455	0.6626031	0.21954535	2.7782683	344.5865	218.43274	252.3075	0.0	True	0.0
262	Gene_262	223.28165	0.0	-0.21177149	2.384333	197.64204	0.66742516	0.064755775	2.7968373	458.77887	376.3671	164.82355	0.0	True	0.0
261	Gene_261	97.38297	0.0	1.1722028	0.88008446	87.88582	0.6441627	0.9957046	2.534408	374.03668	297.97208	152.12921	0.0	True	0.0
260	Gene_260	19.160915	0.0	2.923358	2.4889336	18.036709	0.66898674	3.0464134	2.9877682	-628.45374	-699.81854	142.72961	0.0	True	0.0
258	Gene_258	39.752388	0.0	2.1975548	0.8153226	40.09513	0.75101066	2.0263734	2.8938682	-60.745377	-184.29521	247.09967	0.0	True	0.0
257	Gene_257	105.02914	0.0	0.46201354	2.5190382	113.56286	0.7023729	0.19711874	3.0765877	337.1067	242.3281	189.55719	0.0	True	0.0
256	Gene_256	324.24066	0.0	-0.9009458	2.1763775	372.73172	0.6428752	-1.5822855	2.62742	483.86462	408.99402	149.74121	0.0	True	0.0
255	Gene_255	165.33916	0.0	-1.6831352	1.5280031	164.90846	0.52415174	-2.3425374	2.3152688	386.07068	349.6222	72.89697	0.0	True	0.0
254	Gene_254	12.841906	0.0	5.3222175	1.1863445	12.738865	0.41312563	4.9985037	2.425586	-2507.247	-2527.9143	41.334473	0.0	True	0.0
253	Gene_253	20.490978	0.0	6.4711657	3.073494	19.032738	0.541283	6.2221627	3.0486164	-3995.8635	-4066.9976	142.26807	0.0	True	0.0
252	Gene_252	132.98595	0.0	0.76448494	1.865867	147.32971	0.7089637	0.6055723	2.7401187	438.0423	389.20956	97.66547	0.0	True	0.0
250	Gene_250	16.325062	0.0	2.1687772	2.6318057	16.053827	0.6955516	2.0238147	2.9800098	-309.35727	-419.58008	220.44562	0.0	True	0.0
267	Gene_267	243.24371	0.0	-0.28450796	2.4589267	325.00052	0.67391634	-0.74526393	2.8952518	435.17468	338.2907	193.76794	0.0	True	0.0
248	Gene_248	322.85846	0.0	0.53090364	2.6586168	400.4928	0.6340335	0.41242927	2.8507755	309.14258	186.3147	245.65576	0.0	True	0.0
247	Gene_247	258.98306	0.0	-1.8434571	2.3169448	380.41354	0.517924	-2.329584	2.7232857	426.8823	375.32095	103.12268	0.0	True	0.0
246	Gene_246	187.86319	0.0	-1.9629991	2.0219524	88.99653	0.5103897	-2.4289844	2.7321064	368.56827	323.78882	89.5589	0.0	True	0.0
245	Gene_245	149.52112	0.0	-1.312921	1.7008655	165.64305	0.5413931	-1.9819369	2.5138671	445.44327	416.77716	57.332214	0.0	True	0.0
244	Gene_244	11.804942	0.0	-2.3229322	1.5341481	12.066634	0.37836295	-3.2809765	2.6135993	269.80624	252.09094	35.430603	0.0	True	0.0
243	Gene_243	10.550587	0.0	3.618452	1.0097896	10.583957	0.6304492	3.626531	2.6879737	-928.39417	-945.0303	33.272217	0.0	True	0.0
242	Gene_242	315.77008	0.0	-0.29703912	1.6482471	363.6017	0.6532495	-0.6624673	2.6517606	498.72324	440.44254	116.5614	0.0	True	0.0
