ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Gene_1	h0	shared	114.025055	5.879487	8.739476	0.2031131088733673
0	Gene_1	h1	0	281.02243	5.9220533	8.784495	0.15132993459701538
0	Gene_1	h1	1	281.02243	5.9220533	8.784495	0.4599488079547882
1	Gene_2	h0	shared	161.3809	5.3900776	7.946343	0.9776118397712708
1	Gene_2	h1	0	476.12366	5.4551005	7.9931207	0.8843896985054016
1	Gene_2	h1	1	476.12366	5.4551005	7.9931207	1.4648185968399048
2	Gene_3	h0	shared	38.96138	9.16311	9.148916	0.06914964318275452
2	Gene_3	h1	0	531.1176	9.175415	9.25616	-0.018106481060385704
2	Gene_3	h1	1	531.1176	9.175415	9.25616	0.38218843936920166
3	Gene_4	h0	shared	88.97518	9.364892	8.982866	1.0548865795135498
3	Gene_4	h1	0	425.28424	9.298212	9.005167	1.1130636930465698
3	Gene_4	h1	1	425.28424	9.298212	9.005167	0.7572522163391113
4	Gene_5	h0	shared	108.680374	8.216716	9.024251	1.1643728017807007
4	Gene_5	h1	0	313.07486	8.194634	9.06565	1.185552716255188
4	Gene_5	h1	1	313.07486	8.194634	9.06565	1.0525212287902832
5	Gene_6	h0	shared	58.895412	7.7337875	8.661436	0.7591344714164734
5	Gene_6	h1	0	231.4782	8.9995165	9.153771	0.5584194660186768
5	Gene_6	h1	1	231.4782	8.9995165	9.153771	1.7434790134429932
6	Gene_7	h0	shared	27.46441	16.480871	10.452803	-0.039210278540849686
6	Gene_7	h1	0	141.84221	15.883301	10.5480175	-0.121820829808712
6	Gene_7	h1	1	141.84221	15.883301	10.5480175	0.1717994213104248
7	Gene_8	h0	shared	174.3316	19.728765	10.177284	-1.3386402130126953
7	Gene_8	h1	0	182.76163	23.291592	10.219587	-1.4822430610656738
7	Gene_8	h1	1	182.76163	23.291592	10.219587	-0.4277404844760895
8	Gene_9	h0	shared	25.75921	13.515008	11.043021	0.5759769082069397
8	Gene_9	h1	0	31.8872	13.841704	11.170349	0.476178377866745
8	Gene_9	h1	1	31.8872	13.841704	11.170349	1.0141618251800537
9	Gene_10	h0	shared	29.908297	13.030394	10.194942	-0.15642614662647247
9	Gene_10	h1	0	154.92758	12.80352	10.321525	-0.23462118208408356
9	Gene_10	h1	1	154.92758	12.80352	10.321525	0.04245796799659729
10	Gene_11	h0	shared	43.81445	8.574175	9.953569	2.0059213638305664
10	Gene_11	h1	0	400.31467	9.017652	10.297549	2.1260695457458496
10	Gene_11	h1	1	400.31467	9.017652	10.297549	1.3972973823547363
11	Gene_12	h0	shared	54.555977	5.808286	8.882763	1.3935545682907104
11	Gene_12	h1	0	251.03522	6.032564	9.111921	1.2829159498214722
11	Gene_12	h1	1	251.03522	6.032564	9.111921	1.9394197463989258
12	Gene_13	h0	shared	46.642365	5.8962307	9.194204	-0.5292577147483826
12	Gene_13	h1	0	37.704613	6.108588	9.192698	-0.6799181699752808
12	Gene_13	h1	1	37.704613	6.108588	9.192698	0.279013067483902
13	Gene_14	h0	shared	64.163994	5.374975	8.660982	1.2853031158447266
13	Gene_14	h1	0	531.0753	5.614151	8.802686	1.0831542015075684
13	Gene_14	h1	1	531.0753	5.614151	8.802686	2.2843117713928223
14	Gene_15	h0	shared	221.33698	6.6315928	8.356873	-0.008849570527672768
14	Gene_15	h1	0	378.20673	8.632557	8.986417	-0.25961458683013916
14	Gene_15	h1	1	378.20673	8.632557	8.986417	1.462256908416748
15	Gene_16	h0	shared	48.43901	13.2323675	9.737527	0.03001372143626213
15	Gene_16	h1	0	168.90588	13.368714	9.806926	-0.08008310943841934
15	Gene_16	h1	1	168.90588	13.368714	9.806926	0.4823596477508545
16	Gene_17	h0	shared	101.49324	5.9889164	8.557837	0.04918960481882095
16	Gene_17	h1	0	496.99808	7.2689347	8.94658	-0.27550414204597473
16	Gene_17	h1	1	496.99808	7.2689347	8.94658	1.7119213342666626
17	Gene_18	h0	shared	70.87604	6.661331	8.531276	1.7993578910827637
17	Gene_18	h1	0	309.72015	6.68704	8.6285095	1.833573579788208
17	Gene_18	h1	1	309.72015	6.68704	8.6285095	1.6051393747329712
18	Gene_19	h0	shared	70.75647	6.870243	9.131026	0.02834203839302063
18	Gene_19	h1	0	292.00616	8.773192	9.863017	-0.2752818465232849
18	Gene_19	h1	1	292.00616	8.773192	9.863017	1.332362413406372
19	Gene_20	h0	shared	125.451256	6.583493	9.184575	1.4238137006759644
19	Gene_20	h1	0	481.13916	6.436212	9.133502	1.3484658002853394
19	Gene_20	h1	1	481.13916	6.436212	9.133502	1.788336157798767
20	Gene_21	h0	shared	97.137085	8.005758	9.506691	0.2055157572031021
20	Gene_21	h1	0	361.66434	7.9507065	9.50778	0.14743904769420624
20	Gene_21	h1	1	361.66434	7.9507065	9.50778	0.42522361874580383
21	Gene_22	h0	shared	55.25578	10.585402	9.822697	0.8774820566177368
21	Gene_22	h1	0	298.74695	10.524418	9.856818	0.7689474821090698
21	Gene_22	h1	1	298.74695	10.524418	9.856818	1.3326562643051147
22	Gene_23	h0	shared	92.745125	11.291703	10.022178	-0.6825270056724548
22	Gene_23	h1	0	195.67888	11.157158	10.001961	-0.7005597949028015
22	Gene_23	h1	1	195.67888	11.157158	10.001961	-0.6134068369865417
23	Gene_24	h0	shared	281.79492	5.5536747	8.962459	-0.20760735869407654
23	Gene_24	h1	0	375.03848	5.566834	8.971381	-0.1912459433078766
23	Gene_24	h1	1	375.03848	5.566834	8.971381	-0.29286253452301025
24	Gene_25	h0	shared	49.835106	6.821657	9.109746	1.6107349395751953
24	Gene_25	h1	0	308.95724	6.932636	9.295412	1.5701332092285156
24	Gene_25	h1	1	308.95724	6.932636	9.295412	1.752767562866211
25	Gene_26	h0	shared	353.98282	6.1697917	8.263254	-0.3688240051269531
25	Gene_26	h1	0	432.38376	6.6589675	8.434592	-0.4747597575187683
25	Gene_26	h1	1	432.38376	6.6589675	8.434592	0.3295580744743347
26	Gene_27	h0	shared	64.36128	4.105065	8.072469	2.79524564743042
26	Gene_27	h1	0	316.43994	4.63343	8.343128	2.4142980575561523
26	Gene_27	h1	1	316.43994	4.63343	8.343128	4.817503929138184
27	Gene_28	h0	shared	29.548	11.872284	11.600443	1.474583387374878
27	Gene_28	h1	0	28.057379	15.301033	12.377215	1.1502306461334229
27	Gene_28	h1	1	28.057379	15.301033	12.377215	2.9942855834960938
28	Gene_29	h0	shared	57.674786	6.3021464	9.004753	2.6185576915740967
28	Gene_29	h1	0	182.69359	7.025899	9.386377	2.4045467376708984
28	Gene_29	h1	1	182.69359	7.025899	9.386377	3.7056262493133545
29	Gene_30	h0	shared	80.91304	8.754123	8.339854	0.21318210661411285
29	Gene_30	h1	0	477.37076	8.71708	8.372429	0.19101805984973907
29	Gene_30	h1	1	477.37076	8.71708	8.372429	0.2745739817619324
30	Gene_31	h0	shared	79.58915	6.889712	9.750163	-1.6824300289154053
30	Gene_31	h1	0	65.38006	6.869628	9.735568	-1.715323805809021
30	Gene_31	h1	1	65.38006	6.869628	9.735568	-1.5352531671524048
31	Gene_32	h0	shared	104.98482	13.101219	10.229943	-0.7658762335777283
31	Gene_32	h1	0	197.75546	13.169251	10.213285	-0.8674473166465759
31	Gene_32	h1	1	197.75546	13.169251	10.213285	-0.3359953761100769
