ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_0	h1_theta_1	h0	h1	lrt	p	q	signif
35	Gene_36	157.1094	9.120861	7.517007	1.4088939428329468	514.80457	12.529836	8.076727	1.1646274328231812	2.6389858722686768	377.96344	365.14072	25.645447	4.1026236774488467e-07	0.00017412797823079806	True
447	Gene_448	62.460712	14.148726	8.608913	0.28348609805107117	265.7165	17.93441	9.084255	0.5373679399490356	-0.8740558624267578	585.6836	573.3712	24.624756	6.965119129231923e-07	0.00017412797823079806	True
122	Gene_123	287.41666	8.918754	7.4348116	0.9633906483650208	523.21356	12.732311	8.05667	1.2394261360168457	-0.23001599311828613	488.31335	477.69562	21.235474	4.061769997454334e-06	0.0005601523577203338	True
86	Gene_87	293.2219	6.3745074	7.2653956	0.7803740501403809	634.70984	8.646187	7.838982	1.1303086280822754	-0.7237526178359985	443.96033	433.57385	20.77295	5.170819663891102e-06	0.0005601523577203338	True
372	Gene_373	200.0479	7.96966	7.8336678	3.4660141468048096	769.8322	10.631517	8.399271	3.746755838394165	2.2097995281219482	-731.46014	-741.77	20.619751	5.601523577203338e-06	0.0005601523577203338	True
415	Gene_416	181.77379	7.9511366	7.606441	0.5888227224349976	618.6091	9.480066	7.8258467	0.30661168694496155	1.8618131875991821	515.5589	505.63608	19.845642	8.395390854287754e-06	0.0006375372869468368	True
383	Gene_384	119.70791	5.120075	6.764225	1.854632019996643	864.6013	6.669942	7.214485	1.5346474647521973	3.4867711067199707	140.4731	130.6088	19.728607	8.925522017255716e-06	0.0006375372869468368	True
183	Gene_184	216.39465	7.7337136	7.829365	0.6113826036453247	614.956	9.881299	8.293757	0.8728446364402771	-0.6880977749824524	505.22632	496.72852	16.995605	3.746643484836554e-05	0.0021756864446843675	True
312	Gene_313	310.64844	4.7886877	6.973919	0.8759669661521912	751.01746	6.607779	7.556156	0.5985682010650635	2.6487619876861572	343.78156	335.32578	16.91156	3.916235600431861e-05	0.0021756864446843675	True
223	Gene_224	295.4546	7.276696	7.7678137	0.39172807335853577	548.66003	8.3727	7.9854026	0.13889162242412567	1.5950391292572021	521.22766	513.3013	15.852783	6.846576556118755e-05	0.0034232882780593776	True
278	Gene_279	166.2747	7.016159	7.814349	2.9980671405792236	907.7456	9.01597	8.4139595	3.2627408504486084	1.7698603868484497	-464.48444	-470.94177	12.914673	0.00032601637957074825	0.014818926344124921	True
479	Gene_480	159.29964	14.125685	10.477462	-1.1535825729370117	325.1239	17.00343	10.851989	-1.323840618133545	-0.1958380490541458	509.96317	503.6001	12.726135	0.00036058090714818913	0.01502420446450788	True
