ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Gene_1	h0	shared	280.22128	5.256867	7.184062	1.4476373195648193
0	Gene_1	h1	0	668.81024	5.6402607	7.3565593	1.3193835020065308
0	Gene_1	h1	1	668.81024	5.6402607	7.3565593	2.1948347091674805
1	Gene_2	h0	shared	121.64082	5.9311557	7.844747	-0.32682016491889954
1	Gene_2	h1	0	611.668	7.0928187	8.210409	-0.5766940712928772
1	Gene_2	h1	1	611.668	7.0928187	8.210409	0.9717450737953186
2	Gene_3	h0	shared	267.48718	7.602053	7.5104523	0.39673367142677307
2	Gene_3	h1	0	546.9816	7.8745465	7.5694604	0.49111446738243103
2	Gene_3	h1	1	546.9816	7.8745465	7.5694604	-0.013336625881493092
3	Gene_4	h0	shared	295.31543	3.8830352	6.692153	0.794398307800293
3	Gene_4	h1	0	1006.8325	3.8679113	6.6917353	0.7340391874313354
3	Gene_4	h1	1	1006.8325	3.8679113	6.6917353	1.1365132331848145
4	Gene_5	h0	shared	73.53829	6.266473	7.4822984	1.6174347400665283
4	Gene_5	h1	0	898.6146	6.276569	7.5318265	1.6497303247451782
4	Gene_5	h1	1	898.6146	6.276569	7.5318265	1.423396110534668
5	Gene_6	h0	shared	176.75493	7.6917458	7.632927	1.3555376529693604
5	Gene_6	h1	0	630.8158	7.6509323	7.625399	1.3257503509521484
5	Gene_6	h1	1	630.8158	7.6509323	7.625399	1.4752120971679688
6	Gene_7	h0	shared	298.1542	5.928314	7.3807197	1.132834553718567
6	Gene_7	h1	0	608.46375	5.8898873	7.377611	1.1241809129714966
6	Gene_7	h1	1	608.46375	5.8898873	7.377611	1.173033595085144
7	Gene_8	h0	shared	215.9202	5.186398	6.7842264	1.9007595777511597
7	Gene_8	h1	0	824.8443	5.2029877	6.7983165	1.927733063697815
7	Gene_8	h1	1	824.8443	5.2029877	6.7983165	1.7553911209106445
8	Gene_9	h0	shared	167.18173	7.084705	7.8003306	0.5634182095527649
8	Gene_9	h1	0	554.19434	7.4856195	7.920809	0.6835421919822693
8	Gene_9	h1	1	554.19434	7.4856195	7.920809	-0.031181741505861282
9	Gene_10	h0	shared	426.28903	8.1707735	8.040418	2.3459436893463135
9	Gene_10	h1	0	741.409	8.231458	8.091087	2.379796028137207
9	Gene_10	h1	1	741.409	8.231458	8.091087	2.20475172996521
10	Gene_11	h0	shared	333.6444	6.083201	7.219028	1.34259831905365
10	Gene_11	h1	0	753.82745	6.0597644	7.2245893	1.3531275987625122
10	Gene_11	h1	1	753.82745	6.0597644	7.2245893	1.286087989807129
11	Gene_12	h0	shared	259.07507	4.5076046	6.6510024	0.7587405443191528
11	Gene_12	h1	0	670.87775	4.5647764	6.6712103	0.6951619982719421
11	Gene_12	h1	1	670.87775	4.5647764	6.6712103	1.1081947088241577
12	Gene_13	h0	shared	108.468575	4.2392893	6.9800177	0.5244948863983154
12	Gene_13	h1	0	523.22504	4.267635	7.0171084	0.47493287920951843
12	Gene_13	h1	1	523.22504	4.267635	7.0171084	0.7954973578453064
13	Gene_14	h0	shared	114.89246	15.109313	10.735424	-2.0256216526031494
13	Gene_14	h1	0	270.25198	14.9318695	10.738783	-2.069647789001465
13	Gene_14	h1	1	270.25198	14.9318695	10.738783	-1.8865973949432373
14	Gene_15	h0	shared	101.855896	12.1660385	8.80376	3.41387677192688
14	Gene_15	h1	0	573.3915	11.795958	8.765232	3.5209403038024902
14	Gene_15	h1	1	573.3915	11.795958	8.765232	2.921853542327881
15	Gene_16	h0	shared	260.18457	5.9953313	7.5545855	1.2332053184509277
15	Gene_16	h1	0	676.1924	6.1314187	7.6166887	1.1606881618499756
15	Gene_16	h1	1	676.1924	6.1314187	7.6166887	1.603320837020874
16	Gene_17	h0	shared	378.21213	4.523511	6.691056	0.7899488210678101
16	Gene_17	h1	0	1030.1699	4.54674	6.69057	0.8311692476272583
16	Gene_17	h1	1	1030.1699	4.54674	6.69057	0.5560563802719116
17	Gene_18	h0	shared	69.26867	12.0178	9.565119	-0.647868275642395
17	Gene_18	h1	0	338.06506	12.51649	9.710355	-0.5290385484695435
17	Gene_18	h1	1	338.06506	12.51649	9.710355	-1.206506371498108
18	Gene_19	h0	shared	292.22922	6.1800175	7.0941734	2.0843753814697266
18	Gene_19	h1	0	929.4188	6.192885	7.104518	2.0976650714874268
18	Gene_19	h1	1	929.4188	6.192885	7.104518	2.00140643119812
19	Gene_20	h0	shared	214.9061	5.306553	6.906638	2.058509588241577
19	Gene_20	h1	0	881.33417	5.2798324	6.9062085	2.0494236946105957
19	Gene_20	h1	1	881.33417	5.2798324	6.9062085	2.1044743061065674
20	Gene_21	h0	shared	317.46268	5.955456	7.5281444	0.036935191601514816
20	Gene_21	h1	0	557.0692	5.9651356	7.5377955	0.03520052880048752
20	Gene_21	h1	1	557.0692	5.9651356	7.5377955	0.01607639528810978
21	Gene_22	h0	shared	105.666794	7.5611925	8.268556	0.6755676865577698
21	Gene_22	h1	0	575.194	7.8335733	8.354565	0.7985437512397766
21	Gene_22	h1	1	575.194	7.8335733	8.354565	0.09340392053127289
22	Gene_23	h0	shared	453.38498	6.8867683	7.770053	1.0045793056488037
22	Gene_23	h1	0	854.98004	7.174359	7.8341594	0.8671881556510925
22	Gene_23	h1	1	854.98004	7.174359	7.8341594	1.6936540603637695
23	Gene_24	h0	shared	262.94772	7.9259443	7.977887	0.6880736947059631
23	Gene_24	h1	0	801.88367	7.9533815	7.971676	0.6042354106903076
23	Gene_24	h1	1	801.88367	7.9533815	7.971676	1.0697664022445679
24	Gene_25	h0	shared	67.0879	6.036085	7.528837	0.5375878214836121
24	Gene_25	h1	0	673.9822	6.088158	7.590993	0.5775049328804016
24	Gene_25	h1	1	673.9822	6.088158	7.590993	0.3078285753726959
25	Gene_26	h0	shared	426.05692	4.489957	6.7598405	2.650416374206543
25	Gene_26	h1	0	936.49304	4.979323	6.945701	2.864628314971924
25	Gene_26	h1	1	936.49304	4.979323	6.945701	1.496072769165039
26	Gene_27	h0	shared	172.40767	7.5380645	7.6412654	0.24124419689178467
26	Gene_27	h1	0	606.32025	7.4340925	7.6235747	0.21750955283641815
26	Gene_27	h1	1	606.32025	7.4340925	7.6235747	0.35589128732681274
27	Gene_28	h0	shared	85.278824	8.638235	7.9512715	1.8507319688796997
27	Gene_28	h1	0	665.7502	8.513795	7.961193	1.8343638181686401
27	Gene_28	h1	1	665.7502	8.513795	7.961193	1.89946711063385
28	Gene_29	h0	shared	486.65027	6.240691	7.1928573	1.6977683305740356
28	Gene_29	h1	0	600.2897	6.6242256	7.305084	1.5819835662841797
28	Gene_29	h1	1	600.2897	6.6242256	7.305084	2.3272037506103516
29	Gene_30	h0	shared	182.51352	5.624865	7.072177	1.1033653020858765
29	Gene_30	h1	0	855.806	5.699329	7.102339	1.1972458362579346
29	Gene_30	h1	1	855.806	5.699329	7.102339	0.6356656551361084
30	Gene_31	h0	shared	102.35177	8.654837	8.039078	-0.01488919835537672
30	Gene_31	h1	0	376.69974	8.658674	8.075091	-0.04713897407054901
30	Gene_31	h1	1	376.69974	8.658674	8.075091	0.1147909164428711
31	Gene_32	h0	shared	219.7948	6.8346276	7.791048	1.5945634841918945
31	Gene_32	h1	0	604.93896	6.830403	7.8013945	1.5945385694503784
31	Gene_32	h1	1	604.93896	6.830403	7.8013945	1.5845929384231567
32	Gene_33	h0	shared	343.27914	3.7252011	6.658289	0.27304258942604065
32	Gene_33	h1	0	829.88666	3.7131698	6.6407847	0.36530768871307373
32	Gene_33	h1	1	829.88666	3.7131698	6.6407847	-0.34195196628570557
33	Gene_34	h0	shared	213.07083	6.511923	7.4706793	0.756310224533081
33	Gene_34	h1	0	574.39575	6.396515	7.423022	0.6899460554122925
33	Gene_34	h1	1	574.39575	6.396515	7.423022	1.065779685974121
34	Gene_35	h0	shared	90.252914	10.927234	8.401964	-0.10365508496761322
34	Gene_35	h1	0	467.64496	11.088048	8.439409	0.007192011922597885
34	Gene_35	h1	1	467.64496	11.088048	8.439409	-0.6413440704345703
35	Gene_36	h0	shared	157.1094	9.120861	7.517007	1.4088939428329468
35	Gene_36	h1	0	514.80457	12.529836	8.076727	1.1646274328231812
35	Gene_36	h1	1	514.80457	12.529836	8.076727	2.6389858722686768
36	Gene_37	h0	shared	190.59627	7.5785	7.9091754	3.0643913745880127
36	Gene_37	h1	0	592.139	8.219824	8.046593	3.2666540145874023
36	Gene_37	h1	1	592.139	8.219824	8.046593	2.123298168182373
37	Gene_38	h0	shared	157.7587	5.160522	7.1973023	0.6501706838607788
37	Gene_38	h1	0	630.9935	5.1507883	7.207146	0.6598049402236938
37	Gene_38	h1	1	630.9935	5.1507883	7.207146	0.5976750254631042
38	Gene_39	h0	shared	434.246	10.134577	9.21666	-0.829257607460022
38	Gene_39	h1	0	405.22913	10.322808	9.27834	-0.7834218740463257
38	Gene_39	h1	1	405.22913	10.322808	9.27834	-1.0359936952590942
39	Gene_40	h0	shared	183.93202	8.7148485	8.058107	1.8272666931152344
39	Gene_40	h1	0	749.7144	8.721733	8.08611	1.7837942838668823
39	Gene_40	h1	1	749.7144	8.721733	8.08611	2.028050184249878
40	Gene_41	h0	shared	195.85811	9.290884	8.529019	-0.26588174700737
40	Gene_41	h1	0	416.3775	9.124449	8.493573	-0.3136664927005768
40	Gene_41	h1	1	416.3775	9.124449	8.493573	-0.09369292855262756
41	Gene_42	h0	shared	87.168	6.69392	7.5522027	0.6436267495155334
41	Gene_42	h1	0	636.7423	6.765512	7.6114182	0.6106747984886169
41	Gene_42	h1	1	636.7423	6.765512	7.6114182	0.8058054447174072
42	Gene_43	h0	shared	204.03542	4.9935203	7.0612974	0.8996109366416931
42	Gene_43	h1	0	731.0671	5.030524	7.0675263	0.9927826523780823
42	Gene_43	h1	1	731.0671	5.030524	7.0675263	0.40818631649017334
43	Gene_44	h0	shared	212.78168	3.9757273	6.766808	1.2281471490859985
43	Gene_44	h1	0	802.54584	3.9759219	6.7765784	1.244343638420105
43	Gene_44	h1	1	802.54584	3.9759219	6.7765784	1.1309621334075928
44	Gene_45	h0	shared	380.41043	7.4702673	7.6378984	-0.24523839354515076
44	Gene_45	h1	0	545.84485	8.105928	7.818689	-0.1330733597278595
44	Gene_45	h1	1	545.84485	8.105928	7.818689	-0.8044058084487915
45	Gene_46	h0	shared	406.58438	3.6531818	6.7448435	2.187371015548706
45	Gene_46	h1	0	671.8439	3.6671638	6.7652245	2.117140054702759
45	Gene_46	h1	1	671.8439	3.6671638	6.7652245	2.629014015197754
46	Gene_47	h0	shared	139.82993	5.369537	6.9530745	2.614560127258301
46	Gene_47	h1	0	778.8053	5.2892427	6.9358644	2.6414682865142822
46	Gene_47	h1	1	778.8053	5.2892427	6.9358644	2.4562408924102783
47	Gene_48	h0	shared	217.79993	7.006204	7.7564125	-0.003189596114680171
47	Gene_48	h1	0	621.67554	7.069053	7.796904	-0.02238272689282894
47	Gene_48	h1	1	621.67554	7.069053	7.796904	0.08019654452800751
48	Gene_49	h0	shared	148.29828	7.2161026	8.372948	0.15036609768867493
