ID	gene	hypothesis	regime	r	alpha	sigma	theta
0	Gene_1	h0	shared	281.93796	4.026382	6.664482	1.3334357738494873
0	Gene_1	h1	0	1041.2814	5.4511995	6.9002156	0.8318792581558228
0	Gene_1	h1	1	1041.2814	5.4511995	6.9002156	3.973243236541748
1	Gene_2	h0	shared	168.22475	5.8589883	7.2212353	2.4800398349761963
1	Gene_2	h1	0	770.4146	5.9458528	7.258347	2.3721821308135986
1	Gene_2	h1	1	770.4146	5.9458528	7.258347	3.030634641647339
2	Gene_3	h0	shared	179.10052	5.7461305	7.0474524	0.7442969083786011
2	Gene_3	h1	0	1096.6332	5.8631077	7.072469	0.608654797077179
2	Gene_3	h1	1	1096.6332	5.8631077	7.072469	1.441696047782898
3	Gene_4	h0	shared	68.72257	4.7514286	7.108482	1.6068501472473145
3	Gene_4	h1	0	446.6625	4.869725	7.0958652	1.3267626762390137
3	Gene_4	h1	1	446.6625	4.869725	7.0958652	3.1291840076446533
4	Gene_5	h0	shared	312.54968	4.412927	7.1216946	1.083254337310791
4	Gene_5	h1	0	747.64417	4.6768193	7.0252	0.6943086385726929
4	Gene_5	h1	1	747.64417	4.6768193	7.0252	3.241438388824463
5	Gene_6	h0	shared	638.8911	3.9379506	6.5238156	1.3802071809768677
5	Gene_6	h1	0	1096.6332	3.8196313	6.4459424	1.2630956172943115
5	Gene_6	h1	1	1096.6332	3.8196313	6.4459424	2.0888657569885254
6	Gene_7	h0	shared	161.16043	8.4394865	7.9687185	2.56769061088562
6	Gene_7	h1	0	654.4397	10.463819	8.323697	2.2909510135650635
6	Gene_7	h1	1	654.4397	10.463819	8.323697	3.8875062465667725
7	Gene_8	h0	shared	424.4953	5.700345	7.645931	0.2348758429288864
7	Gene_8	h1	0	775.15814	6.554591	7.7757893	-0.07688234746456146
7	Gene_8	h1	1	775.15814	6.554591	7.7757893	1.8569422960281372
8	Gene_9	h0	shared	300.0408	5.5191846	7.1885724	0.07152552157640457
8	Gene_9	h1	0	784.14703	6.232816	7.3110657	-0.24906441569328308
8	Gene_9	h1	1	784.14703	6.232816	7.3110657	1.5816340446472168
9	Gene_10	h0	shared	559.95135	4.662956	7.1529922	2.3235220909118652
9	Gene_10	h1	0	892.24243	5.325323	7.3098307	2.0317020416259766
9	Gene_10	h1	1	892.24243	5.325323	7.3098307	4.129967212677002
