ID	gene	h0_r	h0_lambda	h0_mu	h0_sigma	h1_r	h1_lambda	h1_mu	h1_sigma	h0	h1	lr	p	signif	q
326	Gene_326	354.2329	0.0	-0.18721342	1.972424	646.9426	0.57938695	-0.22753651	2.3785377	539.5941	500.97296	77.24231	0.0	True	0.0
341	Gene_341	129.2321	0.0	-0.7236646	1.2059208	133.49817	0.40081292	-1.3118483	1.9366723	504.28754	484.39087	39.793335	0.0	True	0.0
340	Gene_340	109.88583	0.0	0.89348876	1.8969814	101.1907	0.5430219	0.67299575	2.3396478	415.62067	376.88538	77.47058	0.0	True	0.0
339	Gene_339	310.11813	0.0	0.9139441	2.1680872	300.92972	0.61180466	1.0889491	2.611746	373.94598	317.1325	113.62695	0.0	True	0.0
338	Gene_338	450.25116	0.0	0.6776666	2.0319326	919.526	0.66677445	0.44896275	2.5588706	438.22736	363.05652	150.34167	0.0	True	0.0
337	Gene_337	84.66991	0.0	1.4659868	0.6207455	85.23309	0.58236444	1.1256639	2.3471856	370.60587	320.60217	100.007385	0.0	True	0.0
336	Gene_336	34.842487	0.0	1.9266405	0.8452057	34.792656	0.653147	1.5289958	2.5675874	183.23296	150.04158	66.38275	0.0	True	0.0
335	Gene_335	125.99295	0.0	-0.7402329	1.3663352	97.43593	0.5410293	-1.0916811	2.026515	508.1645	472.92468	70.479614	0.0	True	0.0
334	Gene_334	454.38467	0.0	1.2701216	1.8598459	466.24023	0.6143861	1.2290249	2.3267212	380.04486	343.53696	73.01581	0.0	True	0.0
333	Gene_333	23.076027	0.0	2.4513805	0.6875715	23.433079	0.6985109	1.898955	3.080655	-157.9607	-218.1954	120.46942	0.0	True	0.0
332	Gene_332	168.4095	0.0	0.026340703	2.2141821	153.15279	0.61552715	-0.18807851	2.65168	475.70715	420.37628	110.66174	0.0	True	0.0
331	Gene_331	182.05426	0.0	-0.31109533	1.9147441	108.23784	0.547611	-0.7213987	2.2692122	515.4407	441.8171	147.24713	0.0	True	0.0
330	Gene_330	436.69858	0.0	0.10881038	2.0133653	393.5495	0.71931547	-0.10134687	2.662698	520.06464	470.3174	99.494446	0.0	True	0.0
329	Gene_329	32.93774	0.0	2.4255054	2.1435978	33.410896	0.65914947	2.1971614	2.7079058	-226.0138	-302.81573	153.60388	0.0	True	0.0
328	Gene_328	165.24695	0.0	1.3621845	2.07093	196.68433	0.5776926	1.1318946	2.5497885	258.4211	206.40906	104.02411	0.0	True	0.0
327	Gene_327	26.702728	0.0	0.6687129	0.8181505	26.955345	0.6648712	0.0975329	2.618695	443.60623	369.77356	147.66534	0.0	True	0.0
342	Gene_342	58.04415	0.0	0.05860702	1.2845124	59.894352	0.61249477	-0.26683235	2.4345458	520.66705	478.60806	84.11798	0.0	True	0.0
325	Gene_325	185.36676	0.0	2.170181	2.550385	167.7807	0.5809119	1.9157538	2.9248018	-199.61044	-261.4491	123.67731	0.0	True	0.0
324	Gene_324	155.15358	0.0	-0.3984362	1.3140138	165.76505	0.57081586	-1.0630126	2.3836038	511.45367	477.46103	67.98529	0.0	True	0.0
323	Gene_323	400.25586	0.0	-1.376379	1.8181157	278.7334	0.45399043	-1.7781782	2.1104784	479.4162	445.53235	67.7677	0.0	True	0.0
322	Gene_322	115.54847	0.0	1.3745049	0.9449673	70.65536	0.6424968	0.98597133	2.4975843	341.73535	275.7409	131.98889	0.0	True	0.0
321	Gene_321	337.19345	0.0	1.9676487	2.0164752	271.31088	0.49948126	2.0705276	2.4005344	58.57544	12.560684	92.02951	0.0	True	0.0
320	Gene_320	113.681305	0.0	0.73852265	1.9937377	98.13572	0.5361357	0.48353875	2.426272	431.42148	389.5932	83.656555	0.0	True	0.0
319	Gene_319	218.40604	0.0	1.5139583	1.9803469	190.07431	0.58099484	1.6237662	2.3300288	242.97876	176.75098	132.45557	0.0	True	0.0
318	Gene_318	73.3274	0.0	2.7074897	0.8170695	74.01254	0.6410775	2.3277268	2.5978985	-210.38596	-267.97775	115.18359	0.0	True	0.0
317	Gene_317	8.485927	0.0	2.41195	0.741471	10.276606	0.5632429	1.9559097	2.70225	-117.516205	-147.39792	59.763428	0.0	True	0.0
316	Gene_316	192.26735	0.0	0.53626907	1.878613	142.17558	0.5311585	0.43651313	2.2585835	486.3261	446.55646	79.53931	0.0	True	0.0
315	Gene_315	30.989048	0.0	2.2482407	0.9943969	34.12951	0.7021343	1.549207	2.9426658	-23.096748	-93.35986	140.52623	0.0	True	0.0
313	Gene_313	26.938492	0.0	3.1689968	1.005874	27.224932	0.5550246	2.6255212	2.511702	-595.26215	-680.3944	170.26453	0.0	True	0.0
312	Gene_312	20.732792	0.0	2.045683	0.88393575	20.20544	0.60172594	1.6787539	2.4317963	125.47667	79.41379	92.12576	0.0	True	0.0
311	Gene_311	74.89443	0.0	0.06613462	1.3677056	70.121086	0.6987698	-0.6892666	2.8852203	487.6147	444.3925	86.4444	0.0	True	0.0
358	Gene_358	227.23991	0.0	0.039922915	2.1559014	229.6537	0.63264114	-0.083682686	2.6650069	470.87473	397.79584	146.15778	0.0	True	0.0
373	Gene_373	16.722443	0.0	1.9633354	2.5158677	16.886545	0.6339282	1.7905147	2.6594124	-124.80832	-227.72417	205.8317	0.0	True	0.0
372	Gene_372	220.63467	0.0	1.3544414	2.1137025	233.0631	0.6404747	1.2154169	2.7474036	271.13327	229.15112	83.964294	0.0	True	0.0
371	Gene_371	157.10258	0.0	0.9542805	2.068623	179.41791	0.5858001	0.89781725	2.4613225	373.96924	315.06573	117.80701	0.0	True	0.0
370	Gene_370	65.74489	0.0	2.2618659	0.7088998	54.684887	0.694406	1.9678197	2.6670892	40.871628	-13.694626	109.13251	0.0	True	0.0
369	Gene_369	113.30929	0.0	0.882113	1.1033596	112.502426	0.7211956	0.40134978	2.6529188	462.28976	405.59174	113.39606	0.0	True	0.0
368	Gene_368	13.905377	0.0	1.8286575	0.8795407	14.157844	0.5886308	1.3511678	2.5507224	165.00252	121.72493	86.555176	0.0	True	0.0
367	Gene_367	371.13626	0.0	-0.23307319	1.8985118	448.47165	0.6450618	-0.4795401	2.5034044	548.963	500.4148	97.096436	0.0	True	0.0
366	Gene_366	97.170296	0.0	1.2058395	1.9490603	94.725655	0.5220308	1.1316638	2.2923892	347.12692	301.98782	90.2782	0.0	True	0.0
365	Gene_365	425.2005	0.0	1.318599	1.7488786	314.26797	0.5908677	1.0934907	2.245197	354.66455	307.42944	94.470215	0.0	True	0.0
364	Gene_364	268.84775	0.0	1.2794405	0.73403674	182.5702	0.599304	0.6647139	2.313229	429.4072	393.27112	72.272156	0.0	True	0.0
