node,node2,regime
c5101,c5201,0
c5101,c5013,0
c5101,c5519,0
c5101,c5465,0
c5101,c5141,0
c5101,c5025,1
c5101,c5102,1
c5101,,1
c5102,,1
c5025,c5061,1
c5025,c5231,1
c5025,c5375,1
c5025,c5026,1
c5025,,1
c5026,,1
c5375,c5387,1
c5375,c5376,1
c5375,,1
c5376,,1
c5387,c5388,1
c5387,,1
c5388,,1
c5231,c5315,1
c5231,c5232,1
c5231,,1
c5232,,1
c5315,c5316,1
c5315,,1
c5316,,1
c5061,c4899,1
c5061,c5179,1
c5061,c5062,1
c5061,,1
c5062,,1
c5179,c5113,1
c5179,c5180,1
c5179,,1
c5180,,1
c5113,c5087,1
c5113,c5114,1
c5113,,1
c5114,,1
c5087,c5088,1
c5087,,1
c5088,,1
c4899,c4931,1
c4899,c4900,1
c4899,,1
c4900,,1
c4931,c4932,1
c4931,,1
c4932,,1
c5141,c5313,0
c5141,c5293,0
c5141,c4997,0
c5141,c5391,0
c5141,c5142,0
c5141,,0
c5142,,0
c5391,c5392,0
c5391,,0
c5392,,0
c4997,c4998,0
c4997,,0
c4998,,0
c5293,c5527,0
c5293,c5294,0
c5293,,0
c5294,,0
c5527,c5121,0
c5527,c5463,0
c5527,c5535,0
c5527,c5521,0
c5527,c5528,0
c5527,,0
c5528,,0
c5521,c5522,0
c5521,,0
c5522,,0
c5535,c5536,0
c5535,,0
c5536,,0
c5463,c5464,0
c5463,,0
c5464,,0
c5121,c5149,0
c5121,c5037,0
c5121,c5122,0
c5121,,0
c5122,,0
c5037,c5038,0
c5037,,0
c5038,,0
c5149,c5150,0
c5149,,0
c5150,,0
c5313,c4965,0
c5313,c5225,0
c5313,c5411,0
c5313,c5314,0
c5313,,0
c5314,,0
c5411,c5412,0
c5411,,0
c5412,,0
c5225,c5111,0
c5225,c5226,0
c5225,,0
c5226,,0
c5111,c5112,0
c5111,,0
c5112,,0
c4965,c4977,0
c4965,c4966,0
c4965,,0
c4966,,0
c4977,c4978,0
c4977,,0
c4978,,0
c5465,c5483,0
c5465,c5459,0
c5465,c5449,0
c5465,c5466,0
c5465,,0
c5466,,0
c5449,c5450,0
c5449,,0
c5450,,0
c5459,c5523,0
c5459,c5467,0
c5459,c5460,0
c5459,,0
c5460,,0
c5467,c5468,0
c5467,,0
c5468,,0
c5523,c5531,0
c5523,c5524,0
c5523,,0
c5524,,0
c5531,c5532,0
c5531,,0
c5532,,0
c5483,c5433,0
c5483,c5484,0
c5483,,0
c5484,,0
c5433,c5451,0
c5433,c5517,0
c5433,c5434,0
c5433,,0
c5434,,0
c5517,c5469,0
c5517,c5518,0
c5517,,0
c5518,,0
c5469,c5470,0
c5469,,0
c5470,,0
c5451,c5435,0
c5451,c5471,0
c5451,c5452,0
c5451,,0
c5452,,0
c5471,c5472,0
c5471,,0
c5472,,0
c5435,c5515,0
c5435,c5511,0
c5435,c5436,0
c5435,,0
c5436,,0
c5511,c5512,0
c5511,,0
c5512,,0
c5515,c5445,0
c5515,c5516,0
c5515,,0
c5516,,0
c5445,c5446,0
c5445,,0
c5446,,0
c5519,c5413,0
c5519,c5063,0
c5519,c5495,0
c5519,c5520,0
c5519,,0
c5520,,0
c5495,c5447,0
c5495,c5507,0
c5495,c5503,0
c5495,c5489,0
c5495,c5496,0
c5495,,0
c5496,,0
c5489,c5421,0
c5489,c5490,0
c5489,,0
c5490,,0
c5421,c5422,0
c5421,,0
c5422,,0
c5503,c5497,0
c5503,c5504,0
c5503,,0
c5504,,0
c5497,c5458,0
c5497,c5498,0
c5497,,0
c5498,,0
c5458,,0
c5507,c5508,0
c5507,,0
c5508,,0
c5447,c5453,0
c5447,c5448,0
c5447,,0
c5448,,0
c5453,c5425,0
c5453,c5454,0
c5453,,0
c5454,,0
c5425,c5426,0
c5425,,0
c5426,,0
c5063,c5123,0
c5063,c5139,0
c5063,c5407,0
c5063,c5064,0
c5063,,0
c5064,,0
c5407,c5408,0
c5407,,0
c5408,,0
c5139,c4957,0
c5139,c5140,0
c5139,,0
c5140,,0
c4957,c4958,0
c4957,,0
c4958,,0
c5123,c5043,0
c5123,c5124,0
c5123,,0
c5124,,0
c5043,c5044,0
c5043,,0
c5044,,0
c5413,c5505,0
c5413,c5049,0
c5413,c5337,0
c5413,c4941,0
c5413,c5269,1
c5413,c5147,1
c5413,c5251,1
c5413,c5175,1
c5413,c5414,1
c5413,,1
c5414,,1
c5175,c5176,1
c5175,,1
c5176,,1
c5251,c5361,1
c5251,c5252,1
c5251,,1
c5252,,1
c5361,c5362,1
c5361,,1
c5362,,1
c5147,c4905,1
c5147,c5197,1
c5147,c5148,1
c5147,,1
c5148,,1
c5197,c4897,1
c5197,c5198,1
c5197,,1
c5198,,1
c4897,c4898,1
c4897,,1
c4898,,1
c4905,c4895,1
c4905,c4906,1
c4905,,1
c4906,,1
c4895,c4896,1
c4895,,1
c4896,,1
c5269,c4967,1
c5269,c4945,1
c5269,c5270,1
c5269,,1
c5270,,1
c4945,c4946,1
c4945,,1
c4946,,1
c4967,c4968,1
c4967,,1
c4968,,1
c4941,c5349,0
c4941,c5151,0
c4941,c4942,0
c4941,,0
c4942,,0
c5151,c5263,0
c5151,c4923,0
c5151,c5152,0
c5151,,0
c5152,,0
c4923,c4924,0
c4923,,0
c4924,,0
c5263,c5157,0
c5263,c5264,0
c5263,,0
c5264,,0
c5157,c5158,0
c5157,,0
