node_name	is_leaf	sim_expr	read_count
c0	False	0.9098217560177337	
c6	False	0.7793195995121894	
c46	False	0.689011263641098	
c56	False	-0.10092852084963078	
c70	False	1.0564382735417894	
c90	False	1.476608476997127	
c108	False	1.582618185282262	
c168	False	1.6073085632253221	
c447	False	1.7488128005534513	
c1124	False	2.726869306495167	
c3218	False	1.6544512387938475	
c3729	False	1.9876315520747574	
c4393	False	1.800098535897573	
c5357	True	1.9020945272529688	3.0
c5358	True	1.672013314107047	0.0
c4394	False	1.4880524018281152	
c5127	True	1.9304490639357024	3.0
c5128	True	0.9466226981483625	0.0
c3730	False	1.1664797907119548	
c4429	False	1.0613235189864474	
c5159	True	1.1664757268426407	1.0
c5160	True	1.6693778361270761	0.0
c4430	False	1.4476326932814954	
c5185	True	1.3462630743626705	1.0
c5186	True	1.8066539402490376	2.0
c1907	False	2.2383265779542585	
c3863	False	0.6427089274101032	
c4647	False	0.47494337034527656	
c5355	True	0.7829298192436083	0.0
c5356	True	0.6262600977243943	0.0
c4648	False	1.062370560979693	
c4985	True	1.1950378046638122	0.0
c4986	True	1.3296600940258982	0.0
c2829	False	2.078373514821828	
c4340	False	1.835857323029878	
c5289	True	2.3259013908852406	1.0
c5290	True	2.386359547822298	2.0
c4322	False	1.592030444688519	
c5325	True	1.4181433293152885	4.0
c5326	True	1.1999828500795064	1.0
c648	False	1.9464991950160282	
c3433	False	0.8297392066193593	
c4530	False	0.7493962921665366	
c5055	True	1.4360946512200157	0.0
c5056	True	0.604435962189773	3.0
c4186	False	1.3748275727346262	
c5133	True	2.1034404540958493	1.0
c5134	True	2.065058764274473	1.0
c4326	False	3.7229356327929537	
c5115	True	3.5065861633787163	2.0
c5116	True	4.121197218347649	11.0
c1348	False	0.08360442443844307	
c1506	False	0.11532230520749312	
c2652	False	-0.15122354706409596	
c3193	False	-0.26324780347330257	
c4492	False	0.14335865043533463	
c5371	True	1.4378352251722433	1.0
c5372	True	1.142164724990937	2.0
c4631	False	-1.2053797626562108	
c4999	True	0.1770426984168724	1.0
c5000	True	0.3011307162210213	0.0
c3692	False	-0.7966654634160917	
c4335	False	-0.20440800137439863	
c4907	True	0.5333067843563928	1.0
c4908	True	0.4764105211239654	0.0
c4336	False	-0.7948365978167877	
c4981	True	0.4166026770240958	2.0
c4982	True	0.471397882996147	1.0
c3952	False	0.24983991264236127	
c4615	False	-0.05080615362568991	
c5317	True	0.49800308747842487	0.0
c5318	True	0.6667640953162283	0.0
c4616	False	0.230864766924056	
c5011	True	1.1629101091643679	3.0
c5012	True	0.7285025459689687	2.0
c3098	False	1.432992685703284	
c4362	False	0.6282757316223551	
c5341	True	0.9710747426897688	0.0
c5342	True	1.4913321440178615	2.0
c4611	False	1.6369895173448232	
c5217	True	1.2744304815442418	2.0
c5218	True	2.006296300690603	1.0
c140	False	0.6932342946231771	
c1314	False	0.7946752922262909	
c2837	False	0.001135580725189267	
c3896	False	1.626679903680557	
c4499	False	1.5884322604591488	
c4971	True	1.3737662486302697	4.0
c4972	True	1.578280729585294	2.0
c4500	False	1.78680195545822	
c4979	True	1.7474943727292647	1.0
c4980	True	2.4075991904752	3.0
c4292	False	1.438313558586187	
c5249	True	1.8398570363367739	2.0
c5250	True	1.4886517889344084	2.0
c4578	False	0.83193966794735	
c5027	True	1.511621290695627	2.0
c5028	True	1.071249667950303	1.0
c2671	False	2.4165091137526753	
c3934	False	2.4636143054552258	
c4645	False	1.4576336986998477	
c5359	True	1.4044719730663384	1.0
c5360	True	1.5490893795915994	0.0
c4646	False	2.524758342750024	
c5347	True	3.3871695689521846	1.0
c5348	True	3.084859584371547	1.0
c3787	False	2.4376765155811504	
c4279	False	2.3761315759268777	
c5153	True	2.4716818122002	3.0
c5154	True	3.7723848258889245	2.0
c4280	False	2.1937411700597056	
c5007	True	2.083418289865882	2.0
c5008	True	2.7411371988769027	4.0
c129	False	1.2499387205854946	
c157	False	2.20329459565894	
c203	False	2.4337815385024193	
c294	False	2.64467448123923	
c1228	False	5.658147512373732	
c1516	False	5.98714378981378	
c3416	False	6.028067036790354	
c3809	False	5.665612636701473	
c4465	False	5.307718896874411	
c5191	True	4.465977307767046	5.0
c5192	True	3.8799503058586176	2.0
c4466	False	4.707734546037235	
c5403	True	4.6336695838354585	6.0
c5404	True	4.727013364446423	5.0
c4414	False	6.499943740840617	
c4963	True	5.809070239860597	8.0
c4964	True	6.020996306792409	5.0
c1988	False	6.1064318574825025	
c4546	False	5.882573828096536	
c5203	True	6.317626578537017	5.0
c5204	True	6.204667918216436	9.0
c4269	False	4.71158043748988	
c5059	True	5.697800558595976	7.0
c5060	True	4.318758071719082	2.0
c3741	False	5.292515126730958	
c4637	False	5.52415636817562	
c5193	True	5.206998343395793	1.0
c5194	True	5.462915220500724	7.0
c4638	False	5.152223293318844	
c5163	True	5.064064960138983	4.0
c5164	True	4.2865758338563635	6.0
c367	False	3.056748390013669	
c1847	False	2.033786131209914	
c3201	False	2.537368877739959	
c4417	False	2.6828862952348844	
c5241	True	3.194226507437173	3.0
c5242	True	2.8920436725809675	2.0
c4206	False	3.3091081417485846	
c4995	True	2.5510642226287117	0.0
c4996	True	3.6169632317764866	3.0
c4524	False	0.04438296955718801	
c5155	True	0.6460827363284889	1.0
c5156	True	0.5344600971693251	0.0
c4552	False	2.224147326444943	
c5081	True	2.470855664956823	5.0
c5082	True	3.466673040519971	4.0
c4421	False	1.802633292123057	
c5089	True	1.9820915889362491	2.0
c5090	True	1.262125374293448	1.0
c863	False	0.9076521338578314	
c2234	False	-0.48765490515236964	
c3616	False	0.8872883737996873	
c4651	False	1.1258149443755827	
c5239	True	1.681448669405211	3.0
c5240	True	1.5772175988175057	0.0
c4652	False	1.3885170889079124	
c5275	True	1.838865457814365	1.0
c5276	True	2.40468911919678	1.0
c4554	False	-0.9532083380734931	
c5305	True	0.19616404734449194	1.0
c5306	True	0.3109930772292438	0.0
c3417	False	2.2403639002481426	
c3592	False	1.9845999572211817	
c4389	False	2.3574101647231576	
c4949	True	2.445576779146649	4.0
c4950	True	2.890160016970823	3.0
c4390	False	2.601702942177355	
c5373	True	2.113750027726632	1.0
c5374	True	2.91158167939448	7.0
c4215	False	2.5965359535728427	
c4915	True	3.2221556806732417	1.0
c4916	True	2.5266297783804053	2.0
c844	False	1.5401162127771082	
c1438	False	0.74548321624987	
c2975	False	2.431622876319163	
c4075	False	1.8992208394867314	
c4743	False	1.967961461131116	
c5431	True	1.4005915383106295	0.0
c5432	True	1.6531824363637087	1.0
c4744	False	1.5503039227686302	
c5429	True	1.9362246511110583	0.0
c5430	True	2.1679497693535836	2.0
c4741	False	1.5898063563844351	
c5479	True	1.7026544448915886	1.0
c5480	True	1.679286684975978	1.0
c2974	False	-0.9156948580537411	
c4064	False	-0.7533446871417628	
c4671	False	-0.5466961370594696	
c5539	True	0.34511451284267675	0.0
c5540	True	0.18760669181109454	0.0
c4672	False	-0.061246994829269874	
c5477	True	0.346016610539951	0.0
c5478	True	0.8867282188607822	0.0
c4750	False	-0.018991030186188418	
c5499	True	0.7888471364392041	0.0
c5500	True	0.6602077320883487	1.0
c3781	False	0.3945916383634924	
c4509	False	0.40742568721351813	
c5365	True	1.1733608998327731	0.0
c5366	True	0.7612079751632753	0.0
c4510	False	-0.011115968742500593	
c5237	True	0.6066874795422718	0.0
c5238	True	0.9628311858388051	2.0
c694	False	1.152406134317114	
c1828	False	0.8804230247523843	
c3681	False	0.8659134982025403	
c4411	False	0.49728136752570207	
c5131	True	1.8482871608542737	1.0
c5132	True	0.9490182761925343	1.0
c4412	False	0.15338244355446395	
c5143	True	0.7451311095483195	0.0
c5144	True	0.3446860402507049	1.0
c3377	False	0.8077186092603914	
c4508	False	0.373927551244277	
c5029	True	0.7970594685977805	1.0
c5030	True	1.4120279967423224	0.0
c4617	False	1.766723599476384	
c5265	True	1.803997722730436	4.0
c5266	True	1.5698022439593473	1.0
c4391	False	1.7720794291819084	
