ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_0	h1_theta_1	h0	h1	lrt	p	q	signif
10	Gene_11	14.578923	9.042496	10.530727	3.297156	7.29361	18.654596	11.722379	2.82336974143982	5.54710054397583	-862.74164	-886.5637	47.644165	9.999000099990002e-05	0.0005555000055550001	True
11	Gene_12	111.07557	7.573428	10.045538	-1.4402965	118.54576	18.195925	12.166938	-1.8334922790527344	1.3752267360687256	440.48444	403.2168	74.53528	9.999000099990002e-05	0.0005555000055550001	True
13	Gene_14	103.90822	3.7902215	8.137072	-0.10458337	236.32277	9.084832	10.118387	-0.6531544923782349	3.641974925994873	241.7329	215.7485	51.96878	9.999000099990002e-05	0.0005555000055550001	True
19	Gene_20	20.808786	8.227152	11.947194	4.438111	13.406851	12.981428	12.931958	3.931693315505981	6.895969390869141	-1932.9724	-1951.3947	36.844482	9.999000099990002e-05	0.0005555000055550001	True
20	Gene_21	31.008093	4.6650076	9.238565	2.5640986	34.408875	9.520572	11.299248	1.9792946577072144	6.119688034057617	-724.44446	-748.1243	47.35974	9.999000099990002e-05	0.0005555000055550001	True
22	Gene_23	140.1047	5.122449	7.925029	-0.9136738	412.55005	10.596831	9.502536	-1.2229118347167969	1.5800912380218506	469.5208	448.60507	41.831482	9.999000099990002e-05	0.0005555000055550001	True
26	Gene_27	44.13401	4.941559	8.4522705	1.5426449	74.99718	9.832061	10.376259	1.1370570659637451	4.4329118728637695	-78.18033	-98.227234	40.09381	9.999000099990002e-05	0.0005555000055550001	True
34	Gene_35	100.72253	4.9579105	8.141368	-0.15190883	247.70947	9.379119	9.688829	-0.6157032251358032	2.280601501464844	418.26846	399.9113	36.714355	9.999000099990002e-05	0.0005555000055550001	True
37	Gene_38	10.366903	6.459014	9.643542	3.2993543	7.53621	12.37858	11.08822	2.8252291679382324	5.846347808837891	-1051.2764	-1069.2031	35.853516	9.999000099990002e-05	0.0005555000055550001	True
45	Gene_46	27.056698	9.54584	9.207361	0.59708565	64.114975	14.570163	10.39342	0.2387409657239914	2.206286668777466	443.83002	426.66177	34.336487	9.999000099990002e-05	0.0005555000055550001	True
