ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_0	h1_theta_1	h0	h1	lrt	p	q	signif
36	Gene_37	119.65769	5.774276	6.927282	0.6356657	573.03827	10.980173	8.329406	1.0476558208465576	-1.1905367374420166	491.57697	473.71555	35.72284	9.999000099990002e-05	0.0013887500138875003	True
67	Gene_68	311.9743	4.9291873	7.3608975	-0.04563491	542.70013	8.490357	8.561448	0.4228852391242981	-2.212170362472534	485.68152	472.08734	27.188354	9.999000099990002e-05	0.0013887500138875003	True
91	Gene_92	101.7735	6.9294744	7.8503985	0.3178419	498.1733	12.473394	9.199296	0.0110379997640848	1.9526638984680176	516.51404	499.95978	33.10852	9.999000099990002e-05	0.0013887500138875003	True
100	Gene_101	414.12576	4.6177206	6.5917516	1.1732492	772.7793	8.752817	7.730079	1.655708074569702	-1.0897208452224731	336.69196	318.35397	36.675964	9.999000099990002e-05	0.0013887500138875003	True
103	Gene_104	334.05814	4.7342315	6.6886816	0.7369371	510.83902	7.6636004	7.492103	0.3718913793563843	2.776956081390381	404.42206	390.83398	27.176147	9.999000099990002e-05	0.0013887500138875003	True
105	Gene_106	331.96844	7.157264	7.934435	-0.78270954	402.55524	12.635493	8.960378	-1.050754427909851	1.1711387634277344	538.02234	516.5749	42.894897	9.999000099990002e-05	0.0013887500138875003	True
127	Gene_128	316.77795	4.934565	6.9647765	0.063255176	625.89813	9.492847	8.292091	0.5786862969398499	-2.347738742828369	504.30768	484.03244	40.550476	9.999000099990002e-05	0.0013887500138875003	True
130	Gene_131	176.39346	13.826641	10.5950365	-1.6232295	288.67673	20.426607	11.050214	-1.8647420406341555	-0.0071548698469996	464.00287	445.81024	36.385254	9.999000099990002e-05	0.0013887500138875003	True
145	Gene_146	135.21332	5.602197	6.937788	1.4699568	634.1843	9.694443	7.916177	1.1362916231155396	3.4831950664520264	227.84915	209.66559	36.367126	9.999000099990002e-05	0.0013887500138875003	True
152	Gene_153	208.3704	8.199482	7.4693594	0.006586755	470.93936	14.737304	8.51028	0.40567547082901	-1.5652202367782593	572.9906	555.655	34.671143	9.999000099990002e-05	0.0013887500138875003	True
166	Gene_167	74.561516	7.3422256	7.682329	-0.38167843	478.69788	12.661029	8.860014	0.0316615290939807	-2.149658679962158	552.19196	535.32513	33.733643	9.999000099990002e-05	0.0013887500138875003	True
170	Gene_171	262.74393	7.244781	8.135189	-0.404864	535.35645	11.911254	9.240399	0.0568491294980049	-2.445854902267456	532.1598	513.703	36.913574	9.999000099990002e-05	0.0013887500138875003	True
177	Gene_178	379.83966	4.4749036	6.9689636	-0.64227057	488.833	11.048213	8.792162	-1.0232442617416382	2.05298113822937	484.6694	458.19388	52.95105	9.999000099990002e-05	0.0013887500138875003	True
197	Gene_198	55.283188	12.158123	10.378801	-1.736135	266.6369	16.30809	10.936075	-2.067857503890991	-0.1086952462792396	459.8797	442.62643	34.50653	9.999000099990002e-05	0.0013887500138875003	True
213	Gene_214	130.04213	3.6509452	6.5868526	0.94614583	614.8936	7.9786725	7.9596457	0.4684570133686065	3.973479986190796	213.08492	193.60829	38.953247	9.999000099990002e-05	0.0013887500138875003	True
